name,same_team,same_league,gk_saves,games,minutes,goals,assists,cards_yellow,passes,assisted_shots,tackles,interceptions,clearances,fouls,fouled,team,crosses,shots,shots_on_target
Guglielmo Vicario,False,False,95,31,0,0,0,3,1277,0,1,0,15,0,8,0,0,0,0
Pedro Porro,False,False,0,15,0,3,3,0,648,25,25,15,24,12,16,0,0,26,0
Son Heung min,False,False,0,36,0,10,6,2,909,61,24,13,6,13,36,0,0,81,0
Cristian Romero,False,False,0,27,0,0,1,11,1606,8,68,44,102,42,12,0,0,11,0
Dejan Kulusevski,False,False,0,30,0,2,7,2,746,47,38,13,7,36,25,0,0,43,0
Destiny Udogie,False,False,0,33,0,3,4,5,1127,34,71,36,25,37,58,0,0,27,0
Micky van de Ven,False,False,0,33,0,1,1,5,1758,6,45,26,108,23,27,0,0,16,0
Pape Matar Sarr,False,False,0,11,218,0,1,1,154,2,7,6,6,4,3,0,0,2,0
James Maddison,False,False,0,30,0,10,9,10,1150,69,51,13,6,31,79,0,0,83,0
Yves Bissouma,False,False,0,23,0,0,0,6,733,8,16,12,10,17,10,0,0,6,0
Brennan Johnson,False,False,0,38,0,8,3,6,505,28,34,5,7,37,21,0,0,52,0
Richarlison,False,False,0,27,0,1,3,3,279,16,21,5,10,14,22,0,0,27,0
Rodrigo Bentancur,False,False,0,18,0,5,2,8,880,11,45,20,22,24,8,0,0,15,0
Ben Davies,False,False,0,31,0,2,2,4,1281,20,28,18,72,30,17,0,0,14,0
Emerson,False,False,0,26,0,2,1,2,1060,9,54,18,75,21,33,0,0,17,0
Guglielmo Vicario,False,False,95,31,0,0,0,3,1277,0,1,0,15,0,8,0,0,0,0
Pedro Porro,False,False,0,15,0,3,3,0,648,25,25,15,24,12,16,0,0,26,0
Son Heung min,False,False,0,36,0,10,6,2,909,61,24,13,6,13,36,0,0,81,0
Cristian Romero,False,False,0,27,0,0,1,11,1606,8,68,44,102,42,12,0,0,11,0
Dejan Kulusevski,False,False,0,30,0,2,7,2,746,47,38,13,7,36,25,0,0,43,0
Guglielmo Vicario,False,False,95,31,0,0,0,3,1277,0,1,0,15,0,8,0,0,0,0
Pedro Porro,False,False,0,15,0,3,3,0,648,25,25,15,24,12,16,0,0,26,0
Son Heung min,False,False,0,36,0,10,6,2,909,61,24,13,6,13,36,0,0,81,0
Cristian Romero,False,False,0,27,0,0,1,11,1606,8,68,44,102,42,12,0,0,11,0
Dejan Kulusevski,False,False,0,30,0,2,7,2,746,47,38,13,7,36,25,0,0,43,0
Guglielmo Vicario,False,False,95,31,0,0,0,3,1277,0,1,0,15,0,8,0,0,0,0
Pedro Porro,False,False,0,15,0,3,3,0,648,25,25,15,24,12,16,0,0,26,0
Son Heung min,False,False,0,36,0,10,6,2,909,61,24,13,6,13,36,0,0,81,0
Cristian Romero,False,False,0,27,0,0,1,11,1606,8,68,44,102,42,12,0,0,11,0
Dejan Kulusevski,False,False,0,30,0,2,7,2,746,47,38,13,7,36,25,0,0,43,0
Guglielmo Vicario,False,False,95,31,0,0,0,3,1277,0,1,0,15,0,8,0,0,0,0
Pedro Porro,False,False,0,15,0,3,3,0,648,25,25,15,24,12,16,0,0,26,0
Son Heung min,False,False,0,36,0,10,6,2,909,61,24,13,6,13,36,0,0,81,0
Cristian Romero,False,False,0,27,0,0,1,11,1606,8,68,44,102,42,12,0,0,11,0
Dejan Kulusevski,False,False,0,30,0,2,7,2,746,47,38,13,7,36,25,0,0,43,0
Guglielmo Vicario,False,False,95,31,0,0,0,3,1277,0,1,0,15,0,8,0,0,0,0
Guglielmo Vicario,False,False,95,31,0,0,0,3,1277,0,1,0,15,0,8,0,0,0,0
Guglielmo Vicario,False,False,95,31,0,0,0,3,1277,0,1,0,15,0,8,0,0,0,0
