name,team,league,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow
Virgil van Dijk,Liverpool,Premier League,5,387,0,0,5,0,0,8,0,1,242,13,0,0,2,1
Luis Diaz,Liverpool,Premier League,5,382,0,0,5,0,0,13,0,4,152,1,0,2,0,0
Alexis Mac Allister,Liverpool,Premier League,5,354,0,0,13,0,0,0,0,0,247,5,0,0,0,2
Dominik Szoboszlai,Liverpool,Premier League,5,450,0,0,7,0,0,10,0,3,318,3,0,1,0,0
Mohamed Salah,Liverpool,Premier League,5,430,0,0,6,0,0,14,0,6,132,1,0,2,4,0
Alisson,Liverpool,Premier League,5,450,18,0,0,0,0,0,0,0,0,0,0,0,0,0
Darwin Nunez,Liverpool,Premier League,5,568,0,0,6,0,0,35,0,14,133,0,0,5,3,1
Trent Alexander Arnold,Liverpool,Premier League,5,420,0,0,9,0,0,5,0,2,325,4,0,0,1,2
Joe Gomez,Liverpool,Premier League,5,529,0,0,12,0,0,4,0,0,375,7,0,0,0,1
Ibrahima Konate,Liverpool,Premier League,5,469,0,0,7,0,0,2,0,0,329,2,0,0,0,1
Wataru Endo,Liverpool,Premier League,5,465,0,0,6,0,0,4,0,1,209,7,0,1,1,3
Diogo Jota,Liverpool,Premier League,5,467,0,0,6,0,0,18,0,6,144,2,0,3,0,3
Cody Gakpo,Liverpool,Premier League,5,365,0,0,5,0,0,15,0,5,72,2,0,2,0,0
Andrew Robertson,Liverpool,Premier League,5,450,0,0,10,0,0,1,0,1,406,6,0,1,0,0
Curtis Jones,Liverpool,Premier League,5,358,0,0,8,0,0,4,0,1,194,4,0,0,0,1
Ryan Gravenberch,Liverpool,Premier League,5,470,0,0,7,0,0,9,0,4,175,9,0,0,1,0
Caoimhin Kelleher,Liverpool,Premier League,5,450,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Matip,Liverpool,Premier League,5,436,0,0,4,0,0,3,0,0,336,7,0,0,0,0
Conor Bradley,Liverpool,Premier League,5,457,0,0,6,0,0,4,0,2,90,3,0,1,5,1
Jarell Quansah,Liverpool,Premier League,5,443,0,0,4,0,0,1,0,1,181,8,0,0,1,1
Kostas Tsimikas,Liverpool,Premier League,5,449,0,0,6,0,0,3,0,1,238,5,0,0,2,0
Harvey Elliott,Liverpool,Premier League,5,651,0,0,8,0,0,29,0,9,282,3,0,1,1,1
Bobby Clark,Liverpool,Premier League,5,480,0,0,0,0,0,0,0,0,0,0,0,2,4,4
Ben Doak,Liverpool,Premier League,2,105,0,0,0,0,0,3,0,1,4,1,0,0,0,0
Jayden Danns,Liverpool,Premier League,5,489,0,0,0,0,0,6,0,5,7,0,0,5,2,1
Owen Beck,Liverpool,Premier League,0,8,0,0,2,0,0,0,0,0,4,0,0,0,0,0
Thiago Alcantara,Liverpool,Premier League,0,6,0,0,0,0,0,0,0,0,10,0,0,0,0,0
James McConnell,Liverpool,Premier League,5,426,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Kaide Gordon,Liverpool,Premier League,5,490,0,0,0,0,0,0,0,0,1,0,0,1,3,2
Adrian,Liverpool,Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefan Bajcetic,Liverpool,Premier League,0,44,0,0,0,0,0,0,0,0,0,1,0,0,1,0
