game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Mon,Premier League,Matchweek 1,Home,W 1-0,Manchester Utd,Wolves,RB,90,0,1,0,0,0,0,0,0,68,2,2,3,0.0,0.0,1.0,3,1,47,51,92.2,3,42,1,4,3,Match Report
Y,2,Sat,Premier League,Matchweek 2,Away,L 0-2,Manchester Utd,Tottenham,RB,65,0,0,0,0,0,0,1,0,50,0,2,1,0.0,0.0,0.1,1,0,38,44,86.4,1,29,1,2,1,Match Report
Y,3,Sat,Premier League,Matchweek 3,Home,W 3-2,Manchester Utd,Nott'ham Forest,RB,90,0,0,0,0,0,0,1,0,79,4,2,3,0.0,0.0,0.0,3,0,58,69,84.1,9,55,7,2,1,Match Report
Y,4,Sun,Premier League,Matchweek 4,Away,L 1-3,Manchester Utd,Arsenal,RB,90,0,0,0,0,0,0,0,0,72,5,1,0,0.0,0.0,0.0,0,0,44,54,81.5,2,30,2,0,0,Match Report
N,5,Sat,Premier League,Matchweek 5,Home,L 1-3,Manchester Utd,Brighton,CB,6,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,10,11,90.9,1,5,0,0,0,Match Report
Y,6,Sat,Premier League,Matchweek 11,Away,W 1-0,Manchester Utd,Fulham,RB,90,0,0,0,0,0,0,0,0,57,2,1,2,0.0,0.0,0.0,0,0,39,47,83.0,7,34,0,0,0,Match Report
N,7,Sun,Premier League,Matchweek 13,Away,W 3-0,Manchester Utd,Everton,RB,15,0,0,0,0,0,0,0,0,13,1,1,0,0.0,0.0,0.0,0,0,6,7,85.7,0,5,0,1,1,Match Report
Y,8,Sat,Premier League,Matchweek 14,Away,L 0-1,Manchester Utd,Newcastle Utd,RB,79,0,0,0,0,1,0,0,0,42,2,0,1,0.0,0.0,0.0,0,0,21,34,61.8,1,19,1,0,0,Match Report
Y,9,Sat,Premier League,Matchweek 18,Away,L 0-2,Manchester Utd,West Ham,RB,90,0,0,0,0,0,0,0,0,78,3,1,0,0.0,0.0,0.0,0,0,62,69,89.9,6,38,1,3,1,Match Report
Y,10,Tue,Premier League,Matchweek 19,Home,W 3-2,Manchester Utd,Aston Villa,RB,90,0,0,0,0,0,0,0,0,43,2,4,1,0.0,0.0,0.0,0,0,29,36,80.6,0,24,0,0,0,Match Report
Y,11,Sat,Premier League,Matchweek 20,Away,L 1-2,Manchester Utd,Nott'ham Forest,RB,89,0,0,0,0,1,1,0,0,79,1,1,1,0.0,0.0,0.1,1,0,56,71,78.9,4,24,3,2,1,Match Report
Y,12,Sun,Premier League,Matchweek 21,Home,D 2-2,Manchester Utd,Tottenham,LB,90,0,0,0,0,0,0,1,0,53,2,5,2,0.0,0.0,0.0,2,0,27,35,77.1,3,23,3,4,2,Match Report
Y,13,Sat,Premier League,Matchweek 30,Away,D 1-1,Manchester Utd,Brentford,LB,90,0,0,0,0,0,0,1,0,70,3,4,0,0.0,0.0,0.0,1,0,45,54,83.3,3,33,1,4,3,Match Report
Y,14,Thu,Premier League,Matchweek 31,Away,L 3-4,Manchester Utd,Chelsea,RB,90,0,0,0,0,0,0,0,0,44,3,4,3,0.0,0.0,0.0,1,0,21,27,77.8,1,17,2,2,1,Match Report
Y,15,Sun,Premier League,Matchweek 32,Home,D 2-2,Manchester Utd,Liverpool,LB,90,0,1,0,0,0,0,0,0,48,2,1,3,0.0,0.0,0.1,2,1,31,35,88.6,5,19,0,2,1,Match Report
Y,16,Sat,Premier League,Matchweek 33,Away,D 2-2,Manchester Utd,Bournemouth,LB,90,0,0,0,0,0,0,0,0,56,0,2,1,0.0,0.0,0.0,3,0,39,49,79.6,7,22,1,0,0,Match Report
Y,17,Wed,Premier League,Matchweek 29,Home,W 4-2,Manchester Utd,Sheffield Utd,RB,90,0,0,0,0,0,0,0,0,99,3,1,0,0.0,0.0,0.0,3,1,82,90,91.1,4,52,1,1,0,Match Report
Y,18,Sat,Premier League,Matchweek 35,Home,D 1-1,Manchester Utd,Burnley,RB,90,0,0,0,0,0,0,0,0,47,1,1,1,0.0,0.0,0.0,2,0,27,34,79.4,4,26,0,0,0,Match Report
Y,19,Mon,Premier League,Matchweek 36,Away,L 0-4,Manchester Utd,Crystal Palace,LB,90,0,0,0,0,0,0,0,0,77,0,4,1,0.0,0.0,0.1,1,0,47,67,70.1,10,31,4,1,1,Match Report
Y,20,Sun,Premier League,Matchweek 37,Home,L 0-1,Manchester Utd,Arsenal,RB,86,0,0,0,0,0,0,0,0,40,2,0,2,0.0,0.0,0.0,1,0,30,33,90.9,3,21,0,0,0,Match Report
Y,21,Wed,Premier League,Matchweek 34,Home,W 3-2,Manchester Utd,Newcastle Utd,RB,90,0,0,0,0,1,0,0,0,46,2,2,2,0.0,0.0,0.1,2,0,26,29,89.7,2,22,0,1,0,Match Report
Y,22,Sun,Premier League,Matchweek 38,Away,W 2-0,Manchester Utd,Brighton,RB,90,0,0,0,0,0,0,0,0,53,1,2,2,0.0,0.0,0.0,0,0,38,40,95.0,1,23,2,3,1,Match Report
