game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sat,Premier League,Matchweek 1,Home,L 0-1,Everton,Fulham,FW,90,0,0,0,0,2,1,0,0,36,0,0,2,0.6,0.6,0.8,3,0,22,27,81.5,3,20,3,2,0,Match Report
Y,2,Sun,Premier League,Matchweek 2,Away,L 0-4,Everton,Aston Villa,"CM,FW",89,0,0,0,0,1,0,0,0,30,1,1,0,0.1,0.1,0.0,1,0,21,26,80.8,2,18,2,2,2,Match Report
Y,3,Sat,Premier League,Matchweek 3,Home,L 0-1,Everton,Wolves,CM,90,0,0,0,0,1,1,0,0,48,6,1,3,0.2,0.2,0.0,3,0,26,31,83.9,4,30,2,3,1,Match Report
Y,4,Sat,Premier League,Matchweek 4,Away,D 2-2,Everton,Sheffield Utd,FW,90,1,0,0,0,4,3,1,0,57,1,0,2,1.1,1.1,0.2,3,1,37,47,78.7,3,31,3,1,1,Match Report
Y,5,Sun,Premier League,Matchweek 5,Home,L 0-1,Everton,Arsenal,CM,79,0,0,0,0,0,0,0,0,25,4,0,1,0.0,0.0,0.0,3,0,11,17,64.7,1,16,2,2,1,Match Report
Y,6,Sat,Premier League,Matchweek 6,Away,W 3-1,Everton,Brentford,"FW,CM",90,1,0,0,0,2,1,0,0,55,0,1,0,0.1,0.1,0.0,3,0,37,47,78.7,2,34,1,0,0,Match Report
Y,7,Sat,Premier League,Matchweek 7,Home,L 1-2,Everton,Luton Town,FW,59,0,0,0,0,1,1,0,0,51,0,0,2,0.4,0.4,0.2,5,1,36,41,87.8,4,27,4,1,1,Match Report
Y,8,Sat,Premier League,Matchweek 8,Home,W 3-0,Everton,Bournemouth,FW,89,1,0,0,0,5,3,0,0,53,2,0,1,0.7,0.7,0.2,6,0,34,39,87.2,7,31,2,2,2,Match Report
Y,9,Sat,Premier League,Matchweek 9,Away,L 0-2,Everton,Liverpool,"CM,FW",90,0,0,0,0,0,0,0,0,39,2,4,0,0.0,0.0,0.0,1,0,13,20,65.0,1,15,1,7,4,Match Report
Y,10,Sun,Premier League,Matchweek 10,Away,W 1-0,Everton,West Ham,FW,90,0,0,0,0,2,1,0,0,46,1,1,0,0.2,0.2,0.0,2,0,22,29,75.9,1,26,3,2,0,Match Report
Y,11,Sat,Premier League,Matchweek 11,Home,D 1-1,Everton,Brighton,FW,90,0,0,0,0,1,1,1,0,25,0,0,0,0.1,0.1,0.0,2,0,15,18,83.3,3,9,2,2,2,Match Report
Y,12,Sat,Premier League,Matchweek 12,Away,W 3-2,Everton,Crystal Palace,FW,90,1,0,0,0,1,1,1,0,37,1,0,1,0.7,0.7,0.1,2,2,20,24,83.3,3,20,1,1,0,Match Report
Y,13,Sun,Premier League,Matchweek 13,Home,L 0-3,Everton,Manchester Utd,FW,89,0,0,0,0,2,0,1,0,30,1,0,1,0.2,0.2,0.3,4,0,16,23,69.6,2,17,1,1,0,Match Report
Y,14,Sat,Premier League,Matchweek 14,Away,W 1-0,Everton,Nott'ham Forest,FW,90,0,0,0,0,0,0,0,0,39,2,0,1,0.0,0.0,0.1,1,0,19,35,54.3,6,17,3,0,0,Match Report
Y,15,Thu,Premier League,Matchweek 15,Home,W 3-0,Everton,Newcastle Utd,CM,90,1,0,0,0,3,1,0,0,48,3,0,0,0.5,0.5,0.1,4,0,30,35,85.7,3,21,0,1,0,Match Report
Y,16,Sun,Premier League,Matchweek 16,Home,W 2-0,Everton,Chelsea,FW,90,1,0,0,0,3,1,0,0,30,0,3,0,0.2,0.2,0.0,1,0,15,23,65.2,2,18,1,0,0,Match Report
Y,17,Sat,Premier League,Matchweek 17,Away,W 2-0,Everton,Burnley,CM,45,0,0,0,0,0,0,0,0,18,0,0,1,0.0,0.0,0.0,1,0,10,12,83.3,2,9,1,1,1,Match Report
Y,18,Sun,Premier League,Matchweek 21,Home,D 0-0,Everton,Aston Villa,AM,90,0,0,0,0,1,0,0,0,30,4,1,1,0.0,0.0,0.1,2,0,12,21,57.1,2,16,2,0,0,Match Report
