game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sat,Premier League,Matchweek 5,Away,L 0-1,Luton Town,Fulham,CM,73,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.1,2,0,18,25,72.0,1,20,0,2,0,Match Report
Y,2,Sat,Premier League,Matchweek 6,Home,D 1-1,Luton Town,Wolves,CM,56,0,0,0,0,2,1,0,0,43,1,0,0,0.1,0.1,0.0,1,0,30,37,81.1,3,29,0,0,0,Match Report
N,3,Sun,Premier League,Matchweek 16,Home,L 1-2,Luton Town,Manchester City,CM,19,0,0,0,0,0,0,0,0,13,2,1,0,0.0,0.0,0.0,0,0,10,10,100.0,1,8,0,0,0,Match Report
Y,4,Sat,Premier League,Matchweek 18,Home,W 1-0,Luton Town,Newcastle Utd,CM,79,0,0,0,0,0,0,0,0,41,1,0,1,0.0,0.0,0.0,2,0,31,34,91.2,3,23,0,2,0,Match Report
Y,5,Tue,Premier League,Matchweek 19,Away,W 3-2,Luton Town,Sheffield Utd,CM,90,0,1,0,0,1,0,0,0,46,3,0,3,0.0,0.0,0.1,4,1,28,33,84.8,3,23,1,1,1,Match Report
Y,6,Sat,Premier League,Matchweek 20,Home,L 2-3,Luton Town,Chelsea,CM,89,0,0,0,0,0,0,0,0,63,1,0,2,0.0,0.0,0.0,1,0,50,59,84.7,6,30,4,2,0,Match Report
Y,7,Fri,Premier League,Matchweek 21,Away,D 1-1,Luton Town,Burnley,CM,85,0,0,0,0,2,0,0,0,71,1,1,1,0.3,0.3,0.0,1,0,56,64,87.5,4,53,1,1,1,Match Report
Y,8,Tue,Premier League,Matchweek 22,Home,W 4-0,Luton Town,Brighton,CM,67,0,1,0,0,1,0,1,0,29,1,0,1,0.0,0.0,1.0,1,1,18,24,75.0,1,14,0,1,1,Match Report
Y,9,Sat,Premier League,Matchweek 23,Away,D 4-4,Luton Town,Newcastle Utd,CM,90,0,0,0,0,0,0,1,0,62,5,2,2,0.0,0.0,0.0,1,0,42,45,93.3,2,32,1,1,1,Match Report
Y,10,Sat,Premier League,Matchweek 24,Home,L 1-3,Luton Town,Sheffield Utd,CM,90,0,0,0,0,0,0,0,0,90,3,1,1,0.0,0.0,0.0,1,0,74,81,91.4,12,62,9,1,0,Match Report
Y,11,Sun,Premier League,Matchweek 25,Home,L 1-2,Luton Town,Manchester Utd,CM,90,0,0,0,0,1,0,0,0,85,0,1,7,0.0,0.0,0.1,4,0,69,72,95.8,10,60,2,1,1,Match Report
Y,12,Wed,Premier League,Matchweek 26,Away,L 1-4,Luton Town,Liverpool,CM,45,0,0,0,0,0,0,0,0,22,1,0,1,0.0,0.0,0.0,0,0,11,16,68.8,1,14,0,5,3,Match Report
Y,13,Sat,Premier League,Matchweek 34,Home,L 1-5,Luton Town,Brentford,"CM,RM",70,0,0,0,0,0,0,0,0,50,1,0,0,0.0,0.0,0.0,2,0,37,43,86.0,2,22,3,3,2,Match Report
Y,14,Sat,Premier League,Matchweek 35,Away,L 1-2,Luton Town,Wolves,CM,90,0,0,0,0,0,0,1,0,66,4,0,1,0.0,0.0,0.0,0,0,50,59,84.7,5,37,4,2,1,Match Report
Y,15,Fri,Premier League,Matchweek 36,Home,D 1-1,Luton Town,Everton,CM,90,0,1,0,0,0,0,0,0,66,4,2,0,0.0,0.0,0.1,5,1,48,55,87.3,6,30,1,0,0,Match Report
Y,16,Sat,Premier League,Matchweek 37,Away,L 1-3,Luton Town,West Ham,CM,90,1,0,0,0,1,1,0,0,69,1,2,3,0.2,0.2,0.0,1,0,56,59,94.9,5,42,2,0,0,Match Report
Y,17,Sun,Premier League,Matchweek 38,Home,L 2-4,Luton Town,Fulham,CM,90,0,0,0,0,0,0,1,0,53,0,1,0,0.0,0.0,0.0,1,0,41,50,82.0,7,30,1,0,0,Match Report
