game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Mon,Premier League,Matchweek 1,Home,W 1-0,Manchester Utd,Wolves,LM,67,0,0,0,0,4,0,0,0,43,1,0,2,0.1,0.1,0.0,2,0,24,29,82.8,3,30,2,2,1,Match Report
Y,2,Sat,Premier League,Matchweek 2,Away,L 0-2,Manchester Utd,Tottenham,LW,65,0,0,0,0,3,1,0,0,23,0,1,0,0.2,0.2,0.0,6,0,9,16,56.3,1,20,6,2,1,Match Report
N,3,Sun,Premier League,Matchweek 4,Away,L 1-3,Manchester Utd,Arsenal,RW,7,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Match Report
N,4,Sat,Premier League,Matchweek 5,Home,L 1-3,Manchester Utd,Brighton,"LW,LB",6,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,7,0,1,0,Match Report
N,5,Sat,Premier League,Matchweek 7,Home,L 0-1,Manchester Utd,Crystal Palace,LW,30,0,0,0,0,3,1,0,0,28,1,0,0,0.2,0.2,0.0,0,0,14,19,73.7,1,20,6,1,0,Match Report
N,6,Sat,Premier League,Matchweek 8,Home,W 2-1,Manchester Utd,Brentford,"LW,WB",28,0,0,0,0,1,0,0,0,24,0,0,0,0.0,0.0,0.2,5,0,15,19,78.9,2,19,2,2,1,Match Report
N,7,Sat,Premier League,Matchweek 9,Away,W 2-1,Manchester Utd,Sheffield Utd,RW,27,0,0,0,0,2,0,0,0,18,0,1,0,0.1,0.1,0.0,2,1,10,11,90.9,1,15,3,4,2,Match Report
N,8,Sun,Premier League,Matchweek 10,Home,L 0-3,Manchester Utd,Manchester City,LW,18,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,7,1,0,0,Match Report
Y,9,Sat,Premier League,Matchweek 11,Away,W 1-0,Manchester Utd,Fulham,LW,89,0,0,0,0,1,1,1,0,53,0,2,1,0.1,0.1,0.1,6,0,29,37,78.4,5,36,9,7,2,Match Report
Y,10,Sat,Premier League,Matchweek 12,Home,W 1-0,Manchester Utd,Luton Town,LW,67,0,0,0,0,1,0,0,0,52,2,0,0,0.1,0.1,0.3,3,0,35,40,87.5,2,40,3,6,2,Match Report
Y,11,Sun,Premier League,Matchweek 13,Away,W 3-0,Manchester Utd,Everton,LW,71,1,0,0,0,3,1,0,0,32,1,0,0,0.4,0.4,0.0,0,0,9,16,56.3,0,16,0,3,1,Match Report
Y,12,Sat,Premier League,Matchweek 14,Away,L 0-1,Manchester Utd,Newcastle Utd,LW,90,0,0,0,0,1,1,0,0,28,2,1,1,0.1,0.1,0.0,1,0,11,17,64.7,0,20,7,4,2,Match Report
Y,13,Wed,Premier League,Matchweek 15,Home,W 2-1,Manchester Utd,Chelsea,LW,89,0,1,0,0,8,1,1,0,67,0,0,2,0.8,0.7,0.7,7,1,33,46,71.7,5,50,17,5,1,Match Report
Y,14,Sat,Premier League,Matchweek 16,Home,L 0-3,Manchester Utd,Bournemouth,LW,78,0,0,0,0,4,0,0,0,54,1,0,1,0.1,0.1,0.2,2,0,29,42,69.0,2,35,9,7,4,Match Report
Y,15,Sun,Premier League,Matchweek 17,Away,D 0-0,Manchester Utd,Liverpool,LW,70,0,0,0,0,2,0,0,0,23,0,0,2,0.2,0.2,0.0,0,0,8,10,80.0,1,12,1,2,0,Match Report
