game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sat,Premier League,Matchweek 1,Home,L 0-1,Everton,Fulham,"LM,RM",90,0,0,0,0,4,2,0,0,44,1,1,2,0.3,0.3,0.1,11,0,22,30,73.3,4,25,3,4,3,Match Report
Y,2,Sun,Premier League,Matchweek 2,Away,L 0-4,Everton,Aston Villa,"LM,RM",50,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.1,1,0,5,12,41.7,0,8,3,0,0,Match Report
N,3,Sat,Premier League,Matchweek 5,Home,W 1-0,Fulham,Luton Town,RM,29,0,0,0,0,2,0,0,0,33,1,0,0,0.1,0.1,0.0,3,1,26,31,83.9,3,19,1,1,0,Match Report
N,4,Sat,Premier League,Matchweek 6,Away,D 0-0,Fulham,Crystal Palace,LM,16,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,9,11,81.8,3,8,1,0,0,Match Report
N,5,Mon,Premier League,Matchweek 7,Home,L 0-2,Fulham,Chelsea,RW,37,0,0,0,0,2,0,0,0,29,2,0,0,0.2,0.2,0.1,1,0,15,24,62.5,2,16,3,0,0,Match Report
Y,6,Sat,Premier League,Matchweek 8,Home,W 3-1,Fulham,Sheffield Utd,RM,78,0,0,0,0,1,0,0,0,47,1,0,0,0.1,0.1,0.1,4,0,35,42,83.3,6,31,1,0,0,Match Report
N,7,Mon,Premier League,Matchweek 9,Away,L 0-2,Fulham,Tottenham,AM,45,0,0,0,0,1,0,0,0,28,0,1,1,0.0,0.0,0.2,1,0,22,24,91.7,1,21,0,0,0,Match Report
Y,8,Sun,Premier League,Matchweek 10,Away,D 1-1,Fulham,Brighton,"AM,DM,LW",89,0,0,0,0,1,1,0,0,33,1,2,0,0.0,0.0,0.0,3,1,22,23,95.7,5,21,1,6,5,Match Report
Y,9,Sat,Premier League,Matchweek 11,Home,L 0-1,Fulham,Manchester Utd,"DM,AM,LW",88,0,0,0,0,3,0,1,0,44,1,2,0,0.2,0.2,0.1,6,0,30,34,88.2,3,30,5,5,4,Match Report
Y,10,Sun,Premier League,Matchweek 12,Away,L 1-3,Fulham,Aston Villa,DM,81,0,0,0,0,2,1,1,0,53,2,0,1,0.1,0.1,0.0,1,0,32,38,84.2,2,31,0,4,2,Match Report
Y,11,Mon,Premier League,Matchweek 13,Home,W 3-2,Fulham,Wolves,"RW,AM",90,1,0,0,0,4,3,0,0,64,1,1,1,1.0,1.0,0.0,1,0,39,50,78.0,7,44,4,1,1,Match Report
Y,12,Sun,Premier League,Matchweek 14,Away,L 3-4,Fulham,Liverpool,"LW,RW",74,0,0,0,0,0,0,0,0,42,1,0,0,0.0,0.0,0.1,4,1,22,31,71.0,5,35,5,4,1,Match Report
Y,13,Wed,Premier League,Matchweek 15,Home,W 5-0,Fulham,Nott'ham Forest,RW,75,2,0,0,0,3,2,0,0,60,1,3,1,0.6,0.6,0.0,4,1,37,48,77.1,7,38,3,1,0,Match Report
Y,14,Sun,Premier League,Matchweek 16,Home,W 5-0,Fulham,West Ham,"RW,LW",78,0,1,0,0,5,1,0,0,57,0,0,0,0.5,0.5,0.2,6,3,39,49,79.6,3,49,5,1,1,Match Report
Y,15,Sat,Premier League,Matchweek 17,Away,L 0-3,Fulham,Newcastle Utd,"FW,LW",76,0,0,0,0,1,1,0,0,33,1,0,0,0.1,0.1,0.0,2,0,21,24,87.5,2,21,4,2,0,Match Report
Y,16,Sat,Premier League,Matchweek 18,Home,L 0-2,Fulham,Burnley,LW,90,0,0,0,0,5,1,0,0,70,1,0,0,0.4,0.4,0.2,5,0,48,56,85.7,12,44,6,5,2,Match Report
Y,17,Tue,Premier League,Matchweek 19,Away,L 0-3,Fulham,Bournemouth,"LW,LM",90,0,0,0,0,0,0,0,0,65,1,1,1,0.0,0.0,0.0,1,0,42,58,72.4,11,48,5,3,3,Match Report
Y,18,Sun,Premier League,Matchweek 20,Home,W 2-1,Fulham,Arsenal,AM,71,0,0,0,0,2,0,0,0,41,0,1,1,0.1,0.1,0.1,2,0,29,36,80.6,6,31,2,1,0,Match Report
N,19,Sat,Premier League,Matchweek 25,Home,L 1-2,Fulham,Aston Villa,LW,45,0,0,0,0,1,1,0,0,22,0,0,1,0.3,0.3,0.0,2,0,12,17,70.6,3,19,1,2,0,Match Report
Y,20,Sat,Premier League,Matchweek 26,Away,W 2-1,Fulham,Manchester Utd,LW,90,1,0,0,0,3,1,0,0,44,1,1,1,0.3,0.3,0.4,5,0,21,30,70.0,6,28,6,4,1,Match Report
Y,21,Sat,Premier League,Matchweek 27,Home,W 3-0,Fulham,Brighton,LW,68,0,0,0,0,0,0,0,0,22,1,1,1,0.0,0.0,0.3,3,0,14,18,77.8,3,20,5,5,2,Match Report
Y,22,Sat,Premier League,Matchweek 28,Away,L 1-2,Fulham,Wolves,"LW,AM",90,1,0,0,0,4,2,0,0,58,1,0,2,0.6,0.6,0.8,9,0,35,46,76.1,9,40,5,1,0,Match Report
Y,23,Sat,Premier League,Matchweek 29,Home,W 3-0,Fulham,Tottenham,RW,81,0,0,0,0,0,0,0,0,40,2,0,0,0.0,0.0,0.4,6,1,28,34,82.4,7,29,5,1,1,Match Report
Y,24,Sat,Premier League,Matchweek 30,Away,D 3-3,Fulham,Sheffield Utd,RW,73,0,0,0,0,5,1,0,0,46,0,0,1,0.2,0.2,0.0,5,0,28,36,77.8,4,23,1,2,1,Match Report
Y,25,Tue,Premier League,Matchweek 31,Away,L 1-3,Fulham,Nott'ham Forest,LW,32,0,0,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.0,1,0,13,16,81.3,2,14,2,1,0,Match Report
Y,26,Sat,Premier League,Matchweek 32,Home,L 0-1,Fulham,Newcastle Utd,"RW,DM",90,0,0,0,0,0,0,0,0,65,2,0,2,0.0,0.0,0.0,3,0,42,58,72.4,13,47,11,7,6,Match Report
Y,27,Sun,Premier League,Matchweek 33,Away,W 2-0,Fulham,West Ham,RW,73,0,1,0,0,2,1,0,0,36,0,0,0,0.3,0.3,1.2,3,1,22,30,73.3,5,26,3,3,0,Match Report
Y,28,Sun,Premier League,Matchweek 34,Home,L 1-3,Fulham,Liverpool,RW,84,0,0,0,0,0,0,0,0,41,1,0,0,0.0,0.0,0.1,3,0,20,36,55.6,2,27,8,5,4,Match Report
Y,29,Sat,Premier League,Matchweek 35,Home,D 1-1,Fulham,Crystal Palace,LW,90,0,0,0,0,0,0,0,0,43,2,0,0,0.0,0.0,0.1,1,0,25,34,73.5,2,24,2,3,0,Match Report
Y,30,Sat,Premier League,Matchweek 36,Away,D 0-0,Fulham,Brentford,RW,89,0,0,0,0,3,1,0,0,48,1,1,2,0.2,0.2,0.3,11,0,26,40,65.0,5,30,10,2,1,Match Report
Y,31,Sat,Premier League,Matchweek 37,Home,L 0-4,Fulham,Manchester City,"DM,LW,RM",90,0,0,0,0,0,0,0,0,38,2,0,0,0.0,0.0,0.0,0,0,30,35,85.7,4,17,2,2,2,Match Report
Y,32,Sun,Premier League,Matchweek 38,Away,W 4-2,Fulham,Luton Town,AM,90,0,0,0,0,1,1,0,0,49,1,0,0,0.0,0.0,0.1,6,1,37,42,88.1,4,35,2,0,0,Match Report
