game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,0,17,0,0,0,0,0,0,0,0,5,0,0,0,0,0,Sun,Premier League,Matchweek 14,Away,D 2-2,Aston Villa,Bournemouth,LB,0,0,0,7,1,0.0,0.0,0.0,0,0,5,100.0,0,2,0,1,0,Match Report
N,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Wed,Premier League,Matchweek 15,Home,W 1-0,Aston Villa,Manchester City,LB,0,0,0,3,0,0.0,0.0,0.0,0,0,2,66.7,0,0,0,0,0,Match Report
N,3,0,13,0,0,2,0,0,0,0,0,4,0,0,0,0,0,Sat,Premier League,Matchweek 16,Home,W 1-0,Aston Villa,Arsenal,LB,0,0,0,7,0,0.0,0.0,0.0,0,0,3,75.0,1,1,0,0,0,Match Report
Y,4,0,90,0,0,0,0,0,4,0,2,48,2,0,1,0,0,Sun,Premier League,Matchweek 17,Away,W 2-1,Aston Villa,Brentford,WB,0,0,0,68,0,0.7,0.7,0.0,3,0,41,85.4,2,28,0,4,2,Match Report
N,5,0,17,0,0,0,0,0,1,0,1,17,0,0,0,0,0,Fri,Premier League,Matchweek 18,Home,D 1-1,Aston Villa,Sheffield Utd,LB,0,0,0,19,0,0.2,0.2,0.0,1,0,13,76.5,0,10,1,1,0,Match Report
N,6,0,41,0,0,0,0,0,0,0,0,22,1,0,0,0,0,Tue,Premier League,Matchweek 19,Away,L 2-3,Aston Villa,Manchester Utd,LB,0,0,0,26,1,0.0,0.0,0.5,3,0,17,77.3,1,15,5,2,1,Match Report
Y,7,0,90,0,0,1,0,0,0,0,0,38,0,0,0,0,0,Sat,Premier League,Matchweek 20,Home,W 3-2,Aston Villa,Burnley,LB,0,0,0,46,0,0.0,0.0,0.2,4,0,27,71.1,2,24,4,2,0,Match Report
Y,8,0,90,0,0,3,0,0,0,0,0,64,0,0,0,0,0,Sun,Premier League,Matchweek 21,Away,D 0-0,Aston Villa,Everton,LB,0,0,0,86,2,0.0,0.0,0.1,2,0,45,70.3,2,37,5,4,0,Match Report
Y,9,0,90,0,0,1,0,0,0,0,0,54,1,0,0,0,0,Tue,Premier League,Matchweek 22,Home,L 1-3,Aston Villa,Newcastle Utd,LB,0,0,0,62,0,0.0,0.0,0.0,1,0,44,81.5,2,45,4,3,2,Match Report
Y,10,0,90,0,0,2,0,0,1,0,1,49,3,0,1,0,0,Sat,Premier League,Matchweek 23,Away,W 5-0,Aston Villa,Sheffield Utd,LB,0,0,0,59,2,0.2,0.2,0.0,1,0,38,77.6,2,33,0,2,2,Match Report
Y,11,0,86,0,0,2,0,0,1,0,0,35,2,0,0,0,0,Sun,Premier League,Matchweek 24,Home,L 1-2,Aston Villa,Manchester Utd,LB,0,0,0,53,1,0.0,0.0,0.1,4,0,27,77.1,4,29,3,4,3,Match Report
Y,12,0,80,0,0,1,0,0,0,0,0,42,1,0,0,0,1,Sat,Premier League,Matchweek 25,Away,W 2-1,Aston Villa,Fulham,LB,0,0,0,47,0,0.0,0.0,0.0,0,0,32,76.2,0,23,3,0,0,Match Report
Y,13,0,58,0,0,1,0,0,0,0,0,31,0,0,0,0,1,Sat,Premier League,Matchweek 26,Home,W 4-2,Aston Villa,Nott'ham Forest,LB,0,0,0,38,0,0.0,0.0,0.2,2,0,28,90.3,2,26,3,2,1,Match Report
Y,14,0,78,0,0,2,0,0,0,0,0,40,1,0,0,0,0,Sat,Premier League,Matchweek 27,Away,W 3-2,Aston Villa,Luton Town,LB,0,0,0,50,0,0.0,0.0,0.0,0,0,38,95.0,0,27,0,1,1,Match Report
N,15,0,33,0,0,0,0,0,0,0,0,10,0,0,0,0,0,Sun,Premier League,Matchweek 28,Home,L 0-4,Aston Villa,Tottenham,LB,0,0,0,15,0,0.0,0.0,0.0,0,0,8,80.0,0,6,0,5,2,Match Report
Y,16,0,62,0,0,1,0,0,1,0,0,43,1,0,0,0,0,Sun,Premier League,Matchweek 29,Away,D 1-1,Aston Villa,West Ham,LB,0,0,0,52,2,0.0,0.0,0.0,0,0,33,76.7,4,31,1,2,1,Match Report
Y,17,0,62,0,0,1,0,0,0,0,0,23,1,0,0,0,0,Sat,Premier League,Matchweek 30,Home,W 2-0,Aston Villa,Wolves,LB,0,0,0,30,0,0.0,0.0,0.0,0,0,19,82.6,0,20,2,1,0,Match Report
N,18,0,20,0,0,0,0,0,0,0,0,5,0,0,0,0,0,Wed,Premier League,Matchweek 31,Away,L 1-4,Aston Villa,Manchester City,LW,0,0,0,6,0,0.0,0.0,0.0,0,0,3,60.0,0,2,0,1,0,Match Report
N,19,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Sat,Premier League,Matchweek 32,Home,D 3-3,Aston Villa,Brentford,LB,0,0,0,4,0,0.0,0.0,0.0,0,0,1,33.3,0,1,0,0,0,Match Report
N,20,0,11,0,0,1,0,0,0,0,0,3,0,0,0,0,0,Sun,Premier League,Matchweek 33,Away,W 2-0,Aston Villa,Arsenal,LW,0,0,0,9,2,0.0,0.0,0.0,1,1,2,66.7,1,1,0,0,0,Match Report
N,21,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Sun,Premier League,Matchweek 36,Away,L 0-1,Aston Villa,Brighton,LB,0,0,0,3,0,0.0,0.0,0.0,0,0,2,66.7,1,3,1,0,0,Match Report
