game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Sat,Premier League,Matchweek 1,Away,L 1-4,Luton Town,Brighton,WB,27,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,2,2,0,0,0,Match Report
N,2,Fri,Premier League,Matchweek 3,Away,L 0-3,Luton Town,Chelsea,"RM,RB",21,0,0,0,0,0,0,0,0,11,1,1,0,0.0,0.0,0.0,1,0,7,10,70.0,0,6,0,0,0,Match Report
Y,3,Fri,Premier League,Matchweek 4,Home,L 1-2,Luton Town,West Ham,"RB,LB",77,0,0,0,0,1,0,0,0,50,4,0,2,0.0,0.0,0.1,3,0,27,38,71.1,4,16,0,3,2,Match Report
N,4,Sat,Premier League,Matchweek 5,Away,L 0-1,Luton Town,Fulham,"LM,FW",17,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,3,8,37.5,0,1,1,0,0,Match Report
Y,5,Sat,Premier League,Matchweek 6,Home,D 1-1,Luton Town,Wolves,LM,71,0,0,0,0,3,0,0,0,70,0,2,2,0.1,0.1,0.5,9,0,43,60,71.7,6,38,4,1,0,Match Report
Y,6,Sat,Premier League,Matchweek 7,Away,W 2-1,Luton Town,Everton,WB,82,0,1,0,0,0,0,0,0,50,1,1,1,0.0,0.0,0.5,6,1,23,40,57.5,3,16,0,0,0,Match Report
Y,7,Tue,Premier League,Matchweek 2,Home,L 1-2,Luton Town,Burnley,WB,90,0,0,0,0,1,0,0,0,51,0,1,2,0.0,0.0,0.3,9,0,25,43,58.1,5,19,4,1,1,Match Report
Y,8,Sat,Premier League,Matchweek 8,Home,L 0-1,Luton Town,Tottenham,LB,90,0,0,0,0,2,0,0,0,67,4,0,6,0.1,0.1,0.2,4,0,24,48,50.0,2,15,1,2,0,Match Report
Y,9,Sat,Premier League,Matchweek 9,Away,D 2-2,Luton Town,Nott'ham Forest,LB,90,0,0,0,0,1,0,0,0,67,2,1,0,0.0,0.0,0.0,3,1,38,60,63.3,4,29,2,1,1,Match Report
Y,10,Sun,Premier League,Matchweek 10,Away,L 1-3,Luton Town,Aston Villa,WB,78,0,0,0,0,0,0,1,0,29,2,0,0,0.0,0.0,0.1,2,0,14,25,56.0,1,15,2,2,1,Match Report
Y,11,Sun,Premier League,Matchweek 11,Home,D 1-1,Luton Town,Liverpool,WB,90,0,0,0,0,0,0,0,0,52,1,0,1,0.0,0.0,0.0,2,0,24,45,53.3,4,21,2,4,4,Match Report
Y,12,Sat,Premier League,Matchweek 12,Away,L 0-1,Luton Town,Manchester Utd,WB,72,0,0,0,0,0,0,0,0,35,2,2,2,0.0,0.0,0.0,3,0,22,28,78.6,5,15,4,0,0,Match Report
Y,13,Sat,Premier League,Matchweek 13,Home,W 2-1,Luton Town,Crystal Palace,WB,78,0,0,0,0,0,0,0,0,56,2,1,1,0.0,0.0,0.0,3,0,33,47,70.2,3,28,7,5,3,Match Report
Y,14,Tue,Premier League,Matchweek 15,Home,L 3-4,Luton Town,Arsenal,WB,87,0,2,0,0,0,0,0,0,44,3,2,2,0.0,0.0,0.4,2,2,17,33,51.5,0,15,2,4,1,Match Report
Y,15,Sun,Premier League,Matchweek 16,Home,L 1-2,Luton Town,Manchester City,"RM,LB",90,0,0,0,0,0,0,1,0,48,3,1,0,0.0,0.0,0.0,1,1,21,38,55.3,3,17,4,4,2,Match Report
Y,16,Sat,Premier League,Matchweek 18,Home,W 1-0,Luton Town,Newcastle Utd,WB,90,0,0,0,0,0,0,0,0,74,1,3,1,0.0,0.0,0.2,2,0,43,57,75.4,2,40,4,7,3,Match Report
Y,17,Tue,Premier League,Matchweek 19,Away,W 3-2,Luton Town,Sheffield Utd,WB,77,1,0,0,0,2,1,0,0,51,1,0,0,0.1,0.1,0.0,3,1,31,44,70.5,1,30,4,2,2,Match Report
Y,18,Sat,Premier League,Matchweek 20,Home,L 2-3,Luton Town,Chelsea,WB,90,0,1,0,0,1,1,0,0,81,3,2,0,0.1,0.1,0.5,5,2,44,72,61.1,7,19,3,2,1,Match Report
Y,19,Fri,Premier League,Matchweek 21,Away,D 1-1,Luton Town,Burnley,WB,90,0,1,0,0,0,0,0,0,80,2,0,1,0.0,0.0,0.1,1,1,53,73,72.6,3,46,3,1,0,Match Report
Y,20,Tue,Premier League,Matchweek 22,Home,W 4-0,Luton Town,Brighton,WB,90,0,0,0,0,0,0,0,0,78,3,0,1,0.0,0.0,0.1,1,0,47,67,70.1,1,24,2,1,1,Match Report
Y,21,Sat,Premier League,Matchweek 23,Away,D 4-4,Luton Town,Newcastle Utd,WB,78,0,0,0,0,1,1,0,0,45,0,1,1,0.0,0.0,0.0,3,2,24,34,70.6,1,26,2,1,0,Match Report
Y,22,Sat,Premier League,Matchweek 24,Home,L 1-3,Luton Town,Sheffield Utd,WB,86,0,0,0,0,2,0,0,0,88,3,0,0,0.1,0.1,0.4,14,0,57,81,70.4,8,50,6,2,1,Match Report
Y,23,Sun,Premier League,Matchweek 25,Home,L 1-2,Luton Town,Manchester Utd,WB,81,0,0,0,0,2,0,0,0,76,1,0,1,0.2,0.2,0.3,3,0,45,70,64.3,3,42,6,1,0,Match Report
Y,24,Wed,Premier League,Matchweek 26,Away,L 1-4,Luton Town,Liverpool,WB,73,0,0,0,0,2,0,1,0,40,1,0,0,0.1,0.1,0.0,2,0,22,33,66.7,1,19,0,1,0,Match Report
Y,25,Sat,Premier League,Matchweek 27,Home,L 2-3,Luton Town,Aston Villa,"WB,CB",90,0,1,0,0,2,0,0,0,70,0,1,0,0.1,0.1,0.5,3,1,47,66,71.2,4,35,3,0,0,Match Report
Y,26,Sat,Premier League,Matchweek 28,Away,D 1-1,Luton Town,Crystal Palace,WB,90,0,0,0,0,0,0,0,0,66,1,1,0,0.0,0.0,0.2,2,0,40,61,65.6,4,39,3,5,3,Match Report
Y,27,Wed,Premier League,Matchweek 17,Away,L 3-4,Luton Town,Bournemouth,WB,90,0,1,0,0,0,0,0,0,54,1,1,4,0.0,0.0,0.9,3,1,25,42,59.5,1,18,1,1,0,Match Report
Y,28,Sat,Premier League,Matchweek 29,Home,D 1-1,Luton Town,Nott'ham Forest,WB,45,0,0,0,0,0,0,0,0,31,0,0,1,0.0,0.0,0.0,0,0,18,28,64.3,0,19,2,1,1,Match Report
Y,29,Sat,Premier League,Matchweek 30,Away,L 1-2,Luton Town,Tottenham,LB,82,0,0,0,0,1,0,0,0,45,1,0,3,0.1,0.1,0.1,3,0,22,35,62.9,0,15,0,0,0,Match Report
Y,30,Wed,Premier League,Matchweek 31,Away,L 0-2,Luton Town,Arsenal,"WB,LB",90,0,0,0,0,0,0,0,0,66,4,3,3,0.0,0.0,0.0,1,0,44,56,78.6,2,41,5,0,0,Match Report
Y,31,Sat,Premier League,Matchweek 32,Home,W 2-1,Luton Town,Bournemouth,WB,90,0,0,0,0,1,1,0,0,53,2,2,2,0.0,0.0,0.0,2,1,28,45,62.2,1,24,5,1,0,Match Report
Y,32,Sat,Premier League,Matchweek 33,Away,L 1-5,Luton Town,Manchester City,"CB,WB",90,0,0,0,0,1,1,0,0,49,2,1,4,0.2,0.2,0.0,2,0,31,37,83.8,4,25,2,3,2,Match Report
Y,33,Sat,Premier League,Matchweek 34,Home,L 1-5,Luton Town,Brentford,"LB,WB",90,0,0,0,0,1,1,1,0,66,5,1,0,0.0,0.0,0.0,2,0,35,53,66.0,6,31,3,5,2,Match Report
Y,34,Sat,Premier League,Matchweek 35,Away,L 1-2,Luton Town,Wolves,WB,87,0,0,0,0,0,0,0,0,53,1,1,2,0.0,0.0,0.2,3,1,33,45,73.3,4,23,2,1,1,Match Report
Y,35,Fri,Premier League,Matchweek 36,Home,D 1-1,Luton Town,Everton,WB,90,0,0,0,0,1,1,0,0,69,3,0,0,0.0,0.0,0.3,8,0,46,61,75.4,2,31,2,4,0,Match Report
Y,36,Sat,Premier League,Matchweek 37,Away,L 1-3,Luton Town,West Ham,WB,86,0,1,0,0,0,0,0,0,62,1,1,3,0.0,0.0,0.2,2,1,32,50,64.0,5,25,2,0,0,Match Report
Y,37,Sun,Premier League,Matchweek 38,Home,L 2-4,Luton Town,Fulham,LM,90,1,0,0,0,1,1,1,0,53,2,1,4,0.0,0.0,0.2,2,0,27,46,58.7,4,22,1,1,1,Match Report
