game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,match_report
Y,1,Mon,Premier League,Matchweek 1,Home,W 1-0,Manchester Utd,Wolves,GK,90,Match Report
Y,2,Sat,Premier League,Matchweek 2,Away,L 0-2,Manchester Utd,Tottenham,GK,90,Match Report
Y,3,Sat,Premier League,Matchweek 3,Home,W 3-2,Manchester Utd,Nott'ham Forest,GK,90,Match Report
Y,4,Sun,Premier League,Matchweek 4,Away,L 1-3,Manchester Utd,Arsenal,GK,90,Match Report
Y,5,Sat,Premier League,Matchweek 5,Home,L 1-3,Manchester Utd,Brighton,GK,90,Match Report
Y,6,Sat,Premier League,Matchweek 6,Away,W 1-0,Manchester Utd,Burnley,GK,90,Match Report
Y,7,Sat,Premier League,Matchweek 7,Home,L 0-1,Manchester Utd,Crystal Palace,GK,90,Match Report
Y,8,Sat,Premier League,Matchweek 8,Home,W 2-1,Manchester Utd,Brentford,GK,90,Match Report
Y,9,Sat,Premier League,Matchweek 9,Away,W 2-1,Manchester Utd,Sheffield Utd,GK,90,Match Report
Y,10,Sun,Premier League,Matchweek 10,Home,L 0-3,Manchester Utd,Manchester City,GK,90,Match Report
Y,11,Sat,Premier League,Matchweek 11,Away,W 1-0,Manchester Utd,Fulham,GK,90,Match Report
Y,12,Sat,Premier League,Matchweek 12,Home,W 1-0,Manchester Utd,Luton Town,GK,90,Match Report
Y,13,Sun,Premier League,Matchweek 13,Away,W 3-0,Manchester Utd,Everton,GK,90,Match Report
Y,14,Sat,Premier League,Matchweek 14,Away,L 0-1,Manchester Utd,Newcastle Utd,GK,90,Match Report
Y,15,Wed,Premier League,Matchweek 15,Home,W 2-1,Manchester Utd,Chelsea,GK,90,Match Report
Y,16,Sat,Premier League,Matchweek 16,Home,L 0-3,Manchester Utd,Bournemouth,GK,90,Match Report
Y,17,Sun,Premier League,Matchweek 17,Away,D 0-0,Manchester Utd,Liverpool,GK,90,Match Report
Y,18,Sat,Premier League,Matchweek 18,Away,L 0-2,Manchester Utd,West Ham,GK,90,Match Report
Y,19,Tue,Premier League,Matchweek 19,Home,W 3-2,Manchester Utd,Aston Villa,GK,90,Match Report
Y,20,Sat,Premier League,Matchweek 20,Away,L 1-2,Manchester Utd,Nott'ham Forest,GK,90,Match Report
Y,21,Sun,Premier League,Matchweek 21,Home,D 2-2,Manchester Utd,Tottenham,GK,90,Match Report
Y,22,Thu,Premier League,Matchweek 22,Away,W 4-3,Manchester Utd,Wolves,GK,90,Match Report
Y,23,Sun,Premier League,Matchweek 23,Home,W 3-0,Manchester Utd,West Ham,GK,90,Match Report
Y,24,Sun,Premier League,Matchweek 24,Away,W 2-1,Manchester Utd,Aston Villa,GK,90,Match Report
Y,25,Sun,Premier League,Matchweek 25,Away,W 2-1,Manchester Utd,Luton Town,GK,90,Match Report
Y,26,Sat,Premier League,Matchweek 26,Home,L 1-2,Manchester Utd,Fulham,GK,90,Match Report
Y,27,Sun,Premier League,Matchweek 27,Away,L 1-3,Manchester Utd,Manchester City,GK,90,Match Report
Y,28,Sat,Premier League,Matchweek 28,Home,W 2-0,Manchester Utd,Everton,GK,90,Match Report
Y,29,Sat,Premier League,Matchweek 30,Away,D 1-1,Manchester Utd,Brentford,GK,90,Match Report
Y,30,Thu,Premier League,Matchweek 31,Away,L 3-4,Manchester Utd,Chelsea,GK,90,Match Report
Y,31,Sun,Premier League,Matchweek 32,Home,D 2-2,Manchester Utd,Liverpool,GK,90,Match Report
Y,32,Sat,Premier League,Matchweek 33,Away,D 2-2,Manchester Utd,Bournemouth,GK,90,Match Report
Y,33,Wed,Premier League,Matchweek 29,Home,W 4-2,Manchester Utd,Sheffield Utd,GK,90,Match Report
Y,34,Sat,Premier League,Matchweek 35,Home,D 1-1,Manchester Utd,Burnley,GK,90,Match Report
Y,35,Mon,Premier League,Matchweek 36,Away,L 0-4,Manchester Utd,Crystal Palace,GK,90,Match Report
Y,36,Sun,Premier League,Matchweek 37,Home,L 0-1,Manchester Utd,Arsenal,GK,90,Match Report
Y,37,Wed,Premier League,Matchweek 34,Home,W 3-2,Manchester Utd,Newcastle Utd,GK,90,Match Report
Y,38,Sun,Premier League,Matchweek 38,Away,W 2-0,Manchester Utd,Brighton,GK,90,Match Report
