game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Sat,Premier League,Matchweek 9,Away,D 2-2,Luton Town,Nott'ham Forest,RM,19,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,1,8,12.5,0,4,0,0,0,Match Report
N,2,Sun,Premier League,Matchweek 10,Away,L 1-3,Luton Town,Aston Villa,AM,34,0,0,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.1,5,0,16,18,88.9,1,8,2,0,0,Match Report
Y,3,Sun,Premier League,Matchweek 11,Home,D 1-1,Luton Town,Liverpool,AM,60,0,0,0,0,0,0,0,0,28,3,0,1,0.0,0.0,0.0,0,0,10,13,76.9,1,12,0,3,1,Match Report
Y,4,Sat,Premier League,Matchweek 12,Away,L 0-1,Luton Town,Manchester Utd,AM,60,0,0,0,0,3,1,0,0,30,3,2,1,0.1,0.1,0.0,0,0,10,18,55.6,1,14,4,4,2,Match Report
Y,5,Sat,Premier League,Matchweek 13,Home,W 2-1,Luton Town,Crystal Palace,AM,60,0,0,0,0,0,0,0,0,26,0,0,1,0.0,0.0,0.0,0,0,10,18,55.6,2,15,0,0,0,Match Report
N,6,Sat,Premier League,Matchweek 14,Away,L 1-3,Luton Town,Brentford,"RW,AM",31,0,0,0,0,0,0,0,0,17,0,0,1,0.0,0.0,0.0,1,0,7,11,63.6,1,10,1,2,1,Match Report
Y,7,Tue,Premier League,Matchweek 15,Home,L 3-4,Luton Town,Arsenal,AM,61,0,1,0,0,1,0,0,0,33,0,0,0,0.0,0.0,0.1,3,3,14,22,63.6,2,14,0,1,1,Match Report
Y,8,Sun,Premier League,Matchweek 16,Home,L 1-2,Luton Town,Manchester City,RW,71,0,1,0,0,1,1,0,0,28,1,2,0,0.0,0.0,0.3,1,1,17,22,77.3,0,14,1,0,0,Match Report
Y,9,Sat,Premier League,Matchweek 18,Home,W 1-0,Luton Town,Newcastle Utd,AM,80,1,0,0,0,3,2,0,0,36,1,0,1,0.5,0.5,0.0,1,0,20,27,74.1,5,24,4,3,2,Match Report
Y,10,Tue,Premier League,Matchweek 19,Away,W 3-2,Luton Town,Sheffield Utd,AM,83,0,0,0,0,3,1,0,0,29,2,0,0,0.2,0.2,0.1,4,0,17,21,81.0,1,19,6,3,1,Match Report
Y,11,Sat,Premier League,Matchweek 20,Home,L 2-3,Luton Town,Chelsea,AM,61,0,0,0,0,0,0,0,0,25,0,0,2,0.0,0.0,0.2,5,0,13,19,68.4,4,13,2,1,1,Match Report
Y,12,Fri,Premier League,Matchweek 21,Away,D 1-1,Luton Town,Burnley,AM,63,0,0,0,0,0,0,0,0,30,2,0,2,0.0,0.0,0.1,2,0,17,24,70.8,3,19,2,2,1,Match Report
N,13,Tue,Premier League,Matchweek 22,Home,W 4-0,Luton Town,Brighton,AM,23,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,0,0,5,7,71.4,1,4,0,1,0,Match Report
N,14,Sat,Premier League,Matchweek 24,Home,L 1-3,Luton Town,Sheffield Utd,CB,23,0,0,0,0,1,1,0,0,31,0,0,0,0.0,0.0,0.0,1,0,17,28,60.7,0,22,4,1,0,Match Report
N,15,Sun,Premier League,Matchweek 25,Home,L 1-2,Luton Town,Manchester Utd,FW,23,0,0,0,0,1,0,1,0,22,0,0,0,0.0,0.0,0.1,3,0,16,18,88.9,0,17,4,1,1,Match Report
N,16,Wed,Premier League,Matchweek 26,Away,L 1-4,Luton Town,Liverpool,FW,33,0,0,0,0,3,0,0,0,18,1,0,0,0.1,0.1,0.0,1,0,7,12,58.3,1,11,2,1,1,Match Report
Y,17,Sat,Premier League,Matchweek 27,Home,L 2-3,Luton Town,Aston Villa,AM,52,0,0,0,0,1,0,0,0,13,0,0,1,0.1,0.1,0.0,1,0,5,10,50.0,1,8,0,1,0,Match Report
N,18,Sat,Premier League,Matchweek 28,Away,D 1-1,Luton Town,Crystal Palace,AM,4,0,1,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.1,1,1,3,4,75.0,1,3,1,0,0,Match Report
N,19,Wed,Premier League,Matchweek 17,Away,L 3-4,Luton Town,Bournemouth,AM,3,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,2,1,0,0,Match Report
N,20,Sat,Premier League,Matchweek 29,Home,D 1-1,Luton Town,Nott'ham Forest,CM,31,0,0,0,0,1,1,0,0,25,0,0,0,0.0,0.0,0.0,0,0,16,20,80.0,3,18,4,3,1,Match Report
Y,21,Sat,Premier League,Matchweek 30,Away,L 1-2,Luton Town,Tottenham,RW,90,0,0,0,0,1,0,0,0,35,2,0,1,0.0,0.0,0.1,3,1,17,25,68.0,2,20,2,4,2,Match Report
Y,22,Wed,Premier League,Matchweek 31,Away,L 0-2,Luton Town,Arsenal,"AM,RW",80,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,1,0,17,22,77.3,1,18,2,1,0,Match Report
Y,23,Sat,Premier League,Matchweek 32,Home,W 2-1,Luton Town,Bournemouth,AM,61,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.2,3,0,33,40,82.5,4,37,2,1,0,Match Report
Y,24,Sat,Premier League,Matchweek 33,Away,L 1-5,Luton Town,Manchester City,AM,58,0,0,0,0,0,0,0,0,18,3,1,0,0.0,0.0,0.0,0,0,4,9,44.4,0,13,1,0,0,Match Report
N,25,Sat,Premier League,Matchweek 34,Home,L 1-5,Luton Town,Brentford,RW,20,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,4,1,0,0,Match Report
N,26,Fri,Premier League,Matchweek 36,Home,D 1-1,Luton Town,Everton,"AM,FW",11,0,0,0,0,1,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,1,0,0,0,Match Report
N,27,Sun,Premier League,Matchweek 38,Home,L 2-4,Luton Town,Fulham,RM,15,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,3,1,1,1,Match Report
