game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sat,Premier League,Matchweek 1,Away,W 1-0,Fulham,Everton,LB,90,0,0,0,0,0,0,0,0,78,3,0,1,0.0,0.0,0.0,0,0,52,67,77.6,4,46,0,1,0,Match Report
Y,2,Sat,Premier League,Matchweek 2,Home,L 0-3,Fulham,Brentford,LB,90,0,0,0,0,0,0,0,0,49,1,0,0,0.0,0.0,0.0,2,0,37,45,82.2,4,26,3,1,0,Match Report
Y,3,Sat,Premier League,Matchweek 3,Away,D 2-2,Fulham,Arsenal,LB,90,0,0,0,0,0,0,0,0,40,3,0,1,0.0,0.0,0.2,1,0,19,30,63.3,3,15,2,0,0,Match Report
Y,4,Sat,Premier League,Matchweek 4,Away,L 1-5,Fulham,Manchester City,LB,90,0,0,0,0,0,0,1,0,38,2,1,2,0.0,0.0,0.0,0,0,22,30,73.3,0,16,3,3,1,Match Report
Y,5,Sat,Premier League,Matchweek 6,Away,D 0-0,Fulham,Crystal Palace,LB,90,0,0,0,0,0,0,0,0,77,2,4,0,0.0,0.0,0.1,2,0,40,58,69.0,6,41,3,2,1,Match Report
Y,6,Mon,Premier League,Matchweek 7,Home,L 0-2,Fulham,Chelsea,LB,90,0,0,0,0,0,0,0,0,69,4,6,1,0.0,0.0,0.1,2,0,43,59,72.9,1,38,2,1,1,Match Report
Y,7,Sat,Premier League,Matchweek 8,Home,W 3-1,Fulham,Sheffield Utd,LB,90,0,0,0,0,1,0,0,0,105,1,2,2,0.0,0.0,0.2,2,0,65,87,74.7,7,60,6,5,3,Match Report
Y,8,Mon,Premier League,Matchweek 9,Away,L 0-2,Fulham,Tottenham,LB,90,0,0,0,0,0,0,0,0,80,4,5,3,0.0,0.0,0.0,1,0,52,66,78.8,1,41,3,6,3,Match Report
Y,9,Sun,Premier League,Matchweek 10,Away,D 1-1,Fulham,Brighton,LB,90,0,0,0,0,1,0,1,0,58,3,3,2,0.0,0.0,0.1,1,0,32,43,74.4,5,27,2,3,1,Match Report
Y,10,Sat,Premier League,Matchweek 11,Home,L 0-1,Fulham,Manchester Utd,LB,90,0,0,0,0,0,0,1,0,53,1,1,2,0.0,0.0,0.0,2,0,23,44,52.3,4,20,4,3,2,Match Report
Y,11,Sun,Premier League,Matchweek 12,Away,L 1-3,Fulham,Aston Villa,LB,90,0,1,0,0,0,0,1,0,59,1,1,1,0.0,0.0,0.6,3,1,37,47,78.7,5,34,5,1,1,Match Report
Y,12,Mon,Premier League,Matchweek 13,Home,W 3-2,Fulham,Wolves,LB,90,0,1,0,0,1,0,0,0,84,2,2,2,0.0,0.0,0.7,2,1,48,71,67.6,6,37,2,3,1,Match Report
Y,13,Sun,Premier League,Matchweek 14,Away,L 3-4,Fulham,Liverpool,LB,90,0,1,0,0,2,1,0,0,71,4,13,3,0.1,0.1,0.2,1,1,34,46,73.9,4,36,5,2,1,Match Report
Y,14,Wed,Premier League,Matchweek 15,Home,W 5-0,Fulham,Nott'ham Forest,LB,74,0,0,0,0,0,0,0,0,65,4,1,0,0.0,0.0,0.0,0,0,45,57,78.9,2,33,1,1,1,Match Report
Y,15,Sun,Premier League,Matchweek 16,Home,W 5-0,Fulham,West Ham,LB,71,0,0,0,0,0,0,0,0,67,4,1,0,0.0,0.0,0.0,3,0,48,56,85.7,2,31,1,1,0,Match Report
Y,16,Sat,Premier League,Matchweek 17,Away,L 0-3,Fulham,Newcastle Utd,LB,90,0,0,0,0,0,0,0,0,58,3,7,4,0.0,0.0,0.0,3,0,25,35,71.4,1,25,3,3,0,Match Report
Y,17,Sat,Premier League,Matchweek 18,Home,L 0-2,Fulham,Burnley,LB,81,0,0,0,0,2,0,0,0,80,3,2,0,0.1,0.1,0.0,2,0,51,66,77.3,5,45,2,5,3,Match Report
Y,18,Tue,Premier League,Matchweek 19,Away,L 0-3,Fulham,Bournemouth,LB,82,0,0,0,0,1,1,0,0,70,2,0,1,0.0,0.0,0.1,2,0,44,59,74.6,5,38,1,3,2,Match Report
Y,19,Sun,Premier League,Matchweek 20,Home,W 2-1,Fulham,Arsenal,LB,90,0,0,0,0,0,0,0,0,51,6,3,2,0.0,0.0,0.2,3,0,24,33,72.7,4,25,3,3,1,Match Report
Y,20,Sat,Premier League,Matchweek 21,Away,L 0-1,Fulham,Chelsea,LB,90,0,0,0,0,0,0,0,0,74,0,3,1,0.0,0.0,0.2,4,0,42,63,66.7,2,48,3,2,1,Match Report
Y,21,Tue,Premier League,Matchweek 22,Home,D 0-0,Fulham,Everton,LB,90,0,0,0,0,1,1,0,0,86,1,0,0,0.0,0.0,0.1,3,0,60,75,80.0,1,51,4,4,0,Match Report
Y,22,Sat,Premier League,Matchweek 23,Away,D 2-2,Fulham,Burnley,LB,90,0,1,0,0,0,0,0,0,70,2,3,2,0.0,0.0,0.2,2,1,36,55,65.5,3,38,2,2,0,Match Report
Y,23,Sat,Premier League,Matchweek 24,Home,W 3-1,Fulham,Bournemouth,LB,90,0,0,0,0,1,1,0,0,74,3,5,1,0.2,0.2,0.0,3,0,42,58,72.4,2,30,2,1,1,Match Report
