game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Mon,Premier League,Matchweek 1,Home,W 1-0,Manchester Utd,Wolves,RM,76,0,0,0,0,3,0,0,0,38,0,0,3,0.2,0.2,0.3,4,0,24,32,75.0,2,24,7,2,2,Match Report
Y,2,Sat,Premier League,Matchweek 2,Away,L 0-2,Manchester Utd,Tottenham,RW,65,0,0,0,0,3,0,1,0,37,6,2,0,0.2,0.2,0.1,2,0,14,19,73.7,5,24,3,3,0,Match Report
Y,3,Sat,Premier League,Matchweek 3,Home,W 3-2,Manchester Utd,Nott'ham Forest,RW,84,0,0,0,0,4,2,0,0,55,0,0,0,0.2,0.2,0.4,7,0,37,44,84.1,6,46,3,5,1,Match Report
Y,4,Sun,Premier League,Matchweek 4,Away,L 1-3,Manchester Utd,Arsenal,RW,83,0,0,0,0,1,0,0,0,44,1,3,3,0.0,0.0,0.0,0,0,17,28,60.7,1,28,3,6,2,Match Report
N,5,Sat,Premier League,Matchweek 8,Home,W 2-1,Manchester Utd,Brentford,"RW,WB",28,0,0,0,0,3,0,0,0,23,0,0,1,0.1,0.1,0.0,1,0,15,19,78.9,4,21,2,0,0,Match Report
Y,6,Sat,Premier League,Matchweek 9,Away,W 2-1,Manchester Utd,Sheffield Utd,RW,63,0,0,0,0,2,1,0,0,43,0,0,0,0.1,0.1,0.0,1,0,24,33,72.7,3,34,1,3,1,Match Report
N,7,Sun,Premier League,Matchweek 10,Home,L 0-3,Manchester Utd,Manchester City,RW,5,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,Match Report
Y,8,Sat,Premier League,Matchweek 11,Away,W 1-0,Manchester Utd,Fulham,RW,62,0,0,0,0,0,0,0,0,42,1,1,5,0.0,0.0,0.0,4,0,23,29,79.3,1,28,0,5,1,Match Report
N,9,Sat,Premier League,Matchweek 12,Home,W 1-0,Manchester Utd,Luton Town,LW,23,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.3,2,0,5,5,100.0,3,6,1,0,0,Match Report
N,10,Sat,Premier League,Matchweek 14,Away,L 0-1,Manchester Utd,Newcastle Utd,RW,30,0,0,0,0,1,0,1,0,15,0,0,1,0.2,0.2,0.0,0,0,8,10,80.0,3,10,0,2,0,Match Report
Y,11,Wed,Premier League,Matchweek 15,Home,W 2-1,Manchester Utd,Chelsea,RW,90,0,0,0,0,4,1,0,0,46,2,0,1,0.4,0.4,0.3,4,0,24,33,72.7,6,38,2,5,2,Match Report
Y,12,Sat,Premier League,Matchweek 16,Home,L 0-3,Manchester Utd,Bournemouth,RW,78,0,0,0,0,1,0,0,0,63,2,0,1,0.1,0.1,0.1,3,0,46,57,80.7,11,43,2,4,3,Match Report
Y,13,Sun,Premier League,Matchweek 17,Away,D 0-0,Manchester Utd,Liverpool,RW,81,0,0,0,0,1,0,0,0,36,7,0,1,0.0,0.0,0.1,3,0,15,24,62.5,2,20,4,3,1,Match Report
Y,14,Sat,Premier League,Matchweek 18,Away,L 0-2,Manchester Utd,West Ham,RW,72,0,0,0,0,1,1,0,0,54,3,0,2,0.0,0.0,0.6,3,0,35,43,81.4,2,40,3,5,1,Match Report
N,15,Tue,Premier League,Matchweek 19,Home,W 3-2,Manchester Utd,Aston Villa,"FW,RW",11,0,0,0,0,0,0,0,0,3,2,0,0,0.0,0.0,0.0,1,1,1,2,50.0,0,3,0,0,0,Match Report
Y,16,Sat,Premier League,Matchweek 20,Away,L 1-2,Manchester Utd,Nott'ham Forest,RW,53,0,0,0,0,0,0,0,0,36,2,1,1,0.0,0.0,0.0,0,0,19,24,79.2,0,16,0,3,1,Match Report
N,17,Sun,Premier League,Matchweek 21,Home,D 2-2,Manchester Utd,Tottenham,RW,3,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,5,40.0,0,2,0,0,0,Match Report
N,18,Thu,Premier League,Matchweek 22,Away,W 4-3,Manchester Utd,Wolves,LW,18,0,0,0,0,2,0,0,0,13,1,1,0,0.1,0.1,0.0,1,0,2,4,50.0,0,10,1,4,1,Match Report
N,19,Sun,Premier League,Matchweek 23,Home,W 3-0,Manchester Utd,West Ham,RW,3,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,0,0,9,9,100.0,0,6,3,1,1,Match Report
N,20,Sat,Premier League,Matchweek 26,Home,L 1-2,Manchester Utd,Fulham,LB,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,1,0,0,Match Report
N,21,Sun,Premier League,Matchweek 27,Away,L 1-3,Manchester Utd,Manchester City,RW,16,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,1,0,1,0,Match Report
