game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Sat,Premier League,Matchweek 4,Away,D 2-2,Everton,Sheffield Utd,CB,1,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0,Match Report
Y,2,Sat,Premier League,Matchweek 17,Away,W 2-0,Everton,Burnley,CB,90,0,0,0,0,0,0,0,0,38,1,2,0,0.0,0.0,0.0,1,0,24,31,77.4,2,26,0,1,0,Match Report
Y,3,Tue,Premier League,Matchweek 22,Away,D 0-0,Everton,Fulham,RB,90,0,0,0,0,4,0,1,0,37,4,0,0,0.6,0.6,0.2,6,0,11,22,50.0,4,13,1,0,0,Match Report
Y,4,Sat,Premier League,Matchweek 23,Home,D 2-2,Everton,Tottenham,RB,74,0,0,0,0,2,1,1,0,56,3,2,2,0.2,0.2,0.0,0,0,24,38,63.2,3,17,1,1,0,Match Report
Y,5,Sat,Premier League,Matchweek 24,Away,L 0-2,Everton,Manchester City,RB,55,0,0,0,0,1,1,0,0,27,1,0,2,0.2,0.2,0.0,0,0,9,16,56.3,0,2,0,0,0,Match Report
Y,6,Mon,Premier League,Matchweek 25,Home,D 1-1,Everton,Crystal Palace,RB,90,0,0,0,0,0,0,0,0,80,6,1,1,0.0,0.0,0.0,4,0,44,62,71.0,10,30,3,4,1,Match Report
Y,7,Sat,Premier League,Matchweek 26,Away,D 1-1,Everton,Brighton,RB,90,0,0,0,0,0,0,0,0,43,1,1,3,0.0,0.0,0.0,1,1,25,33,75.8,0,15,0,4,3,Match Report
Y,8,Sat,Premier League,Matchweek 27,Home,L 1-3,Everton,West Ham,RB,90,0,0,0,0,1,0,0,0,62,4,0,0,0.0,0.0,0.0,2,1,37,49,75.5,4,21,2,2,0,Match Report
Y,9,Sat,Premier League,Matchweek 28,Away,L 0-2,Everton,Manchester Utd,RB,90,0,0,0,0,2,1,0,0,66,1,2,0,0.4,0.4,0.0,1,0,37,54,68.5,4,38,1,1,0,Match Report
Y,10,Sat,Premier League,Matchweek 30,Away,L 1-2,Everton,Bournemouth,LB,90,0,0,0,0,0,0,0,0,50,4,1,0,0.0,0.0,0.0,0,0,28,40,70.0,3,6,2,1,1,Match Report
Y,11,Tue,Premier League,Matchweek 31,Away,D 1-1,Everton,Newcastle Utd,RB,89,0,0,0,0,0,0,0,0,42,0,1,1,0.0,0.0,0.0,1,0,24,32,75.0,3,10,0,0,0,Match Report
N,12,Mon,Premier League,Matchweek 33,Away,L 0-6,Everton,Chelsea,RB,1,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,1,3,0,0,0,Match Report
Y,13,Wed,Premier League,Matchweek 29,Home,W 2-0,Everton,Liverpool,RB,90,0,0,0,0,3,0,0,0,39,2,5,2,0.2,0.2,0.0,1,1,12,20,60.0,2,8,1,0,0,Match Report
Y,14,Sat,Premier League,Matchweek 35,Home,W 1-0,Everton,Brentford,RB,90,0,0,0,0,2,0,0,0,58,0,1,0,0.1,0.1,0.0,0,0,30,45,66.7,3,29,0,0,0,Match Report
Y,15,Fri,Premier League,Matchweek 36,Away,D 1-1,Everton,Luton Town,"RB,LB",90,0,0,0,0,0,0,0,0,47,3,0,2,0.0,0.0,0.0,0,0,26,33,78.8,4,12,0,0,0,Match Report
