game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,80,0,0,2,0,0,0,0,0,44,0,0,0,0,0,Sat,Premier League,Matchweek 4,Home,D 2-2,Brentford,Bournemouth,CB,0,0,0,52,2,0.0,0.0,0.1,2,0,34,77.3,4,26,0,0,0,Match Report
Y,2,0,71,0,0,3,0,0,0,0,0,28,1,0,0,0,0,Sat,Premier League,Matchweek 5,Away,L 0-1,Brentford,Newcastle Utd,CB,0,0,0,34,0,0.0,0.0,0.0,0,0,22,78.6,2,20,1,0,0,Match Report
N,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Sat,Premier League,Matchweek 11,Home,W 3-2,Brentford,West Ham,LB,0,0,0,5,0,0.0,0.0,0.0,0,0,1,50.0,0,2,0,0,0,Match Report
Y,4,0,90,0,0,1,0,0,1,0,0,33,1,0,0,0,0,Sun,Premier League,Matchweek 12,Away,L 0-3,Brentford,Liverpool,CB,0,0,0,43,0,0.1,0.1,0.0,2,0,21,63.6,2,22,0,0,0,Match Report
Y,5,0,90,0,0,2,0,0,0,0,0,47,2,0,0,0,0,Sat,Premier League,Matchweek 13,Home,L 0-1,Brentford,Arsenal,CB,0,0,0,61,1,0.0,0.0,0.1,1,0,34,72.3,5,26,0,1,1,Match Report
Y,6,0,90,0,0,0,0,0,3,0,1,94,1,0,1,0,0,Sat,Premier League,Matchweek 14,Home,W 3-1,Brentford,Luton Town,CB,0,0,0,103,2,0.2,0.2,0.1,5,1,81,86.2,11,66,2,1,1,Match Report
Y,7,0,90,0,0,1,0,0,1,0,0,53,0,0,0,0,0,Wed,Premier League,Matchweek 15,Away,L 1-2,Brentford,Brighton,CB,0,0,0,64,2,0.1,0.1,0.0,1,0,44,83.0,1,36,1,1,0,Match Report
Y,8,0,90,0,0,2,0,0,1,0,0,66,2,0,0,0,0,Sat,Premier League,Matchweek 16,Away,L 0-1,Brentford,Sheffield Utd,CB,0,0,0,77,0,0.1,0.1,0.0,1,0,53,80.3,6,55,3,1,0,Match Report
Y,9,0,70,0,0,0,0,0,0,0,0,19,0,0,0,0,0,Sun,Premier League,Matchweek 17,Home,L 1-2,Brentford,Aston Villa,CB,0,0,1,23,1,0.0,0.0,0.0,0,0,11,57.9,1,12,0,0,0,Match Report
Y,10,0,90,0,0,2,0,0,2,0,1,56,1,0,1,0,0,Sat,Premier League,Matchweek 21,Home,W 3-2,Brentford,Nott'ham Forest,CB,0,0,0,70,3,0.1,0.1,0.0,0,0,44,78.6,3,32,3,1,1,Match Report
Y,11,0,90,0,0,4,0,0,1,0,0,28,1,0,0,0,0,Wed,Premier League,Matchweek 22,Away,L 2-3,Brentford,Tottenham,CB,0,0,0,45,3,0.1,0.1,0.0,0,0,17,60.7,5,9,1,0,0,Match Report
Y,12,0,90,0,0,4,0,0,0,0,0,33,1,0,0,0,0,Mon,Premier League,Matchweek 23,Home,L 1-3,Brentford,Manchester City,CB,0,0,0,53,1,0.0,0.0,0.0,0,0,29,87.9,1,19,0,0,0,Match Report
Y,13,0,90,0,0,1,0,0,0,0,0,36,2,0,0,0,0,Sat,Premier League,Matchweek 24,Away,W 2-0,Brentford,Wolves,CB,0,0,0,47,2,0.0,0.0,0.0,0,0,25,69.4,1,18,0,0,0,Match Report
Y,14,0,90,0,0,2,0,0,1,0,0,47,1,0,0,0,0,Sat,Premier League,Matchweek 25,Home,L 1-4,Brentford,Liverpool,CB,0,0,0,60,1,0.8,0.8,0.0,2,0,32,68.1,0,19,0,1,0,Match Report
Y,15,0,90,0,0,1,0,0,0,0,0,39,0,0,0,0,1,Tue,Premier League,Matchweek 18,Away,L 0-1,Brentford,Manchester City,CB,0,0,0,47,2,0.0,0.0,0.0,0,0,30,76.9,3,12,0,0,0,Match Report
Y,16,0,60,0,0,1,0,0,0,0,0,42,0,0,0,0,0,Mon,Premier League,Matchweek 26,Away,L 2-4,Brentford,West Ham,CB,0,0,0,45,1,0.0,0.0,0.0,0,0,33,78.6,4,14,0,0,0,Match Report
