game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,90,0,0,0,0,0,0,0,0,106,2,0,0,0,1,Sat,Premier League,Matchweek 1,Home,W 2-1,Arsenal,Nott'ham Forest,"CB,RB",0,0,0,110,0,0.0,0.0,0.0,2,0,94,88.7,7,91,2,1,0,Match Report
Y,2,0,90,0,0,0,0,0,0,0,0,69,0,0,0,0,0,Mon,Premier League,Matchweek 2,Away,W 1-0,Arsenal,Crystal Palace,"CB,RB",0,0,0,76,2,0.0,0.0,0.0,1,0,61,88.4,6,54,0,0,0,Match Report
Y,3,0,90,0,0,0,0,0,0,0,0,99,0,0,0,0,0,Sat,Premier League,Matchweek 3,Home,D 2-2,Arsenal,Fulham,"CB,RB",0,0,0,108,1,0.0,0.0,0.1,5,0,87,87.9,9,61,3,1,0,Match Report
Y,4,0,90,0,0,1,0,0,0,0,0,70,0,0,0,0,0,Sun,Premier League,Matchweek 4,Home,W 3-1,Arsenal,Manchester Utd,RB,0,0,0,76,3,0.0,0.0,0.4,2,0,57,81.4,1,41,2,0,0,Match Report
Y,5,0,90,0,0,1,0,0,1,0,1,105,0,0,0,0,0,Sun,Premier League,Matchweek 5,Away,W 1-0,Arsenal,Everton,RB,0,0,0,109,0,0.0,0.0,0.1,3,0,90,85.7,7,74,3,2,1,Match Report
Y,6,0,90,0,0,0,0,0,1,0,0,44,2,0,0,0,0,Sun,Premier League,Matchweek 6,Home,D 2-2,Arsenal,Tottenham,RB,0,0,0,52,1,0.3,0.3,0.0,3,1,37,84.1,3,19,2,0,0,Match Report
Y,7,0,90,0,0,4,0,0,1,0,1,55,2,0,1,0,0,Sat,Premier League,Matchweek 7,Away,W 4-0,Arsenal,Bournemouth,RB,0,0,0,73,3,0.1,0.1,0.0,0,0,41,74.5,3,34,1,1,0,Match Report
Y,8,0,90,0,0,3,0,0,0,0,0,58,0,0,0,0,0,Sun,Premier League,Matchweek 8,Home,W 1-0,Arsenal,Manchester City,RB,0,0,0,69,3,0.0,0.0,0.1,3,0,50,86.2,6,35,2,1,1,Match Report
Y,9,0,90,0,0,0,0,0,0,0,0,63,1,0,0,0,1,Sat,Premier League,Matchweek 9,Away,D 2-2,Arsenal,Chelsea,RB,0,0,0,66,2,0.0,0.0,0.1,3,0,52,82.5,5,30,0,0,0,Match Report
Y,10,0,65,0,0,2,0,0,1,0,1,67,0,0,0,0,0,Sat,Premier League,Matchweek 10,Home,W 5-0,Arsenal,Sheffield Utd,RB,0,0,0,71,0,0.0,0.0,0.0,0,0,56,83.6,5,44,0,2,2,Match Report
Y,11,0,72,0,0,1,0,0,0,0,0,50,2,0,0,0,0,Sat,Premier League,Matchweek 11,Away,L 0-1,Arsenal,Newcastle Utd,RB,0,0,0,55,1,0.0,0.0,0.0,2,0,41,82.0,2,22,0,0,0,Match Report
N,12,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Sat,Premier League,Matchweek 13,Away,W 1-0,Arsenal,Brentford,"RB,RW",0,0,0,1,0,0.0,0.0,0.0,0,0,0,0.0,0,1,0,0,0,Match Report
N,13,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Sat,Premier League,Matchweek 14,Home,W 2-1,Arsenal,Wolves,RB,0,0,0,4,0,0.0,0.0,0.0,0,0,2,66.7,0,0,0,0,0,Match Report
Y,14,0,90,0,0,1,0,0,0,0,0,74,1,0,0,1,0,Tue,Premier League,Matchweek 15,Away,W 4-3,Arsenal,Luton Town,RB,0,0,0,86,0,0.0,0.0,0.6,2,1,61,82.4,6,47,0,1,0,Match Report
Y,15,0,90,0,0,3,0,0,0,0,0,52,1,0,0,0,0,Sat,Premier League,Matchweek 16,Away,L 0-1,Arsenal,Aston Villa,RB,0,0,0,61,1,0.0,0.0,0.0,1,0,42,80.8,3,25,0,0,0,Match Report
Y,16,0,90,0,0,1,0,0,1,0,0,54,0,0,0,0,1,Sun,Premier League,Matchweek 17,Home,W 2-0,Arsenal,Brighton,RB,0,0,0,58,1,0.0,0.0,0.1,2,0,51,94.4,4,39,0,0,0,Match Report
Y,17,0,90,0,0,2,0,0,0,0,0,47,5,0,0,0,1,Sat,Premier League,Matchweek 18,Away,D 1-1,Arsenal,Liverpool,RB,0,0,0,58,0,0.0,0.0,0.1,2,0,33,70.2,3,25,1,1,0,Match Report
Y,18,0,90,0,0,2,0,0,1,0,0,86,1,0,0,0,0,Thu,Premier League,Matchweek 19,Home,L 0-2,Arsenal,West Ham,"RB,CB",0,0,0,92,2,0.1,0.1,0.3,7,0,79,91.9,12,72,2,0,0,Match Report
Y,19,0,66,0,0,1,0,0,0,0,0,52,0,0,0,0,0,Sun,Premier League,Matchweek 20,Away,L 1-2,Arsenal,Fulham,RB,0,0,0,54,0,0.0,0.0,0.0,0,0,47,90.4,3,36,1,0,0,Match Report
