game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,match_report
Y,1,Sat,Premier League,Matchweek 1,Away,W 1-0,Fulham,Everton,GK,90,Match Report
Y,2,Sat,Premier League,Matchweek 2,Home,L 0-3,Fulham,Brentford,GK,90,Match Report
Y,3,Sat,Premier League,Matchweek 3,Away,D 2-2,Fulham,Arsenal,GK,90,Match Report
Y,4,Sat,Premier League,Matchweek 4,Away,L 1-5,Fulham,Manchester City,GK,90,Match Report
Y,5,Sat,Premier League,Matchweek 5,Home,W 1-0,Fulham,Luton Town,GK,90,Match Report
Y,6,Sat,Premier League,Matchweek 6,Away,D 0-0,Fulham,Crystal Palace,GK,90,Match Report
Y,7,Mon,Premier League,Matchweek 7,Home,L 0-2,Fulham,Chelsea,GK,90,Match Report
Y,8,Sat,Premier League,Matchweek 8,Home,W 3-1,Fulham,Sheffield Utd,GK,90,Match Report
Y,9,Mon,Premier League,Matchweek 9,Away,L 0-2,Fulham,Tottenham,GK,90,Match Report
Y,10,Sun,Premier League,Matchweek 10,Away,D 1-1,Fulham,Brighton,GK,90,Match Report
Y,11,Sat,Premier League,Matchweek 11,Home,L 0-1,Fulham,Manchester Utd,GK,90,Match Report
Y,12,Sun,Premier League,Matchweek 12,Away,L 1-3,Fulham,Aston Villa,GK,90,Match Report
Y,13,Mon,Premier League,Matchweek 13,Home,W 3-2,Fulham,Wolves,GK,90,Match Report
Y,14,Sun,Premier League,Matchweek 14,Away,L 3-4,Fulham,Liverpool,GK,90,Match Report
Y,15,Wed,Premier League,Matchweek 15,Home,W 5-0,Fulham,Nott'ham Forest,GK,90,Match Report
Y,16,Sun,Premier League,Matchweek 16,Home,W 5-0,Fulham,West Ham,GK,90,Match Report
Y,17,Sat,Premier League,Matchweek 17,Away,L 0-3,Fulham,Newcastle Utd,GK,90,Match Report
Y,18,Sat,Premier League,Matchweek 18,Home,L 0-2,Fulham,Burnley,GK,90,Match Report
Y,19,Tue,Premier League,Matchweek 19,Away,L 0-3,Fulham,Bournemouth,GK,90,Match Report
Y,20,Sun,Premier League,Matchweek 20,Home,W 2-1,Fulham,Arsenal,GK,90,Match Report
Y,21,Sat,Premier League,Matchweek 21,Away,L 0-1,Fulham,Chelsea,GK,90,Match Report
Y,22,Tue,Premier League,Matchweek 22,Home,D 0-0,Fulham,Everton,GK,90,Match Report
Y,23,Sat,Premier League,Matchweek 23,Away,D 2-2,Fulham,Burnley,GK,90,Match Report
Y,24,Sat,Premier League,Matchweek 24,Home,W 3-1,Fulham,Bournemouth,GK,90,Match Report
Y,25,Sat,Premier League,Matchweek 25,Home,L 1-2,Fulham,Aston Villa,GK,90,Match Report
Y,26,Sat,Premier League,Matchweek 26,Away,W 2-1,Fulham,Manchester Utd,GK,90,Match Report
Y,27,Sat,Premier League,Matchweek 27,Home,W 3-0,Fulham,Brighton,GK,90,Match Report
Y,28,Sat,Premier League,Matchweek 28,Away,L 1-2,Fulham,Wolves,GK,90,Match Report
Y,29,Sat,Premier League,Matchweek 29,Home,W 3-0,Fulham,Tottenham,GK,90,Match Report
Y,30,Sat,Premier League,Matchweek 30,Away,D 3-3,Fulham,Sheffield Utd,GK,90,Match Report
Y,31,Tue,Premier League,Matchweek 31,Away,L 1-3,Fulham,Nott'ham Forest,GK,90,Match Report
Y,32,Sat,Premier League,Matchweek 32,Home,L 0-1,Fulham,Newcastle Utd,GK,90,Match Report
Y,33,Sun,Premier League,Matchweek 33,Away,W 2-0,Fulham,West Ham,GK,90,Match Report
Y,34,Sun,Premier League,Matchweek 34,Home,L 1-3,Fulham,Liverpool,GK,90,Match Report
Y,35,Sat,Premier League,Matchweek 35,Home,D 1-1,Fulham,Crystal Palace,GK,90,Match Report
Y,36,Sat,Premier League,Matchweek 36,Away,D 0-0,Fulham,Brentford,GK,90,Match Report
Y,37,Sat,Premier League,Matchweek 37,Home,L 0-4,Fulham,Manchester City,GK,90,Match Report
Y,38,Sun,Premier League,Matchweek 38,Away,W 4-2,Fulham,Luton Town,GK,90,Match Report
