game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sat,Premier League,Matchweek 4,Away,D 2-2,Everton,Sheffield Utd,FW,90,0,0,0,0,4,0,0,0,40,3,0,0,0.3,0.3,0.2,9,1,10,19,52.6,2,22,3,9,6,Match Report
Y,2,Sun,Premier League,Matchweek 5,Home,L 0-1,Everton,Arsenal,FW,65,0,0,0,0,0,0,0,0,17,0,0,3,0.0,0.0,0.1,1,0,6,9,66.7,0,8,0,1,0,Match Report
Y,3,Sat,Premier League,Matchweek 6,Away,W 3-1,Everton,Brentford,FW,62,0,0,0,0,4,1,0,0,32,1,0,2,0.4,0.4,0.0,3,0,10,18,55.6,3,16,1,0,0,Match Report
N,4,Sat,Premier League,Matchweek 7,Home,L 1-2,Everton,Luton Town,FW,31,0,0,0,0,4,0,0,0,14,0,0,0,0.4,0.4,0.0,0,0,3,4,75.0,1,8,0,1,1,Match Report
N,5,Sat,Premier League,Matchweek 8,Home,W 3-0,Everton,Bournemouth,FW,8,0,0,0,0,1,0,0,0,5,0,0,0,0.3,0.3,0.0,1,0,2,3,66.7,0,4,0,2,1,Match Report
N,6,Sat,Premier League,Matchweek 9,Away,L 0-2,Everton,Liverpool,FW,30,0,0,0,0,1,0,0,0,16,2,0,0,0.0,0.0,0.0,2,0,3,9,33.3,1,8,1,3,1,Match Report
N,7,Sat,Premier League,Matchweek 11,Home,D 1-1,Everton,Brighton,FW,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Match Report
N,8,Sat,Premier League,Matchweek 12,Away,W 3-2,Everton,Crystal Palace,FW,14,0,0,0,0,1,0,0,0,10,1,0,0,0.1,0.1,0.0,1,0,2,5,40.0,0,3,0,0,0,Match Report
Y,9,Sat,Premier League,Matchweek 14,Away,W 1-0,Everton,Nott'ham Forest,FW,81,0,0,0,0,3,0,0,0,26,2,0,1,0.3,0.3,0.0,2,0,7,13,53.8,1,8,0,1,0,Match Report
N,10,Thu,Premier League,Matchweek 15,Home,W 3-0,Everton,Newcastle Utd,FW,6,1,0,0,0,1,1,1,0,9,1,0,0,0.3,0.3,0.0,0,0,4,5,80.0,0,4,1,0,0,Match Report
N,11,Sun,Premier League,Matchweek 16,Home,W 2-0,Everton,Chelsea,FW,24,0,0,0,0,1,1,0,0,7,0,0,0,0.1,0.1,0.0,0,0,2,5,40.0,0,1,0,0,0,Match Report
N,12,Sat,Premier League,Matchweek 17,Away,W 2-0,Everton,Burnley,FW,9,0,0,0,0,1,1,0,0,3,0,0,0,0.3,0.3,0.0,0,0,0,1,0.0,0,3,0,0,0,Match Report
N,13,Sat,Premier League,Matchweek 18,Away,L 1-2,Everton,Tottenham,FW,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Match Report
