game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Sat,Premier League,Matchweek 1,Away,W 1-0,Fulham,Everton,LW,45,1,0,0,0,3,1,0,0,29,1,0,2,1.1,1.1,0.0,0,0,11,18,61.1,2,17,4,0,0,Match Report
Y,2,Sat,Premier League,Matchweek 2,Home,L 0-3,Fulham,Brentford,LW,66,0,0,0,0,2,0,0,0,19,0,0,1,0.1,0.1,0.0,1,0,11,12,91.7,1,11,0,0,0,Match Report
Y,3,Sat,Premier League,Matchweek 3,Away,D 2-2,Fulham,Arsenal,LW,88,0,0,0,0,0,0,0,0,26,0,0,1,0.0,0.0,0.1,1,0,11,20,55.0,2,18,3,2,0,Match Report
Y,4,Sat,Premier League,Matchweek 4,Away,L 1-5,Fulham,Manchester City,LW,72,0,0,0,0,2,1,1,0,30,2,0,2,0.4,0.4,0.0,2,0,17,20,85.0,0,15,1,0,0,Match Report
N,5,Sat,Premier League,Matchweek 5,Home,W 1-0,Fulham,Luton Town,RW,10,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,7,8,87.5,1,6,1,2,1,Match Report
Y,6,Sat,Premier League,Matchweek 6,Away,D 0-0,Fulham,Crystal Palace,RW,78,0,0,0,0,0,0,0,0,35,3,0,2,0.0,0.0,0.0,0,0,22,27,81.5,5,16,4,2,1,Match Report
Y,7,Sat,Premier League,Matchweek 8,Home,W 3-1,Fulham,Sheffield Utd,RW,77,1,0,0,0,4,1,0,0,39,2,0,1,0.8,0.8,0.0,2,0,19,27,70.4,2,27,2,2,1,Match Report
Y,8,Mon,Premier League,Matchweek 9,Away,L 0-2,Fulham,Tottenham,RW,61,0,0,0,0,1,0,0,0,30,4,0,0,0.0,0.0,0.0,0,0,10,15,66.7,0,17,1,2,0,Match Report
Y,9,Sun,Premier League,Matchweek 10,Away,D 1-1,Fulham,Brighton,RW,57,0,0,0,0,1,0,0,0,16,1,0,0,0.1,0.1,0.0,0,0,10,13,76.9,2,8,0,0,0,Match Report
N,10,Sat,Premier League,Matchweek 11,Home,L 0-1,Fulham,Manchester Utd,"LW,RW",10,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0,Match Report
Y,11,Sun,Premier League,Matchweek 12,Away,L 1-3,Fulham,Aston Villa,RW,45,0,0,0,0,0,0,0,0,30,0,0,3,0.0,0.0,0.0,1,0,18,25,72.0,1,16,0,0,0,Match Report
