game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,90,0,0,0,0,0,1,0,0,60,1,0,0,0,0,Sat,Premier League,Matchweek 1,Away,L 1-5,Aston Villa,Newcastle Utd,DM,0,0,0,69,0,0.0,0.0,0.0,2,0,51,85.0,6,43,2,3,2,Match Report
Y,2,0,90,0,0,1,0,0,1,0,0,55,1,0,0,0,0,Sun,Premier League,Matchweek 2,Home,W 4-0,Aston Villa,Everton,"DM,CM",0,0,0,60,1,0.0,0.0,0.0,0,0,47,85.5,4,47,1,1,0,Match Report
Y,3,0,90,0,0,3,0,0,0,0,0,59,1,0,0,0,0,Sun,Premier League,Matchweek 3,Away,W 3-1,Aston Villa,Burnley,CM,0,0,0,66,1,0.0,0.0,0.3,2,0,54,91.5,5,36,1,2,2,Match Report
Y,4,0,90,0,0,3,0,0,0,0,0,50,0,0,0,0,1,Sun,Premier League,Matchweek 4,Away,L 0-3,Aston Villa,Liverpool,CM,0,0,0,56,0,0.0,0.0,0.1,2,0,44,88.0,3,34,0,0,0,Match Report
Y,5,0,57,0,0,3,0,0,0,0,0,39,0,0,0,0,0,Sat,Premier League,Matchweek 5,Home,W 3-1,Aston Villa,Crystal Palace,DM,0,0,0,48,0,0.0,0.0,0.0,0,0,35,89.7,3,29,0,1,1,Match Report
Y,6,0,89,0,0,5,0,0,0,0,0,45,2,0,0,0,0,Sun,Premier League,Matchweek 6,Away,W 1-0,Aston Villa,Chelsea,"DM,CM",0,0,0,61,1,0.0,0.0,0.3,4,0,40,88.9,4,39,1,3,1,Match Report
Y,7,0,89,0,0,4,0,0,0,0,0,35,1,0,0,0,0,Sat,Premier League,Matchweek 7,Home,W 6-1,Aston Villa,Brighton,DM,0,0,0,42,1,0.0,0.0,0.0,1,0,28,80.0,2,28,0,1,0,Match Report
Y,8,0,81,0,0,2,0,0,0,0,0,17,2,0,0,0,1,Sun,Premier League,Matchweek 8,Away,D 1-1,Aston Villa,Wolves,CM,0,0,0,27,1,0.0,0.0,0.0,2,0,16,94.1,2,12,0,2,0,Match Report
Y,9,0,90,0,0,3,0,0,0,0,0,74,1,0,0,0,0,Sun,Premier League,Matchweek 9,Home,W 4-1,Aston Villa,West Ham,CM,0,0,0,82,2,0.0,0.0,0.1,4,1,68,91.9,5,55,2,1,1,Match Report
Y,10,0,78,0,0,2,0,0,0,0,0,74,0,0,0,0,1,Sun,Premier League,Matchweek 10,Home,W 3-1,Aston Villa,Luton Town,CM,0,0,0,80,1,0.0,0.0,0.0,1,0,69,93.2,7,65,0,0,0,Match Report
Y,11,0,77,0,0,1,0,0,0,0,0,76,1,0,0,0,1,Sun,Premier League,Matchweek 11,Away,L 0-2,Aston Villa,Nott'ham Forest,"CM,RB",0,0,0,81,0,0.0,0.0,0.0,1,0,75,98.7,8,66,3,2,0,Match Report
Y,12,0,90,0,0,0,0,0,1,0,0,55,0,0,0,0,0,Sun,Premier League,Matchweek 12,Home,W 3-1,Aston Villa,Fulham,"DM,CM",0,0,0,59,1,0.0,0.0,0.0,3,0,50,90.9,4,41,1,1,0,Match Report
Y,13,0,90,0,0,2,0,0,1,0,1,46,1,0,0,0,1,Sun,Premier League,Matchweek 13,Away,W 2-1,Aston Villa,Tottenham,CM,0,0,0,53,1,0.0,0.0,0.0,4,0,43,93.5,4,31,0,2,1,Match Report
Y,14,0,90,0,0,2,0,0,0,0,0,55,3,0,0,0,1,Wed,Premier League,Matchweek 15,Home,W 1-0,Aston Villa,Manchester City,CM,0,0,0,66,2,0.0,0.0,0.2,3,0,49,89.1,9,37,4,1,1,Match Report
Y,15,0,66,0,0,1,0,0,0,0,0,24,2,0,0,0,0,Sat,Premier League,Matchweek 16,Home,W 1-0,Aston Villa,Arsenal,CM,0,0,0,34,3,0.0,0.0,0.0,0,0,19,79.2,2,16,1,1,0,Match Report
Y,16,0,89,0,0,4,0,0,1,0,0,66,2,0,0,1,0,Sun,Premier League,Matchweek 17,Away,W 2-1,Aston Villa,Brentford,"CM,CB",0,0,1,75,0,0.0,0.0,0.3,4,1,56,84.8,4,38,0,1,0,Match Report
Y,17,0,90,0,0,4,0,0,0,0,0,66,0,0,0,0,0,Sun,Premier League,Matchweek 21,Away,D 0-0,Aston Villa,Everton,CM,0,0,0,77,0,0.0,0.0,0.0,1,0,58,87.9,2,48,0,3,2,Match Report
Y,18,0,62,0,0,1,0,0,0,0,0,33,0,0,0,0,1,Tue,Premier League,Matchweek 22,Home,L 1-3,Aston Villa,Newcastle Utd,CM,0,0,0,38,2,0.0,0.0,0.0,0,0,28,84.8,1,28,0,0,0,Match Report
Y,19,0,90,0,0,1,0,0,0,0,0,70,1,0,0,0,0,Sat,Premier League,Matchweek 23,Away,W 5-0,Aston Villa,Sheffield Utd,DM,0,0,0,81,2,0.0,0.0,0.0,2,1,58,82.9,3,50,0,2,0,Match Report
Y,20,0,64,0,0,1,0,0,0,0,0,36,2,0,0,0,0,Sun,Premier League,Matchweek 24,Home,L 1-2,Aston Villa,Manchester Utd,DM,0,0,0,40,2,0.0,0.0,0.0,2,0,34,94.4,5,26,3,3,3,Match Report
