game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Mon,Premier League,Matchweek 1,Home,W 1-0,Manchester Utd,Wolves,CM,90,0,0,0,0,1,0,0,0,63,6,1,1,0.0,0.0,0.7,7,1,36,52,69.2,11,34,0,1,0,Match Report
Y,2,Sat,Premier League,Matchweek 2,Away,L 0-2,Manchester Utd,Tottenham,"AM,RW",90,0,0,0,0,6,1,1,0,74,1,1,2,0.8,0.8,0.6,7,0,39,59,66.1,8,37,0,1,1,Match Report
Y,3,Sat,Premier League,Matchweek 3,Home,W 3-2,Manchester Utd,Nott'ham Forest,"AM,RW",90,1,1,1,1,5,2,1,0,102,3,0,0,1.2,0.4,1.0,4,1,59,87,67.8,9,64,2,4,1,Match Report
Y,4,Sun,Premier League,Matchweek 4,Away,L 1-3,Manchester Utd,Arsenal,AM,90,0,0,0,0,0,0,0,0,54,3,1,2,0.0,0.0,0.2,4,0,31,43,72.1,4,27,1,0,0,Match Report
Y,5,Sat,Premier League,Matchweek 5,Home,L 1-3,Manchester Utd,Brighton,"AM,DM",90,0,0,0,0,2,1,1,0,93,0,0,2,0.1,0.1,0.2,4,1,64,84,76.2,17,62,2,4,2,Match Report
Y,6,Sat,Premier League,Matchweek 6,Away,W 1-0,Manchester Utd,Burnley,"RW,LW",90,1,0,0,0,4,3,0,0,48,0,2,0,0.4,0.4,0.1,2,0,19,34,55.9,4,16,1,2,0,Match Report
Y,7,Sat,Premier League,Matchweek 7,Home,L 0-1,Manchester Utd,Crystal Palace,"AM,RW",90,0,0,0,0,2,1,0,0,94,3,0,0,0.1,0.1,0.4,6,0,63,86,73.3,15,44,2,1,0,Match Report
Y,8,Sat,Premier League,Matchweek 8,Home,W 2-1,Manchester Utd,Brentford,"RW,AM,DM,CM",90,0,0,0,0,4,2,0,0,97,1,2,0,0.2,0.2,0.1,7,1,65,88,73.9,13,55,0,2,1,Match Report
Y,9,Sat,Premier League,Matchweek 9,Away,W 2-1,Manchester Utd,Sheffield Utd,AM,90,0,1,0,0,2,0,0,0,87,2,0,2,0.1,0.1,0.4,8,1,48,72,66.7,8,49,3,3,2,Match Report
Y,10,Sun,Premier League,Matchweek 10,Home,L 0-3,Manchester Utd,Manchester City,"RW,DM",90,0,0,0,0,2,1,1,0,47,3,0,2,0.1,0.1,0.1,3,0,27,36,75.0,4,17,2,0,0,Match Report
Y,11,Sat,Premier League,Matchweek 11,Away,W 1-0,Manchester Utd,Fulham,"AM,LM",90,1,0,0,0,3,3,0,0,63,3,0,2,0.2,0.2,0.0,7,2,30,45,66.7,8,40,4,4,2,Match Report
Y,12,Sat,Premier League,Matchweek 12,Home,W 1-0,Manchester Utd,Luton Town,AM,90,0,0,0,0,4,0,0,0,89,3,0,0,0.4,0.4,0.3,2,0,53,75,70.7,7,42,2,2,0,Match Report
Y,13,Sun,Premier League,Matchweek 13,Away,W 3-0,Manchester Utd,Everton,AM,90,0,1,0,0,0,0,0,0,65,2,2,1,0.0,0.0,0.9,5,2,41,55,74.5,6,26,1,0,0,Match Report
Y,14,Sat,Premier League,Matchweek 14,Away,L 0-1,Manchester Utd,Newcastle Utd,AM,90,0,0,0,0,0,0,0,0,60,1,1,0,0.0,0.0,0.1,2,0,42,52,80.8,13,37,1,4,1,Match Report
Y,15,Wed,Premier League,Matchweek 15,Home,W 2-1,Manchester Utd,Chelsea,AM,90,0,0,0,1,4,0,0,0,70,1,1,3,0.9,0.1,0.7,12,0,40,55,72.7,7,35,4,1,1,Match Report
Y,16,Sat,Premier League,Matchweek 16,Home,L 0-3,Manchester Utd,Bournemouth,AM,90,0,0,0,0,1,0,1,0,102,3,0,2,0.1,0.1,0.2,10,0,76,93,81.7,18,43,0,1,0,Match Report
Y,17,Sat,Premier League,Matchweek 18,Away,L 0-2,Manchester Utd,West Ham,"AM,LW",90,0,0,0,0,2,0,1,0,73,1,0,2,0.1,0.1,0.1,5,0,54,64,84.4,11,31,2,0,0,Match Report
Y,18,Tue,Premier League,Matchweek 19,Home,W 3-2,Manchester Utd,Aston Villa,"AM,CM",90,0,0,0,0,2,1,1,0,69,3,3,2,0.1,0.1,0.2,8,1,32,55,58.2,7,32,2,3,2,Match Report
Y,19,Sat,Premier League,Matchweek 20,Away,L 1-2,Manchester Utd,Nott'ham Forest,AM,90,0,0,0,0,1,0,0,0,69,1,0,1,0.0,0.0,0.2,4,0,38,61,62.3,7,30,1,0,0,Match Report
