game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,90,0,0,0,0,0,2,0,1,33,1,0,1,0,0,Sun,Premier League,Matchweek 1,Home,D 2-2,Brentford,Tottenham,FW,1,1,0,41,0,1.4,0.6,0.0,1,1,22,66.7,6,25,1,1,0,Match Report
Y,2,0,90,0,0,1,0,0,2,0,2,28,0,0,2,0,0,Sat,Premier League,Matchweek 2,Away,W 3-0,Brentford,Fulham,"RW,FW",1,1,0,35,1,1.9,1.1,0.1,2,0,20,71.4,2,23,2,0,0,Match Report
Y,3,0,90,0,0,1,0,0,1,0,0,45,0,0,0,0,0,Sat,Premier League,Matchweek 3,Home,D 1-1,Brentford,Crystal Palace,RW,0,0,0,54,0,0.0,0.0,0.2,5,0,29,64.4,1,30,3,2,0,Match Report
Y,4,0,90,0,0,1,0,0,2,0,1,38,0,0,1,0,0,Sat,Premier League,Matchweek 4,Home,D 2-2,Brentford,Bournemouth,"RW,RM",0,0,0,45,0,0.8,0.8,0.3,4,0,27,71.1,4,26,9,4,0,Match Report
Y,5,0,90,0,0,1,0,0,1,0,0,26,0,0,0,0,0,Sat,Premier League,Matchweek 5,Away,L 0-1,Brentford,Newcastle Utd,"FW,RB",0,0,0,37,0,0.0,0.0,0.0,1,0,16,61.5,3,25,0,4,0,Match Report
Y,6,0,90,0,0,4,0,0,3,0,1,44,0,0,0,0,1,Sat,Premier League,Matchweek 6,Home,L 1-3,Brentford,Everton,"RW,WB",0,0,0,64,3,0.2,0.2,0.0,4,1,32,72.7,4,31,1,4,2,Match Report
Y,7,0,90,0,0,0,0,0,2,0,0,65,0,0,0,0,0,Sun,Premier League,Matchweek 7,Away,D 1-1,Brentford,Nott'ham Forest,"RW,WB",0,0,0,73,1,0.2,0.2,0.3,7,0,53,81.5,6,48,3,4,3,Match Report
Y,8,0,90,0,0,1,0,0,2,0,0,26,2,0,0,0,0,Sat,Premier League,Matchweek 8,Away,L 1-2,Brentford,Manchester Utd,FW,0,0,0,37,1,0.1,0.1,0.2,4,0,21,80.8,4,16,4,1,0,Match Report
Y,9,0,90,0,0,1,0,0,6,0,4,42,0,0,1,1,0,Sat,Premier League,Matchweek 9,Home,W 3-0,Brentford,Burnley,RW,0,0,0,61,3,0.4,0.4,1.0,7,1,30,71.4,9,34,5,5,2,Match Report
Y,10,0,90,0,0,1,0,0,4,0,2,24,0,0,1,1,0,Sat,Premier League,Matchweek 10,Away,W 2-0,Brentford,Chelsea,FW,0,0,0,36,2,1.2,1.2,0.2,2,1,13,54.2,2,18,3,3,1,Match Report
Y,11,0,90,0,0,0,0,0,4,0,1,57,1,0,0,0,0,Sat,Premier League,Matchweek 11,Home,W 3-2,Brentford,West Ham,RW,0,0,0,71,1,0.3,0.3,0.0,6,1,32,56.1,11,49,7,5,1,Match Report
Y,12,0,90,0,0,0,0,0,3,0,1,29,0,0,0,0,0,Sun,Premier League,Matchweek 12,Away,L 0-3,Brentford,Liverpool,FW,0,0,0,46,0,0.5,0.5,0.2,8,0,20,69.0,7,29,7,3,2,Match Report
Y,13,0,90,0,0,0,0,0,2,0,0,17,0,0,0,0,0,Sat,Premier League,Matchweek 13,Home,L 0-1,Brentford,Arsenal,"FW,RW",0,0,0,32,1,0.2,0.2,0.1,3,0,13,76.5,2,21,1,2,1,Match Report
Y,14,0,77,0,0,0,0,0,4,0,0,48,1,0,0,1,0,Sat,Premier League,Matchweek 14,Home,W 3-1,Brentford,Luton Town,RW,0,0,0,62,1,0.3,0.3,0.1,4,1,35,72.9,4,38,3,5,0,Match Report
Y,15,0,39,0,0,1,0,0,0,0,0,6,0,0,1,0,0,Wed,Premier League,Matchweek 15,Away,L 1-2,Brentford,Brighton,FW,1,1,0,13,0,0.8,0.0,0.0,0,0,3,50.0,0,8,0,0,0,Match Report
N,16,0,12,0,0,0,0,0,0,0,0,11,0,0,0,0,0,Sat,Premier League,Matchweek 29,Away,L 1-2,Brentford,Burnley,FW,0,0,0,11,0,0.0,0.0,0.1,2,1,6,54.5,1,7,2,0,0,Match Report
N,17,0,20,0,0,0,0,0,1,0,0,9,0,0,0,0,0,Sat,Premier League,Matchweek 30,Home,D 1-1,Brentford,Manchester Utd,FW,0,0,0,13,0,0.2,0.2,0.1,3,0,6,66.7,0,9,2,1,0,Match Report
N,18,0,18,0,0,0,0,0,1,0,0,2,0,0,0,0,0,Wed,Premier League,Matchweek 31,Home,D 0-0,Brentford,Brighton,FW,0,0,0,5,0,0.0,0.0,0.0,0,0,0,0.0,0,3,0,1,0,Match Report
Y,19,0,85,0,0,0,0,0,2,0,1,14,1,0,1,0,0,Sat,Premier League,Matchweek 32,Away,D 3-3,Brentford,Aston Villa,FW,0,0,0,28,0,0.2,0.2,0.0,4,0,7,50.0,2,18,0,3,0,Match Report
Y,20,0,89,0,0,2,0,0,0,0,0,29,0,0,0,0,0,Sat,Premier League,Matchweek 33,Home,W 2-0,Brentford,Sheffield Utd,RW,0,0,0,43,2,0.0,0.0,0.4,1,0,19,65.5,2,35,2,4,2,Match Report
Y,21,0,90,0,0,0,0,0,3,0,1,33,0,0,0,2,0,Sat,Premier League,Matchweek 34,Away,W 5-1,Brentford,Luton Town,RW,0,0,0,47,0,0.2,0.2,0.7,6,2,25,75.8,4,39,5,6,3,Match Report
Y,22,0,90,0,0,0,0,0,1,0,0,29,0,0,0,0,1,Sat,Premier League,Matchweek 35,Away,L 0-1,Brentford,Everton,RW,0,0,0,40,2,0.0,0.0,0.0,0,0,15,51.7,3,29,1,5,1,Match Report
Y,23,0,90,0,0,0,0,0,1,0,0,46,0,0,0,0,0,Sat,Premier League,Matchweek 36,Home,D 0-0,Brentford,Fulham,"RW,AM",0,0,0,58,2,0.1,0.1,0.0,1,0,28,60.9,3,46,6,6,5,Match Report
Y,24,0,90,0,0,0,0,0,3,0,1,32,1,0,1,1,0,Sat,Premier League,Matchweek 37,Away,W 2-1,Brentford,Bournemouth,"RW,RM",0,0,0,47,4,0.5,0.5,0.2,4,1,18,56.3,3,33,4,2,1,Match Report
Y,25,0,90,0,0,1,0,0,0,0,0,32,0,0,0,0,0,Sun,Premier League,Matchweek 38,Home,L 2-4,Brentford,Newcastle Utd,"RW,WB",0,0,0,46,2,0.0,0.0,0.4,3,0,21,65.6,5,27,3,7,2,Match Report
