game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sat,Premier League,Matchweek 1,Home,W 2-1,Arsenal,Nott'ham Forest,RW,90,1,0,0,0,3,2,0,0,81,5,0,1,0.2,0.2,0.1,4,0,49,67,73.1,3,62,11,2,0,Match Report
Y,2,Mon,Premier League,Matchweek 2,Away,W 1-0,Arsenal,Crystal Palace,"RW,LB",88,0,0,0,0,3,0,0,0,70,2,1,2,0.2,0.2,0.2,7,0,37,56,66.1,5,42,8,2,1,Match Report
Y,3,Sat,Premier League,Matchweek 3,Home,D 2-2,Arsenal,Fulham,RW,90,1,0,1,1,2,1,0,0,86,2,0,4,1.4,0.6,0.5,5,1,52,67,77.6,4,52,6,10,6,Match Report
Y,4,Sun,Premier League,Matchweek 4,Home,W 3-1,Arsenal,Manchester Utd,RW,90,0,1,0,0,3,1,1,0,49,3,0,0,0.4,0.4,0.4,7,1,35,39,89.7,5,29,1,2,1,Match Report
Y,5,Sun,Premier League,Matchweek 5,Away,W 1-0,Arsenal,Everton,RW,90,0,1,0,0,0,0,0,0,56,1,0,2,0.0,0.0,0.1,3,1,39,46,84.8,3,36,1,7,2,Match Report
Y,6,Sun,Premier League,Matchweek 6,Home,D 2-2,Arsenal,Tottenham,RW,89,1,0,1,1,2,1,0,0,50,4,1,2,0.9,0.1,0.5,7,0,28,37,75.7,3,25,9,4,2,Match Report
Y,7,Sat,Premier League,Matchweek 7,Away,W 4-0,Arsenal,Bournemouth,RW,75,1,0,0,0,3,2,0,0,42,2,0,2,1.0,1.0,0.0,3,1,25,32,78.1,1,30,2,1,1,Match Report
Y,8,Sat,Premier League,Matchweek 9,Away,D 2-2,Arsenal,Chelsea,RW,90,0,1,0,0,0,0,0,0,51,4,1,1,0.0,0.0,0.3,5,1,22,34,64.7,4,28,2,5,3,Match Report
Y,9,Sat,Premier League,Matchweek 10,Home,W 5-0,Arsenal,Sheffield Utd,RW,72,0,0,0,0,0,0,0,0,36,1,0,2,0.0,0.0,0.1,3,1,24,31,77.4,3,26,6,1,0,Match Report
Y,10,Sat,Premier League,Matchweek 11,Away,L 0-1,Arsenal,Newcastle Utd,RW,90,0,0,0,0,1,0,0,0,53,1,0,3,0.0,0.0,0.0,2,0,36,41,87.8,1,35,1,2,0,Match Report
