game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sat,Premier League,Matchweek 5,Away,L 1-3,Crystal Palace,Aston Villa,CB,90,0,0,0,0,0,0,0,0,36,1,1,3,0.0,0.0,0.0,0,0,20,24,83.3,0,13,0,0,0,Match Report
N,2,Sat,Premier League,Matchweek 7,Away,W 1-0,Crystal Palace,Manchester Utd,RW,3,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Match Report
N,3,Sat,Premier League,Matchweek 8,Home,D 0-0,Crystal Palace,Nott'ham Forest,CM,16,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,1,3,33.3,0,0,0,0,0,Match Report
N,4,Sat,Premier League,Matchweek 11,Away,W 2-0,Crystal Palace,Burnley,CB,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,Match Report
Y,5,Sun,Premier League,Matchweek 14,Away,D 1-1,Crystal Palace,West Ham,"CM,DM",90,0,0,0,0,0,0,0,0,58,5,2,3,0.0,0.0,0.0,1,0,30,41,73.2,0,25,0,0,0,Match Report
Y,6,Wed,Premier League,Matchweek 15,Home,L 0-2,Crystal Palace,Bournemouth,"DM,RB",90,0,0,0,0,0,0,0,0,57,3,0,0,0.0,0.0,0.1,1,0,46,51,90.2,4,32,0,0,0,Match Report
Y,7,Sat,Premier League,Matchweek 16,Home,L 1-2,Crystal Palace,Liverpool,CM,90,0,0,0,0,0,0,1,0,30,4,1,2,0.0,0.0,0.0,1,0,9,15,60.0,1,5,0,0,0,Match Report
Y,8,Sat,Premier League,Matchweek 17,Away,D 2-2,Crystal Palace,Manchester City,"CB,CM,RB",90,0,0,0,0,0,0,0,0,32,2,1,2,0.0,0.0,0.0,1,0,19,23,82.6,0,12,0,0,0,Match Report
Y,9,Thu,Premier League,Matchweek 18,Home,D 1-1,Crystal Palace,Brighton,CM,90,0,0,0,0,0,0,0,0,44,2,1,3,0.0,0.0,0.0,0,0,26,33,78.8,0,12,0,0,0,Match Report
Y,10,Wed,Premier League,Matchweek 19,Away,L 1-2,Crystal Palace,Chelsea,CM,90,0,0,0,0,0,0,1,0,32,2,3,0,0.0,0.0,0.0,1,0,24,26,92.3,3,15,0,0,0,Match Report
Y,11,Sat,Premier League,Matchweek 20,Home,W 3-1,Crystal Palace,Brentford,CM,90,0,0,0,0,0,0,0,0,39,3,1,1,0.0,0.0,0.0,1,1,26,29,89.7,3,18,0,0,0,Match Report
Y,12,Sat,Premier League,Matchweek 21,Away,L 0-5,Crystal Palace,Arsenal,CB,90,0,0,0,0,1,0,0,0,43,1,0,0,0.1,0.1,0.0,0,0,26,35,74.3,0,27,0,0,0,Match Report
Y,13,Tue,Premier League,Matchweek 22,Home,W 3-2,Crystal Palace,Sheffield Utd,RB,90,0,0,0,0,0,0,0,0,67,3,1,3,0.0,0.0,0.0,1,1,43,56,76.8,5,33,0,0,0,Match Report
Y,14,Sat,Premier League,Matchweek 23,Away,L 1-4,Crystal Palace,Brighton,"CB,CM",90,0,0,0,0,0,0,0,0,51,1,2,0,0.0,0.0,0.0,1,0,41,46,89.1,2,37,0,0,0,Match Report
Y,15,Mon,Premier League,Matchweek 24,Home,L 1-3,Crystal Palace,Chelsea,CB,90,0,0,0,0,1,0,0,0,39,1,1,3,0.0,0.0,0.0,0,0,13,18,72.2,1,7,0,0,0,Match Report
Y,16,Mon,Premier League,Matchweek 25,Away,D 1-1,Crystal Palace,Everton,CB,90,0,0,0,0,3,0,0,0,43,1,1,1,0.1,0.1,0.1,2,0,18,27,66.7,0,11,0,0,0,Match Report
Y,17,Sat,Premier League,Matchweek 26,Home,W 3-0,Crystal Palace,Burnley,CB,90,1,0,0,0,1,1,0,0,70,3,1,0,0.1,0.1,0.0,0,0,59,64,92.2,4,41,0,0,0,Match Report
Y,18,Sat,Premier League,Matchweek 27,Away,L 1-3,Crystal Palace,Tottenham,CB,90,0,0,0,0,0,0,0,0,39,2,3,3,0.0,0.0,0.0,0,0,15,22,68.2,1,14,0,0,0,Match Report
Y,19,Sat,Premier League,Matchweek 28,Home,D 1-1,Crystal Palace,Luton Town,CB,90,0,0,0,0,0,0,0,0,64,1,1,2,0.0,0.0,0.0,0,0,43,50,86.0,2,35,0,0,0,Match Report
Y,20,Sat,Premier League,Matchweek 30,Away,D 1-1,Crystal Palace,Nott'ham Forest,CB,90,0,0,0,0,0,0,0,0,64,1,1,0,0.0,0.0,0.0,0,0,42,53,79.2,1,30,0,0,0,Match Report
Y,21,Sun,Premier League,Matchweek 34,Home,W 5-2,Crystal Palace,West Ham,CB,90,0,0,0,0,0,0,0,0,57,2,1,1,0.0,0.0,0.0,2,0,48,50,96.0,3,29,0,0,0,Match Report
Y,22,Wed,Premier League,Matchweek 29,Home,W 2-0,Crystal Palace,Newcastle Utd,CB,90,0,0,0,0,1,1,1,0,53,0,0,0,0.0,0.0,0.1,0,0,39,44,88.6,1,26,0,1,1,Match Report
Y,23,Sat,Premier League,Matchweek 35,Away,D 1-1,Crystal Palace,Fulham,CB,90,0,0,0,0,1,0,0,0,73,2,0,1,0.1,0.1,0.0,1,0,51,63,81.0,2,44,0,0,0,Match Report
Y,24,Mon,Premier League,Matchweek 36,Home,W 4-0,Crystal Palace,Manchester Utd,CB,90,0,1,0,0,2,1,0,0,62,2,2,1,0.1,0.1,0.1,1,1,42,50,84.0,4,32,1,0,0,Match Report
Y,25,Sat,Premier League,Matchweek 37,Away,W 3-1,Crystal Palace,Wolves,"CB,CM",90,0,0,0,0,1,0,0,0,66,3,0,3,0.1,0.1,0.0,0,0,38,55,69.1,1,33,0,0,0,Match Report
Y,26,Sun,Premier League,Matchweek 38,Home,W 5-0,Crystal Palace,Aston Villa,CB,90,0,0,0,0,0,0,0,0,67,1,2,0,0.0,0.0,0.1,2,0,58,63,92.1,5,43,0,0,0,Match Report
