game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,71,0,0,1,0,0,0,0,0,22,2,0,0,0,0,Sun,Premier League,Matchweek 1,Home,D 2-2,Brentford,Tottenham,CM,0,0,0,38,2,0.0,0.0,0.0,2,0,19,86.4,2,16,0,1,0,Match Report
Y,2,0,78,0,0,4,0,0,1,0,0,37,1,0,0,0,0,Sat,Premier League,Matchweek 2,Away,W 3-0,Brentford,Fulham,CM,0,0,0,48,3,0.0,0.0,0.0,2,0,27,73.0,3,29,0,0,0,Match Report
Y,3,0,90,0,0,3,0,0,1,0,0,65,0,0,0,1,0,Sat,Premier League,Matchweek 3,Home,D 1-1,Brentford,Crystal Palace,CM,0,0,0,76,1,0.0,0.0,0.1,6,1,58,89.2,12,47,0,0,0,Match Report
Y,4,0,90,0,0,5,0,0,2,0,1,65,2,0,0,0,0,Sat,Premier League,Matchweek 4,Home,D 2-2,Brentford,Bournemouth,CM,0,0,0,74,0,0.1,0.1,0.2,5,0,55,84.6,9,32,0,0,0,Match Report
Y,5,0,71,0,0,3,0,0,2,0,0,36,1,0,0,0,1,Sat,Premier League,Matchweek 5,Away,L 0-1,Brentford,Newcastle Utd,CM,0,0,0,44,0,0.1,0.1,0.0,1,0,28,77.8,1,26,0,0,0,Match Report
Y,6,0,90,0,0,4,0,0,1,0,0,72,1,0,0,0,0,Sat,Premier League,Matchweek 6,Home,L 1-3,Brentford,Everton,CM,0,0,0,85,2,0.1,0.1,0.0,1,0,55,76.4,10,41,0,1,0,Match Report
Y,7,0,90,0,0,0,0,0,4,0,1,73,1,0,1,0,0,Sun,Premier League,Matchweek 7,Away,D 1-1,Brentford,Nott'ham Forest,"CM,DM",0,0,0,83,2,0.5,0.5,0.1,3,0,57,78.1,7,56,0,0,0,Match Report
Y,8,0,90,0,0,1,0,0,2,0,1,38,2,0,0,0,1,Sat,Premier League,Matchweek 8,Away,L 1-2,Brentford,Manchester Utd,CM,0,0,0,49,2,0.4,0.4,0.0,0,0,29,76.3,3,14,0,0,0,Match Report
Y,9,0,90,0,0,4,0,0,3,0,0,55,1,0,0,0,0,Sat,Premier League,Matchweek 9,Home,W 3-0,Brentford,Burnley,CM,0,0,0,68,1,0.2,0.2,0.4,5,0,46,83.6,7,37,2,1,1,Match Report
Y,10,0,90,0,0,2,0,0,0,0,0,40,2,0,0,0,1,Sat,Premier League,Matchweek 10,Away,W 2-0,Brentford,Chelsea,CM,0,0,0,52,2,0.0,0.0,0.0,0,0,30,75.0,3,19,0,1,1,Match Report
Y,11,0,90,0,0,2,0,0,2,0,0,60,1,0,0,0,0,Sat,Premier League,Matchweek 11,Home,W 3-2,Brentford,West Ham,CM,0,0,0,73,1,0.1,0.1,0.1,3,0,47,78.3,10,31,0,0,0,Match Report
Y,12,0,90,0,0,1,0,0,2,0,0,49,2,0,0,0,1,Sun,Premier League,Matchweek 12,Away,L 0-3,Brentford,Liverpool,CM,0,0,0,64,2,0.3,0.3,0.3,3,0,37,75.5,6,34,0,1,1,Match Report
Y,13,0,90,0,0,5,0,0,1,0,0,34,0,0,0,0,0,Sat,Premier League,Matchweek 13,Home,L 0-1,Brentford,Arsenal,CM,0,0,0,41,0,0.0,0.0,0.0,0,0,23,67.6,3,18,1,1,1,Match Report
Y,14,0,90,0,0,4,0,0,1,0,0,94,0,0,0,0,1,Sat,Premier League,Matchweek 14,Home,W 3-1,Brentford,Luton Town,CM,0,0,0,112,2,0.0,0.0,0.0,4,0,75,79.8,4,57,2,1,1,Match Report
Y,15,0,90,0,0,3,0,0,2,0,0,66,1,0,0,0,0,Sat,Premier League,Matchweek 16,Away,L 0-1,Brentford,Sheffield Utd,CM,0,0,0,85,3,0.1,0.1,0.0,2,0,53,80.3,6,48,1,0,0,Match Report
Y,16,0,90,0,0,6,0,0,0,0,0,48,4,0,0,0,1,Sun,Premier League,Matchweek 17,Home,L 1-2,Brentford,Aston Villa,CM,0,0,0,62,3,0.0,0.0,0.0,1,0,32,66.7,5,23,2,1,1,Match Report
Y,17,0,90,0,0,3,0,0,1,0,0,94,0,0,0,0,1,Wed,Premier League,Matchweek 19,Home,L 1-4,Brentford,Wolves,CM,0,0,0,102,1,0.1,0.1,0.0,1,1,72,76.6,11,52,1,0,0,Match Report
Y,18,0,66,0,0,2,0,0,1,0,1,43,0,0,0,0,0,Sat,Premier League,Matchweek 20,Away,L 1-3,Brentford,Crystal Palace,CM,0,0,0,54,1,0.1,0.1,0.0,1,0,35,81.4,4,18,0,1,0,Match Report
Y,19,0,90,0,0,3,0,0,0,0,0,39,7,0,0,0,1,Wed,Premier League,Matchweek 22,Away,L 2-3,Brentford,Tottenham,CM,0,0,0,54,3,0.0,0.0,0.1,3,0,31,79.5,6,26,0,0,0,Match Report
Y,20,0,90,0,0,2,0,0,3,0,1,25,2,0,0,0,0,Mon,Premier League,Matchweek 23,Home,L 1-3,Brentford,Manchester City,CM,0,0,0,40,1,0.3,0.3,0.0,2,0,17,68.0,0,13,0,1,0,Match Report
