game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,90,0,0,2,0,0,1,0,0,116,0,0,0,0,0,Fri,Premier League,Matchweek 18,Home,D 1-1,Aston Villa,Sheffield Utd,CB,0,0,0,123,2,0.0,0.0,0.1,0,0,106,91.4,11,79,5,0,0,Match Report
Y,2,0,90,0,0,2,0,0,0,0,0,65,1,0,0,1,0,Tue,Premier League,Matchweek 19,Away,L 2-3,Aston Villa,Manchester Utd,CB,0,0,0,72,0,0.0,0.0,0.7,1,1,55,84.6,8,53,6,2,0,Match Report
Y,3,0,61,0,0,0,0,0,0,0,0,46,0,0,0,0,0,Sat,Premier League,Matchweek 20,Home,W 3-2,Aston Villa,Burnley,CB,0,0,0,51,3,0.0,0.0,0.0,1,0,39,84.8,6,33,3,1,0,Match Report
Y,4,0,90,0,0,1,0,0,0,0,0,85,2,0,0,0,1,Sun,Premier League,Matchweek 21,Away,D 0-0,Aston Villa,Everton,CB,0,0,0,94,0,0.0,0.0,0.0,3,0,71,83.5,7,64,5,1,1,Match Report
Y,5,0,90,0,0,2,0,0,2,0,0,60,0,0,0,0,0,Tue,Premier League,Matchweek 22,Home,L 1-3,Aston Villa,Newcastle Utd,CB,0,0,0,69,3,0.2,0.2,0.0,2,0,54,90.0,4,53,0,0,0,Match Report
Y,6,0,90,0,0,0,0,0,0,0,0,105,1,0,0,0,0,Sat,Premier League,Matchweek 23,Away,W 5-0,Aston Villa,Sheffield Utd,CB,0,0,0,109,1,0.0,0.0,0.0,0,0,98,93.3,2,84,3,1,1,Match Report
Y,7,0,90,0,0,0,0,0,1,0,1,48,1,0,0,0,1,Sun,Premier League,Matchweek 24,Home,L 1-2,Aston Villa,Manchester Utd,CB,0,0,0,53,1,0.4,0.4,0.0,5,0,41,85.4,5,42,4,1,1,Match Report
Y,8,0,90,0,0,1,0,0,1,0,0,46,0,0,0,0,0,Sat,Premier League,Matchweek 25,Away,W 2-1,Aston Villa,Fulham,CB,0,0,0,57,0,0.1,0.1,0.0,1,0,45,97.8,0,31,0,0,0,Match Report
Y,9,0,90,0,0,0,0,0,0,0,0,85,0,0,0,0,0,Sat,Premier League,Matchweek 26,Home,W 4-2,Aston Villa,Nott'ham Forest,CB,0,0,0,89,0,0.0,0.0,0.0,1,0,78,91.8,3,75,0,1,0,Match Report
Y,10,0,90,0,0,0,0,0,1,0,0,69,0,0,0,0,0,Sat,Premier League,Matchweek 27,Away,W 3-2,Aston Villa,Luton Town,CB,0,0,0,80,4,0.1,0.1,0.0,0,0,57,82.6,2,58,0,0,0,Match Report
Y,11,0,57,0,0,0,0,0,0,0,0,27,0,0,0,0,0,Sun,Premier League,Matchweek 28,Home,L 0-4,Aston Villa,Tottenham,CB,0,0,0,32,1,0.0,0.0,0.0,0,0,25,92.6,1,22,0,1,0,Match Report
Y,12,0,45,0,0,2,0,0,0,0,0,51,1,0,0,0,0,Sun,Premier League,Matchweek 29,Away,D 1-1,Aston Villa,West Ham,CB,0,0,0,55,0,0.0,0.0,0.0,1,0,47,92.2,1,42,0,0,0,Match Report
Y,13,0,90,0,0,3,0,0,2,0,1,46,0,0,0,0,0,Wed,Premier League,Matchweek 31,Away,L 1-4,Aston Villa,Manchester City,CB,0,0,0,62,3,0.1,0.1,0.0,0,0,43,93.5,0,41,0,0,0,Match Report
Y,14,0,90,0,0,0,0,0,0,0,0,69,1,0,0,0,1,Sun,Premier League,Matchweek 38,Away,L 0-5,Aston Villa,Crystal Palace,CB,0,0,0,71,1,0.0,0.0,0.0,0,0,63,91.3,1,50,0,0,0,Match Report
