game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Sun,Premier League,Matchweek 1,Away,D 1-1,Liverpool,Chelsea,LM,25,0,0,0,0,0,0,0,0,21,1,1,1,0.0,0.0,0.0,0,0,16,18,88.9,2,14,0,1,1,Match Report
Y,2,Sun,Premier League,Matchweek 4,Home,W 3-0,Liverpool,Aston Villa,LM,64,0,0,0,0,0,0,0,0,41,1,0,0,0.0,0.0,0.0,0,0,33,36,91.7,1,27,0,0,0,Match Report
Y,3,Sat,Premier League,Matchweek 5,Away,W 3-1,Liverpool,Wolves,"LM,CM",90,0,0,0,0,0,0,1,0,84,1,1,0,0.0,0.0,0.0,0,0,75,79,94.9,7,56,1,4,2,Match Report
Y,4,Sun,Premier League,Matchweek 6,Home,W 3-1,Liverpool,West Ham,LM,76,0,0,0,0,2,1,0,0,65,4,0,0,0.0,0.0,0.0,1,0,50,52,96.2,8,49,1,4,1,Match Report
Y,5,Sat,Premier League,Matchweek 7,Away,L 1-2,Liverpool,Tottenham,LM,25,0,0,0,0,1,0,0,1,15,1,0,3,0.1,0.1,0.0,1,0,9,9,100.0,1,7,0,0,0,Match Report
Y,6,Sat,Premier League,Matchweek 13,Away,D 1-1,Liverpool,Manchester City,LM,53,0,0,0,0,0,0,0,0,30,1,0,0,0.0,0.0,0.0,0,0,19,22,86.4,2,23,2,4,2,Match Report
N,7,Wed,Premier League,Matchweek 15,Away,W 2-0,Liverpool,Sheffield Utd,LM,34,0,0,0,0,1,0,0,0,27,0,0,2,0.1,0.1,0.0,1,0,16,20,80.0,2,18,1,1,1,Match Report
N,8,Sat,Premier League,Matchweek 16,Away,W 2-1,Liverpool,Crystal Palace,LM,17,0,1,0,0,0,0,0,0,22,0,0,1,0.0,0.0,0.1,1,1,15,17,88.2,1,13,0,0,0,Match Report
N,9,Sun,Premier League,Matchweek 17,Home,D 0-0,Liverpool,Manchester Utd,LW,13,0,0,0,0,1,0,0,0,5,1,0,0,0.0,0.0,0.0,1,0,3,3,100.0,1,3,0,0,0,Match Report
Y,10,Sat,Premier League,Matchweek 18,Home,D 1-1,Liverpool,Arsenal,LM,67,0,0,0,0,1,0,0,0,41,1,1,3,0.0,0.0,0.1,2,0,30,34,88.2,6,27,5,1,0,Match Report
N,11,Tue,Premier League,Matchweek 19,Away,W 2-0,Liverpool,Burnley,LM,25,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,2,0,21,22,95.5,4,17,0,1,0,Match Report
Y,12,Mon,Premier League,Matchweek 20,Home,W 4-2,Liverpool,Newcastle Utd,LM,90,1,0,0,0,5,2,0,0,70,2,0,2,1.4,1.4,0.1,5,0,50,56,89.3,5,50,5,2,2,Match Report
Y,13,Sun,Premier League,Matchweek 21,Away,W 4-0,Liverpool,Bournemouth,LM,82,0,0,0,0,1,0,0,0,67,4,1,2,0.1,0.1,0.0,2,1,49,54,90.7,2,42,3,1,1,Match Report
Y,14,Wed,Premier League,Matchweek 22,Home,W 4-1,Liverpool,Chelsea,LM,82,0,0,0,0,1,1,0,0,54,1,1,2,0.0,0.0,0.0,7,0,40,45,88.9,5,35,4,3,1,Match Report
Y,15,Sun,Premier League,Matchweek 23,Away,L 1-3,Liverpool,Arsenal,"LM,LW",90,0,0,0,0,1,0,0,0,54,1,1,0,0.0,0.0,0.0,0,0,38,47,80.9,2,39,2,1,1,Match Report
Y,16,Sat,Premier League,Matchweek 24,Home,W 3-1,Liverpool,Burnley,"RB,LM",90,0,0,0,0,1,0,0,0,86,2,0,1,0.0,0.0,0.2,6,0,73,81,90.1,8,53,2,3,1,Match Report
Y,17,Sat,Premier League,Matchweek 25,Away,W 4-1,Liverpool,Brentford,LM,33,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,1,0,19,20,95.0,2,17,1,0,0,Match Report
N,18,Thu,Premier League,Matchweek 31,Home,W 3-1,Liverpool,Sheffield Utd,DM,18,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,2,1,29,31,93.5,3,26,0,1,1,Match Report
N,19,Sun,Premier League,Matchweek 32,Away,D 2-2,Liverpool,Manchester Utd,RM,25,0,0,0,0,0,0,1,0,22,1,0,0,0.0,0.0,0.0,0,0,18,20,90.0,1,18,0,0,0,Match Report
Y,20,Sun,Premier League,Matchweek 33,Home,L 0-1,Liverpool,Crystal Palace,LM,81,0,0,0,0,2,0,1,0,64,4,1,2,0.7,0.7,0.0,2,0,45,49,91.8,4,44,2,1,0,Match Report
Y,21,Wed,Premier League,Matchweek 29,Away,L 0-2,Liverpool,Everton,LM,62,0,0,0,0,1,0,0,0,54,0,0,3,0.1,0.1,0.1,1,0,45,46,97.8,5,34,1,1,1,Match Report
N,22,Mon,Premier League,Matchweek 37,Away,D 3-3,Liverpool,Aston Villa,LW,15,0,0,0,0,1,1,0,0,6,1,0,0,0.1,0.1,0.0,0,0,2,3,66.7,0,4,0,0,0,Match Report
N,23,Sun,Premier League,Matchweek 38,Home,W 2-0,Liverpool,Wolves,RM,10,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.1,1,0,12,12,100.0,2,8,1,0,0,Match Report
