game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,match_report
Y,1,Sun,Premier League,Matchweek 5,Away,W 1-0,Arsenal,Everton,GK,90,Match Report
Y,2,Sun,Premier League,Matchweek 6,Home,D 2-2,Arsenal,Tottenham,GK,90,Match Report
Y,3,Sat,Premier League,Matchweek 7,Away,W 4-0,Arsenal,Bournemouth,GK,90,Match Report
Y,4,Sun,Premier League,Matchweek 8,Home,W 1-0,Arsenal,Manchester City,GK,90,Match Report
Y,5,Sat,Premier League,Matchweek 9,Away,D 2-2,Arsenal,Chelsea,GK,90,Match Report
Y,6,Sat,Premier League,Matchweek 10,Home,W 5-0,Arsenal,Sheffield Utd,GK,90,Match Report
Y,7,Sat,Premier League,Matchweek 11,Away,L 0-1,Arsenal,Newcastle Utd,GK,90,Match Report
Y,8,Sat,Premier League,Matchweek 12,Home,W 3-1,Arsenal,Burnley,GK,90,Match Report
Y,9,Sat,Premier League,Matchweek 14,Home,W 2-1,Arsenal,Wolves,GK,90,Match Report
Y,10,Tue,Premier League,Matchweek 15,Away,W 4-3,Arsenal,Luton Town,GK,90,Match Report
Y,11,Sat,Premier League,Matchweek 16,Away,L 0-1,Arsenal,Aston Villa,GK,90,Match Report
Y,12,Sun,Premier League,Matchweek 17,Home,W 2-0,Arsenal,Brighton,GK,90,Match Report
Y,13,Sat,Premier League,Matchweek 18,Away,D 1-1,Arsenal,Liverpool,GK,90,Match Report
Y,14,Thu,Premier League,Matchweek 19,Home,L 0-2,Arsenal,West Ham,GK,90,Match Report
Y,15,Sun,Premier League,Matchweek 20,Away,L 1-2,Arsenal,Fulham,GK,90,Match Report
Y,16,Sat,Premier League,Matchweek 21,Home,W 5-0,Arsenal,Crystal Palace,GK,90,Match Report
Y,17,Tue,Premier League,Matchweek 22,Away,W 2-1,Arsenal,Nott'ham Forest,GK,90,Match Report
Y,18,Sun,Premier League,Matchweek 23,Home,W 3-1,Arsenal,Liverpool,GK,90,Match Report
Y,19,Sun,Premier League,Matchweek 24,Away,W 6-0,Arsenal,West Ham,GK,90,Match Report
Y,20,Sat,Premier League,Matchweek 25,Away,W 5-0,Arsenal,Burnley,GK,90,Match Report
Y,21,Sat,Premier League,Matchweek 26,Home,W 4-1,Arsenal,Newcastle Utd,GK,90,Match Report
Y,22,Mon,Premier League,Matchweek 27,Away,W 6-0,Arsenal,Sheffield Utd,GK,90,Match Report
Y,23,Sun,Premier League,Matchweek 30,Away,D 0-0,Arsenal,Manchester City,GK,90,Match Report
Y,24,Wed,Premier League,Matchweek 31,Home,W 2-0,Arsenal,Luton Town,GK,90,Match Report
Y,25,Sat,Premier League,Matchweek 32,Away,W 3-0,Arsenal,Brighton,GK,90,Match Report
Y,26,Sun,Premier League,Matchweek 33,Home,L 0-2,Arsenal,Aston Villa,GK,90,Match Report
Y,27,Sat,Premier League,Matchweek 34,Away,W 2-0,Arsenal,Wolves,GK,90,Match Report
Y,28,Tue,Premier League,Matchweek 29,Home,W 5-0,Arsenal,Chelsea,GK,90,Match Report
Y,29,Sun,Premier League,Matchweek 35,Away,W 3-2,Arsenal,Tottenham,GK,90,Match Report
Y,30,Sat,Premier League,Matchweek 36,Home,W 3-0,Arsenal,Bournemouth,GK,90,Match Report
Y,31,Sun,Premier League,Matchweek 37,Away,W 1-0,Arsenal,Manchester Utd,GK,90,Match Report
Y,32,Sun,Premier League,Matchweek 38,Home,W 2-1,Arsenal,Everton,GK,90,Match Report
