game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,match_report
Y,1,Sat,Premier League,Matchweek 17,Away,D 2-2,Crystal Palace,Manchester City,GK,90,Match Report
Y,2,Thu,Premier League,Matchweek 18,Home,D 1-1,Crystal Palace,Brighton,GK,90,Match Report
Y,3,Wed,Premier League,Matchweek 19,Away,L 1-2,Crystal Palace,Chelsea,GK,90,Match Report
Y,4,Sat,Premier League,Matchweek 20,Home,W 3-1,Crystal Palace,Brentford,GK,90,Match Report
Y,5,Sat,Premier League,Matchweek 21,Away,L 0-5,Crystal Palace,Arsenal,GK,90,Match Report
Y,6,Tue,Premier League,Matchweek 22,Home,W 3-2,Crystal Palace,Sheffield Utd,GK,90,Match Report
Y,7,Sat,Premier League,Matchweek 23,Away,L 1-4,Crystal Palace,Brighton,GK,90,Match Report
Y,8,Mon,Premier League,Matchweek 24,Home,L 1-3,Crystal Palace,Chelsea,GK,90,Match Report
Y,9,Sat,Premier League,Matchweek 30,Away,D 1-1,Crystal Palace,Nott'ham Forest,GK,90,Match Report
Y,10,Tue,Premier League,Matchweek 31,Away,L 0-1,Crystal Palace,Bournemouth,GK,90,Match Report
Y,11,Sat,Premier League,Matchweek 32,Home,L 2-4,Crystal Palace,Manchester City,GK,90,Match Report
Y,12,Sun,Premier League,Matchweek 33,Away,W 1-0,Crystal Palace,Liverpool,GK,90,Match Report
Y,13,Sun,Premier League,Matchweek 34,Home,W 5-2,Crystal Palace,West Ham,GK,90,Match Report
Y,14,Wed,Premier League,Matchweek 29,Home,W 2-0,Crystal Palace,Newcastle Utd,GK,90,Match Report
Y,15,Sat,Premier League,Matchweek 35,Away,D 1-1,Crystal Palace,Fulham,GK,90,Match Report
Y,16,Mon,Premier League,Matchweek 36,Home,W 4-0,Crystal Palace,Manchester Utd,GK,90,Match Report
Y,17,Sat,Premier League,Matchweek 37,Away,W 3-1,Crystal Palace,Wolves,GK,90,Match Report
Y,18,Sun,Premier League,Matchweek 38,Home,W 5-0,Crystal Palace,Aston Villa,GK,90,Match Report
