game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sat,Premier League,Matchweek 1,Home,W 2-1,Arsenal,Nott'ham Forest,CM,90,0,0,0,0,3,3,0,0,103,4,1,0,0.2,0.2,0.0,0,0,84,91,92.3,3,86,1,2,0,Match Report
Y,2,Mon,Premier League,Matchweek 2,Away,W 1-0,Arsenal,Crystal Palace,CM,90,0,0,0,0,0,0,0,0,67,0,1,3,0.0,0.0,0.4,1,0,55,61,90.2,8,41,2,2,0,Match Report
Y,3,Sat,Premier League,Matchweek 3,Home,D 2-2,Arsenal,Fulham,CM,89,0,0,0,0,0,0,0,0,79,5,2,0,0.0,0.0,0.0,2,0,68,71,95.8,9,45,0,0,0,Match Report
Y,4,Sun,Premier League,Matchweek 4,Home,W 3-1,Arsenal,Manchester Utd,CM,90,1,0,0,0,2,1,0,0,83,1,2,3,0.2,0.2,0.0,0,0,64,73,87.7,5,58,3,1,0,Match Report
Y,5,Sun,Premier League,Matchweek 5,Away,W 1-0,Arsenal,Everton,CM,90,0,0,0,0,1,0,0,0,97,0,3,0,0.1,0.1,0.2,3,0,85,91,93.4,14,69,2,3,3,Match Report
Y,6,Sun,Premier League,Matchweek 6,Home,D 2-2,Arsenal,Tottenham,CM,45,0,0,0,0,2,0,0,0,21,1,0,1,0.1,0.1,0.0,0,0,14,15,93.3,0,9,0,0,0,Match Report
Y,7,Sat,Premier League,Matchweek 7,Away,W 4-0,Arsenal,Bournemouth,CM,80,0,0,0,0,0,0,0,0,73,4,1,4,0.0,0.0,0.1,1,0,58,61,95.1,3,42,2,0,0,Match Report
Y,8,Sun,Premier League,Matchweek 8,Home,W 1-0,Arsenal,Manchester City,LM,90,0,0,0,0,0,0,0,0,54,3,3,2,0.0,0.0,0.1,4,0,36,40,90.0,3,31,1,1,0,Match Report
Y,9,Sat,Premier League,Matchweek 9,Away,D 2-2,Arsenal,Chelsea,"LM,CM",90,1,0,0,0,1,1,0,0,60,3,0,1,0.1,0.1,0.0,2,0,46,53,86.8,7,32,2,2,1,Match Report
Y,10,Sat,Premier League,Matchweek 10,Home,W 5-0,Arsenal,Sheffield Utd,CM,88,0,1,0,0,1,0,0,0,79,2,1,1,0.1,0.1,0.8,0,0,67,72,93.1,8,61,0,0,0,Match Report
Y,11,Sat,Premier League,Matchweek 11,Away,L 0-1,Arsenal,Newcastle Utd,"LM,CM",90,0,0,0,0,2,0,0,0,69,0,1,2,0.1,0.1,0.1,6,0,51,58,87.9,13,49,3,2,2,Match Report
Y,12,Sat,Premier League,Matchweek 12,Home,W 3-1,Arsenal,Burnley,"LM,CM",90,0,0,0,0,1,0,0,0,45,1,1,0,0.0,0.0,0.1,2,0,33,39,84.6,6,26,0,1,0,Match Report
Y,13,Sat,Premier League,Matchweek 13,Away,W 1-0,Arsenal,Brentford,CM,90,0,0,0,0,1,0,0,0,81,0,1,2,0.0,0.0,0.0,2,0,65,73,89.0,5,52,1,0,0,Match Report
Y,14,Sat,Premier League,Matchweek 14,Home,W 2-1,Arsenal,Wolves,"CM,RM",90,0,0,0,0,3,0,0,0,97,2,5,0,0.2,0.2,0.0,0,0,76,84,90.5,12,61,1,0,0,Match Report
Y,15,Tue,Premier League,Matchweek 15,Away,W 4-3,Arsenal,Luton Town,CM,90,1,0,0,0,3,1,0,0,90,2,1,0,0.2,0.2,0.1,1,0,72,79,91.1,8,53,3,2,0,Match Report
Y,16,Sat,Premier League,Matchweek 16,Away,L 0-1,Arsenal,Aston Villa,CM,90,0,0,0,0,1,0,1,0,89,5,1,0,0.1,0.1,0.0,3,0,69,77,89.6,12,52,3,1,1,Match Report
Y,17,Sun,Premier League,Matchweek 17,Home,W 2-0,Arsenal,Brighton,CM,90,0,0,0,0,2,1,0,0,67,2,3,0,0.1,0.1,0.0,5,0,54,59,91.5,9,50,4,2,1,Match Report
Y,18,Sat,Premier League,Matchweek 18,Away,D 1-1,Arsenal,Liverpool,CM,90,0,0,0,0,1,0,1,0,88,2,2,0,0.0,0.0,0.0,2,0,64,74,86.5,7,43,0,1,1,Match Report
Y,19,Thu,Premier League,Matchweek 19,Home,L 0-2,Arsenal,West Ham,"CM,DM",90,0,0,0,0,2,0,0,0,118,4,1,1,0.1,0.1,0.1,4,0,100,108,92.6,29,101,6,1,1,Match Report
Y,20,Sun,Premier League,Matchweek 20,Away,L 1-2,Arsenal,Fulham,CM,90,0,0,0,0,1,0,0,0,114,1,0,3,0.0,0.0,0.0,2,0,97,105,92.4,23,91,4,3,3,Match Report
Y,21,Sat,Premier League,Matchweek 21,Home,W 5-0,Arsenal,Crystal Palace,CM,72,0,1,0,0,1,1,0,0,66,1,1,0,0.0,0.0,0.2,1,1,55,61,90.2,2,50,1,0,0,Match Report
Y,22,Tue,Premier League,Matchweek 22,Away,W 2-1,Arsenal,Nott'ham Forest,CM,90,0,0,0,0,0,0,0,0,92,4,0,1,0.0,0.0,0.0,2,0,72,84,85.7,9,52,2,0,0,Match Report
