game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,0,27,0,0,2,0,0,2,0,1,15,0,0,0,0,0,Sat,Premier League,Matchweek 1,Away,L 1-5,Aston Villa,Newcastle Utd,CB,0,0,0,21,0,0.3,0.3,0.0,0,0,15,100.0,0,10,0,0,0,Match Report
N,2,0,27,0,0,2,0,0,0,0,0,26,0,0,0,0,0,Sun,Premier League,Matchweek 2,Home,W 4-0,Aston Villa,Everton,CB,0,0,0,31,1,0.0,0.0,0.0,0,0,23,88.5,0,24,0,1,0,Match Report
Y,3,0,90,0,0,2,0,0,1,0,0,69,2,0,0,0,0,Sun,Premier League,Matchweek 3,Away,W 3-1,Aston Villa,Burnley,CB,0,0,0,80,0,0.1,0.1,0.0,0,0,53,76.8,2,45,0,2,1,Match Report
Y,4,0,18,0,0,0,0,0,0,0,0,10,0,0,0,0,0,Sun,Premier League,Matchweek 4,Away,L 0-3,Aston Villa,Liverpool,CB,0,0,0,11,0,0.0,0.0,0.0,0,0,10,100.0,1,9,0,0,0,Match Report
Y,5,0,90,0,0,0,0,0,0,0,0,66,1,0,0,0,0,Sun,Premier League,Matchweek 8,Away,D 1-1,Aston Villa,Wolves,CB,0,0,0,69,0,0.0,0.0,0.0,0,0,60,90.9,6,44,0,0,0,Match Report
N,6,0,12,0,0,0,0,0,0,0,0,11,0,0,0,0,0,Sun,Premier League,Matchweek 10,Home,W 3-1,Aston Villa,Luton Town,CB,0,0,0,12,0,0.0,0.0,0.0,0,0,10,90.9,0,10,0,0,0,Match Report
N,7,0,13,0,0,0,0,0,0,0,0,23,0,0,0,0,0,Sun,Premier League,Matchweek 11,Away,L 0-2,Aston Villa,Nott'ham Forest,CB,0,0,0,23,0,0.0,0.0,0.0,0,0,21,91.3,3,22,0,0,0,Match Report
Y,8,0,90,0,0,1,0,0,1,0,0,33,1,0,0,0,0,Sun,Premier League,Matchweek 13,Away,W 2-1,Aston Villa,Tottenham,CB,0,0,0,43,1,0.1,0.1,0.0,0,0,30,90.9,1,19,0,0,0,Match Report
Y,9,0,90,0,0,1,0,0,0,0,0,83,1,0,0,0,0,Sun,Premier League,Matchweek 14,Away,D 2-2,Aston Villa,Bournemouth,CB,0,0,0,93,2,0.0,0.0,0.0,0,0,70,84.3,5,51,0,0,0,Match Report
Y,10,0,90,0,0,0,0,0,0,0,0,60,0,0,0,0,0,Wed,Premier League,Matchweek 15,Home,W 1-0,Aston Villa,Manchester City,CB,0,0,0,63,0,0.0,0.0,0.0,1,1,54,90.0,3,46,0,0,0,Match Report
