game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Sat,Premier League,Matchweek 2,Away,L 0-2,Manchester Utd,Tottenham,RB,25,0,0,0,0,0,0,0,0,26,2,0,2,0.0,0.0,0.0,1,0,19,21,90.5,1,14,1,2,1,Match Report
Y,2,Sat,Premier League,Matchweek 3,Home,W 3-2,Manchester Utd,Nott'ham Forest,LB,90,0,0,0,0,0,0,0,0,88,1,2,0,0.0,0.0,0.0,1,0,67,75,89.3,7,57,4,0,0,Match Report
Y,3,Sun,Premier League,Matchweek 4,Away,L 1-3,Manchester Utd,Arsenal,LB,90,0,0,0,0,1,0,0,0,32,1,2,0,0.0,0.0,0.0,1,0,14,21,66.7,0,14,2,1,0,Match Report
Y,4,Sat,Premier League,Matchweek 5,Home,L 1-3,Manchester Utd,Brighton,"RB,CB",90,0,0,0,0,0,0,0,0,50,6,1,0,0.0,0.0,0.2,4,0,34,42,81.0,4,28,1,5,4,Match Report
Y,5,Sat,Premier League,Matchweek 6,Away,W 1-0,Manchester Utd,Burnley,RB,90,0,0,0,0,0,0,1,0,49,3,0,0,0.0,0.0,0.1,1,0,37,45,82.2,2,19,2,0,0,Match Report
Y,6,Sat,Premier League,Matchweek 7,Home,L 0-1,Manchester Utd,Crystal Palace,RB,90,0,0,0,0,1,0,0,0,93,1,0,1,0.0,0.0,0.1,3,0,74,89,83.1,8,61,6,4,2,Match Report
Y,7,Sat,Premier League,Matchweek 8,Home,W 2-1,Manchester Utd,Brentford,"RB,CB",90,0,0,0,0,2,1,0,0,84,0,2,0,0.2,0.2,0.2,6,1,66,76,86.8,12,49,3,3,1,Match Report
Y,8,Sat,Premier League,Matchweek 9,Away,W 2-1,Manchester Utd,Sheffield Utd,RB,90,1,0,0,0,1,1,0,0,68,1,1,1,0.0,0.0,0.0,0,0,43,62,69.4,3,43,0,2,2,Match Report
Y,9,Sun,Premier League,Matchweek 10,Home,L 0-3,Manchester Utd,Manchester City,RB,90,0,0,0,0,0,0,0,0,45,2,1,0,0.0,0.0,0.0,1,0,30,38,78.9,2,24,1,0,0,Match Report
Y,10,Sat,Premier League,Matchweek 11,Away,W 1-0,Manchester Utd,Fulham,LB,90,0,0,0,0,3,0,1,0,68,2,0,1,0.1,0.1,0.2,3,0,46,57,80.7,2,37,1,0,0,Match Report
Y,11,Sat,Premier League,Matchweek 12,Home,W 1-0,Manchester Utd,Luton Town,RB,90,0,0,0,0,1,0,0,0,64,2,0,0,0.0,0.0,0.1,1,0,50,57,87.7,6,31,0,0,0,Match Report
Y,12,Sun,Premier League,Matchweek 13,Away,W 3-0,Manchester Utd,Everton,"RB,LB",90,0,1,0,0,0,0,0,0,60,3,3,2,0.0,0.0,0.2,4,1,42,53,79.2,3,24,3,0,0,Match Report
Y,13,Sat,Premier League,Matchweek 14,Away,L 0-1,Manchester Utd,Newcastle Utd,"LB,RB",90,0,0,0,0,0,0,0,0,59,4,1,2,0.0,0.0,0.0,2,0,26,46,56.5,0,20,0,2,0,Match Report
Y,14,Wed,Premier League,Matchweek 15,Home,W 2-1,Manchester Utd,Chelsea,RB,90,0,0,0,0,0,0,1,0,48,1,0,1,0.0,0.0,0.1,5,0,37,43,86.0,1,27,4,3,2,Match Report
Y,15,Sat,Premier League,Matchweek 16,Home,L 0-3,Manchester Utd,Bournemouth,RB,90,0,0,0,0,2,0,0,0,81,1,1,0,0.2,0.2,0.1,5,0,59,66,89.4,9,48,4,0,0,Match Report
Y,16,Sun,Premier League,Matchweek 17,Away,D 0-0,Manchester Utd,Liverpool,RB,89,0,0,0,0,0,0,2,1,51,3,1,1,0.0,0.0,0.0,1,0,24,38,63.2,2,12,1,0,0,Match Report
Y,17,Tue,Premier League,Matchweek 19,Home,W 3-2,Manchester Utd,Aston Villa,LB,90,0,0,0,0,1,0,0,0,81,4,3,1,0.1,0.1,0.0,2,0,44,60,73.3,2,39,1,2,0,Match Report
