game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,37,0,0,0,0,0,0,0,0,4,0,0,0,0,0,Sun,Premier League,Matchweek 2,Away,L 0-4,Everton,Aston Villa,FW,0,0,0,5,0,0.0,0.0,0.0,0,0,3,75.0,1,3,0,0,0,Match Report
N,2,0,25,0,0,0,0,0,1,0,0,6,0,0,0,0,0,Sun,Premier League,Matchweek 5,Home,L 0-1,Everton,Arsenal,FW,0,0,0,10,0,0.1,0.1,0.0,1,0,1,16.7,0,5,0,1,1,Match Report
N,3,0,28,0,0,0,0,0,1,0,1,6,0,0,1,0,0,Sat,Premier League,Matchweek 6,Away,W 3-1,Everton,Brentford,FW,0,0,0,13,1,0.6,0.6,0.0,0,0,2,33.3,0,7,1,2,0,Match Report
Y,4,0,90,0,0,0,0,0,6,0,2,22,0,0,1,0,0,Sat,Premier League,Matchweek 7,Home,L 1-2,Everton,Luton Town,FW,0,0,0,40,1,1.4,1.4,0.0,1,0,12,54.5,0,24,2,4,0,Match Report
Y,5,0,82,0,0,0,0,0,3,0,0,17,1,0,0,0,0,Sat,Premier League,Matchweek 8,Home,W 3-0,Everton,Bournemouth,FW,0,0,0,29,0,0.4,0.4,0.0,2,0,9,52.9,1,14,2,2,2,Match Report
Y,6,0,60,0,0,1,0,0,1,0,1,9,0,0,0,0,0,Sat,Premier League,Matchweek 9,Away,L 0-2,Everton,Liverpool,FW,0,0,0,18,0,0.1,0.1,0.0,1,0,2,22.2,1,4,0,0,0,Match Report
Y,7,0,88,0,0,0,0,0,2,0,1,27,0,0,1,0,0,Sun,Premier League,Matchweek 10,Away,W 1-0,Everton,West Ham,FW,0,0,0,35,0,0.2,0.2,0.1,4,1,19,70.4,3,21,4,2,1,Match Report
Y,8,0,89,0,0,0,0,0,1,0,0,20,0,0,0,0,0,Sat,Premier League,Matchweek 11,Home,D 1-1,Everton,Brighton,FW,0,0,0,28,0,0.1,0.1,0.0,3,0,9,45.0,3,9,1,1,1,Match Report
Y,9,0,76,0,0,0,0,0,0,0,0,12,0,0,0,0,0,Sat,Premier League,Matchweek 12,Away,W 3-2,Everton,Crystal Palace,FW,0,0,0,18,1,0.0,0.0,0.1,1,0,7,58.3,0,8,0,0,0,Match Report
Y,10,0,81,0,0,0,0,0,5,0,3,14,0,0,0,0,0,Sun,Premier League,Matchweek 13,Home,L 0-3,Everton,Manchester Utd,FW,0,0,0,30,0,0.6,0.6,0.0,2,0,6,42.9,2,13,2,1,0,Match Report
