game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,90,0,0,1,0,0,3,0,2,16,0,0,1,0,0,Sat,Premier League,Matchweek 1,Home,D 1-1,Bournemouth,West Ham,FW,0,0,0,29,0,1.0,1.0,0.1,5,1,12,75.0,2,24,2,3,1,Match Report
Y,2,0,90,0,0,0,0,0,3,0,0,17,0,0,0,1,0,Sat,Premier League,Matchweek 2,Away,L 1-3,Bournemouth,Liverpool,"FW,AM",0,0,0,29,0,0.1,0.1,0.1,1,0,10,58.8,0,13,2,3,2,Match Report
Y,3,0,90,0,0,0,0,0,1,0,0,11,1,0,0,0,0,Sat,Premier League,Matchweek 3,Home,L 0-2,Bournemouth,Tottenham,FW,0,0,0,22,0,0.1,0.1,0.0,2,0,9,81.8,1,9,0,3,0,Match Report
Y,4,0,90,0,0,0,0,0,2,0,2,15,0,0,1,0,0,Sat,Premier League,Matchweek 4,Away,D 2-2,Bournemouth,Brentford,FW,0,0,0,38,0,0.6,0.6,0.1,2,0,13,86.7,3,19,2,3,0,Match Report
Y,5,0,90,0,0,0,0,0,4,0,1,11,1,0,0,0,0,Sun,Premier League,Matchweek 5,Home,D 0-0,Bournemouth,Chelsea,FW,0,0,0,25,1,0.4,0.4,0.0,2,0,9,81.8,1,20,3,4,2,Match Report
Y,6,0,90,0,0,1,0,0,3,0,1,13,0,0,1,0,0,Sun,Premier League,Matchweek 6,Away,L 1-3,Bournemouth,Brighton,FW,0,0,0,26,1,0.5,0.5,0.0,0,0,12,92.3,0,12,0,3,0,Match Report
Y,7,0,90,0,0,1,0,0,2,0,0,16,0,0,0,0,0,Sat,Premier League,Matchweek 7,Home,L 0-4,Bournemouth,Arsenal,FW,0,0,0,35,1,0.2,0.2,0.1,3,0,13,81.3,2,18,2,6,1,Match Report
Y,8,0,90,0,0,0,0,0,3,0,1,9,0,0,0,0,1,Sat,Premier League,Matchweek 8,Away,L 0-3,Bournemouth,Everton,FW,0,0,0,26,1,0.1,0.1,0.1,1,0,8,88.9,3,23,2,3,1,Match Report
Y,9,0,84,0,0,0,0,0,3,0,1,15,0,0,1,0,0,Sat,Premier League,Matchweek 9,Home,L 1-2,Bournemouth,Wolves,FW,0,0,0,31,0,0.5,0.5,0.0,1,0,11,73.3,1,31,2,7,2,Match Report
Y,10,0,90,0,0,0,0,0,2,0,1,16,0,0,0,0,0,Sat,Premier League,Matchweek 10,Home,W 2-1,Bournemouth,Burnley,FW,0,0,0,28,2,0.2,0.2,0.0,1,0,11,68.8,3,10,0,0,0,Match Report
Y,11,0,84,0,0,0,0,0,3,0,0,20,0,0,0,0,0,Sat,Premier League,Matchweek 11,Away,L 1-6,Bournemouth,Manchester City,FW,0,0,0,30,0,0.6,0.6,0.0,1,0,20,100.0,1,18,0,1,1,Match Report
Y,12,0,90,0,0,2,0,0,4,0,2,12,0,0,2,0,0,Sat,Premier League,Matchweek 12,Home,W 2-0,Bournemouth,Newcastle Utd,FW,0,0,0,33,3,1.1,1.1,0.4,2,0,9,75.0,0,16,2,3,1,Match Report
Y,13,0,90,0,0,0,0,0,4,0,0,19,0,0,0,0,0,Sat,Premier League,Matchweek 13,Away,W 3-1,Bournemouth,Sheffield Utd,FW,0,0,0,37,1,0.6,0.6,0.0,3,0,10,52.6,4,23,1,1,1,Match Report
Y,14,0,90,0,0,2,0,0,4,0,3,12,0,0,1,0,0,Sun,Premier League,Matchweek 14,Home,D 2-2,Bournemouth,Aston Villa,FW,0,0,0,24,2,1.3,1.3,0.0,0,0,9,75.0,0,14,0,0,0,Match Report
Y,15,0,87,0,0,0,0,0,2,0,1,13,1,0,0,0,0,Wed,Premier League,Matchweek 15,Away,W 2-0,Bournemouth,Crystal Palace,FW,0,0,0,27,2,0.2,0.2,0.0,1,0,9,69.2,2,15,1,6,3,Match Report
Y,16,0,90,0,0,1,0,0,5,0,1,13,0,0,1,0,0,Sat,Premier League,Matchweek 16,Away,W 3-0,Bournemouth,Manchester Utd,FW,0,0,0,34,1,0.9,0.9,0.0,2,1,9,69.2,2,24,3,3,2,Match Report
Y,17,0,90,0,0,0,0,0,6,0,3,13,0,0,3,0,0,Sat,Premier League,Matchweek 18,Away,W 3-2,Bournemouth,Nott'ham Forest,FW,0,0,0,35,2,0.7,0.7,0.0,1,0,9,69.2,3,15,2,5,0,Match Report
Y,18,0,90,0,0,1,0,0,2,0,0,18,0,0,1,0,0,Tue,Premier League,Matchweek 19,Home,W 3-0,Bournemouth,Fulham,FW,1,1,0,28,0,1.0,0.2,0.0,0,0,15,83.3,2,18,0,2,1,Match Report
Y,19,0,90,0,0,2,0,0,9,0,2,9,0,0,0,0,0,Sun,Premier League,Matchweek 20,Away,L 1-3,Bournemouth,Tottenham,FW,0,0,0,29,0,0.8,0.8,0.0,3,0,7,77.8,1,14,2,4,0,Match Report
Y,20,0,82,0,0,0,0,0,1,0,0,11,0,0,0,0,0,Sun,Premier League,Matchweek 21,Home,L 0-4,Bournemouth,Liverpool,FW,0,0,0,22,0,0.1,0.1,0.0,0,0,9,81.8,1,12,0,3,2,Match Report
Y,21,0,90,0,0,0,0,0,1,0,1,14,0,0,1,0,0,Thu,Premier League,Matchweek 22,Away,D 1-1,Bournemouth,West Ham,FW,0,0,0,28,0,0.5,0.5,0.4,2,0,10,71.4,4,15,1,3,2,Match Report
Y,22,0,90,0,0,0,0,0,0,0,0,12,0,0,0,0,0,Sun,Premier League,Matchweek 23,Home,D 1-1,Bournemouth,Nott'ham Forest,FW,0,0,0,20,1,0.0,0.0,0.1,2,0,8,66.7,0,13,0,3,2,Match Report
Y,23,0,90,0,0,2,0,0,5,0,0,19,0,0,0,1,1,Sat,Premier League,Matchweek 24,Away,L 1-3,Bournemouth,Fulham,FW,0,0,0,33,0,0.7,0.7,0.2,2,1,12,63.2,0,17,1,4,2,Match Report
Y,24,0,90,0,0,1,0,0,3,0,3,19,0,0,1,1,0,Sat,Premier League,Matchweek 25,Away,D 2-2,Bournemouth,Newcastle Utd,FW,0,0,0,34,0,1.9,1.9,0.1,2,1,13,68.4,3,13,0,2,1,Match Report
Y,25,0,90,0,0,1,0,0,3,0,1,13,0,0,0,0,0,Sat,Premier League,Matchweek 26,Home,L 0-1,Bournemouth,Manchester City,FW,0,0,0,25,1,0.3,0.3,0.2,5,0,10,76.9,3,17,2,2,0,Match Report
Y,26,0,88,0,0,2,0,0,1,0,1,11,0,0,0,0,0,Sun,Premier League,Matchweek 27,Away,W 2-0,Bournemouth,Burnley,FW,0,0,0,27,0,0.2,0.2,0.1,3,0,4,36.4,1,12,1,1,0,Match Report
Y,27,0,90,0,0,0,0,0,2,0,1,18,0,0,0,0,0,Sat,Premier League,Matchweek 28,Home,D 2-2,Bournemouth,Sheffield Utd,FW,0,1,0,33,1,0.9,0.1,0.2,6,0,13,72.2,1,11,0,0,0,Match Report
Y,28,0,89,0,0,0,0,0,3,0,1,20,0,0,1,0,0,Wed,Premier League,Matchweek 17,Home,W 4-3,Bournemouth,Luton Town,FW,0,0,0,31,0,0.4,0.4,0.3,6,2,18,90.0,2,21,2,5,3,Match Report
Y,29,0,84,0,0,1,0,0,1,0,1,11,0,0,1,0,1,Sat,Premier League,Matchweek 30,Home,W 2-1,Bournemouth,Everton,FW,0,0,0,24,0,0.6,0.6,0.0,2,0,8,72.7,1,11,2,5,1,Match Report
