game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sun,Premier League,Matchweek 1,Away,D 1-1,Liverpool,Chelsea,"RM,LW",90,0,0,0,0,1,0,0,0,56,1,1,5,0.0,0.0,0.3,2,0,33,42,78.6,2,27,1,1,0,Match Report
Y,2,Sat,Premier League,Matchweek 2,Home,W 3-1,Liverpool,Bournemouth,"RM,CM",90,0,0,0,0,3,1,0,0,85,1,1,2,0.1,0.1,0.0,7,1,67,72,93.1,4,46,5,6,3,Match Report
Y,3,Sun,Premier League,Matchweek 3,Away,W 2-1,Liverpool,Newcastle Utd,"RM,CM",90,0,0,0,0,2,0,0,0,56,3,0,1,0.1,0.1,0.1,2,0,32,42,76.2,7,22,1,6,3,Match Report
Y,4,Sun,Premier League,Matchweek 4,Home,W 3-0,Liverpool,Aston Villa,"RM,LM",90,1,0,0,0,2,1,0,0,71,0,1,3,0.1,0.1,0.1,7,0,54,60,90.0,2,46,2,3,1,Match Report
Y,5,Sat,Premier League,Matchweek 5,Away,W 3-1,Liverpool,Wolves,"CM,RM",90,0,0,0,0,2,1,0,0,114,2,0,4,0.2,0.2,0.0,4,0,82,102,80.4,14,67,2,1,0,Match Report
Y,6,Sun,Premier League,Matchweek 6,Home,W 3-1,Liverpool,West Ham,RM,90,0,0,0,0,3,0,0,0,101,2,1,0,0.1,0.1,0.1,8,0,84,92,91.3,15,68,1,0,0,Match Report
Y,7,Sat,Premier League,Matchweek 7,Away,L 1-2,Liverpool,Tottenham,"CM,RM",90,0,0,0,0,1,1,0,0,60,1,1,2,0.0,0.0,0.1,3,1,38,49,77.6,5,33,1,4,1,Match Report
Y,8,Sun,Premier League,Matchweek 8,Away,D 2-2,Liverpool,Brighton,RM,90,0,0,0,0,1,0,1,0,49,3,1,0,0.0,0.0,0.9,7,1,33,40,82.5,6,32,0,1,1,Match Report
Y,9,Sat,Premier League,Matchweek 9,Home,W 2-0,Liverpool,Everton,"RM,LM",90,0,0,0,0,5,0,0,0,105,1,0,1,0.1,0.1,0.2,7,1,81,92,88.0,8,58,8,2,1,Match Report
Y,10,Sun,Premier League,Matchweek 10,Home,W 3-0,Liverpool,Nott'ham Forest,RM,90,0,2,0,0,1,1,0,0,100,0,1,1,0.1,0.1,1.7,4,2,81,94,86.2,11,55,6,4,3,Match Report
Y,11,Sun,Premier League,Matchweek 11,Away,D 1-1,Liverpool,Luton Town,LM,65,0,0,0,0,1,0,0,0,54,0,0,0,0.0,0.0,0.0,2,0,35,46,76.1,4,42,2,0,0,Match Report
Y,12,Sun,Premier League,Matchweek 12,Home,W 3-0,Liverpool,Brentford,RM,89,0,0,0,0,2,1,0,0,71,0,0,5,0.1,0.1,0.1,2,0,53,62,85.5,4,47,4,2,0,Match Report
Y,13,Sat,Premier League,Matchweek 13,Away,D 1-1,Liverpool,Manchester City,RM,72,0,0,0,0,1,0,0,0,32,0,0,0,0.0,0.0,0.3,1,0,23,29,79.3,6,19,3,1,0,Match Report
Y,14,Sun,Premier League,Matchweek 14,Home,W 4-3,Liverpool,Fulham,RM,63,0,0,0,0,3,2,0,0,49,0,0,2,0.1,0.1,0.0,3,0,34,42,81.0,4,27,3,0,0,Match Report
Y,15,Wed,Premier League,Matchweek 15,Away,W 2-0,Liverpool,Sheffield Utd,RM,90,1,0,0,0,1,1,0,0,83,4,1,2,0.5,0.5,0.1,4,0,60,74,81.1,5,52,4,4,2,Match Report
Y,16,Sat,Premier League,Matchweek 16,Away,W 2-1,Liverpool,Crystal Palace,RM,73,0,0,0,0,2,0,0,0,62,2,0,2,0.1,0.1,0.0,3,0,47,51,92.2,4,36,2,3,0,Match Report
Y,17,Sun,Premier League,Matchweek 17,Home,D 0-0,Liverpool,Manchester Utd,RM,60,0,0,0,0,1,0,0,0,54,2,1,0,0.0,0.0,0.0,1,0,33,47,70.2,4,33,2,1,1,Match Report
Y,18,Sat,Premier League,Matchweek 18,Home,D 1-1,Liverpool,Arsenal,RM,90,0,0,0,0,2,0,0,0,52,4,1,2,0.1,0.1,0.0,1,0,32,41,78.0,3,32,4,2,2,Match Report
