game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,90,0,0,1,0,0,4,0,1,77,1,0,0,0,1,Sat,Premier League,Matchweek 1,Away,L 1-5,Aston Villa,Newcastle Utd,"DM,CM",0,0,0,87,1,0.2,0.2,0.1,6,1,69,89.6,8,51,0,1,1,Match Report
Y,2,0,63,0,0,0,0,0,0,0,0,43,1,0,1,0,1,Sun,Premier League,Matchweek 2,Home,W 4-0,Aston Villa,Everton,DM,1,1,0,50,1,0.8,0.0,0.1,3,0,41,95.3,4,27,2,1,1,Match Report
Y,3,0,85,0,0,1,0,0,0,0,0,51,0,0,0,0,0,Sun,Premier League,Matchweek 3,Away,W 3-1,Aston Villa,Burnley,CM,0,0,0,57,1,0.0,0.0,0.2,3,0,39,76.5,3,25,4,0,0,Match Report
Y,4,0,71,0,0,3,0,0,0,0,0,43,0,0,0,0,0,Sun,Premier League,Matchweek 4,Away,L 0-3,Aston Villa,Liverpool,CM,0,0,0,48,1,0.0,0.0,0.0,2,0,40,93.0,6,33,1,1,1,Match Report
Y,5,0,90,0,0,6,0,0,0,0,0,69,1,0,1,0,0,Sat,Premier League,Matchweek 5,Home,W 3-1,Aston Villa,Crystal Palace,"DM,CM",1,1,0,84,3,0.8,0.0,0.1,3,1,58,84.1,5,49,1,4,1,Match Report
Y,6,0,90,0,0,2,0,0,2,0,0,63,1,0,0,0,1,Sun,Premier League,Matchweek 6,Away,W 1-0,Aston Villa,Chelsea,"DM,CM",0,0,0,72,1,0.1,0.1,0.0,2,0,47,74.6,7,42,2,1,1,Match Report
Y,7,0,90,0,0,3,0,0,2,0,1,42,0,0,1,0,1,Sat,Premier League,Matchweek 7,Home,W 6-1,Aston Villa,Brighton,DM,0,0,0,50,1,0.1,0.1,0.0,3,1,37,88.1,6,29,2,0,0,Match Report
Y,8,0,90,0,0,2,0,0,6,0,0,58,0,0,0,0,0,Sun,Premier League,Matchweek 8,Away,D 1-1,Aston Villa,Wolves,"CM,DM",0,0,0,72,1,0.3,0.3,0.1,5,0,45,77.6,7,34,1,4,0,Match Report
Y,9,0,90,0,0,3,0,0,2,0,2,80,0,0,2,0,0,Sun,Premier League,Matchweek 9,Home,W 4-1,Aston Villa,West Ham,CM,1,1,0,89,1,0.9,0.1,0.1,6,0,66,82.5,3,56,4,0,0,Match Report
Y,10,0,89,0,0,4,0,0,0,0,0,99,0,0,0,1,0,Sun,Premier League,Matchweek 10,Home,W 3-1,Aston Villa,Luton Town,CM,0,0,0,107,2,0.0,0.0,0.1,3,1,88,88.9,6,76,4,0,0,Match Report
Y,11,0,85,0,0,1,0,0,1,0,0,93,1,0,0,0,0,Sun,Premier League,Matchweek 11,Away,L 0-2,Aston Villa,Nott'ham Forest,CM,0,0,0,101,2,0.0,0.0,0.0,2,0,82,88.2,8,71,3,2,1,Match Report
