game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Sat,Premier League,Matchweek 4,Away,D 2-2,Everton,Sheffield Utd,RM,16,0,0,0,0,1,0,0,0,10,0,1,1,0.0,0.0,0.0,1,0,7,8,87.5,0,10,0,0,0,Match Report
Y,2,Sun,Premier League,Matchweek 5,Home,L 0-1,Everton,Arsenal,LW,87,0,0,0,0,2,0,0,0,18,1,0,1,0.1,0.1,0.0,1,0,10,11,90.9,1,12,0,1,0,Match Report
Y,3,Sat,Premier League,Matchweek 6,Away,W 3-1,Everton,Brentford,LM,90,0,1,0,0,3,1,0,0,60,0,2,3,0.1,0.1,0.2,4,1,38,47,80.9,2,42,5,1,0,Match Report
Y,4,Sat,Premier League,Matchweek 7,Home,L 1-2,Everton,Luton Town,LM,83,0,0,0,0,3,0,0,0,69,2,0,5,0.1,0.1,0.7,7,0,36,51,70.6,4,40,3,5,2,Match Report
Y,5,Sat,Premier League,Matchweek 8,Home,W 3-0,Everton,Bournemouth,LM,90,0,0,0,0,2,1,0,0,53,3,0,2,0.2,0.2,0.8,9,0,21,38,55.3,2,26,8,2,2,Match Report
Y,6,Sat,Premier League,Matchweek 9,Away,L 0-2,Everton,Liverpool,LM,45,0,0,0,0,1,0,0,0,16,0,1,0,0.0,0.0,0.1,3,0,5,11,45.5,0,6,1,3,3,Match Report
Y,7,Sun,Premier League,Matchweek 10,Away,W 1-0,Everton,West Ham,LM,90,0,0,0,0,2,1,0,0,55,5,1,1,0.1,0.1,0.2,3,0,23,38,60.5,5,30,5,3,2,Match Report
Y,8,Sat,Premier League,Matchweek 11,Home,D 1-1,Everton,Brighton,LM,90,0,0,0,0,1,0,0,0,32,3,0,1,0.1,0.1,0.1,2,0,13,22,59.1,2,9,2,2,0,Match Report
Y,9,Sat,Premier League,Matchweek 12,Away,W 3-2,Everton,Crystal Palace,LM,90,0,0,0,0,1,1,0,0,48,3,1,3,0.0,0.0,0.0,1,0,26,35,74.3,2,29,0,2,0,Match Report
Y,10,Sun,Premier League,Matchweek 13,Home,L 0-3,Everton,Manchester Utd,LM,72,0,0,0,0,2,1,0,0,30,1,0,0,0.4,0.4,0.2,1,0,19,26,73.1,3,16,0,0,0,Match Report
Y,11,Sat,Premier League,Matchweek 14,Away,W 1-0,Everton,Nott'ham Forest,LM,90,1,0,0,0,4,1,0,0,69,2,0,3,0.2,0.2,0.0,1,0,23,51,45.1,6,31,2,1,0,Match Report
Y,12,Thu,Premier League,Matchweek 15,Home,W 3-0,Everton,Newcastle Utd,LM,90,1,1,0,0,2,1,0,0,62,1,1,4,0.2,0.2,0.9,4,0,28,45,62.2,1,28,3,1,0,Match Report
Y,13,Sun,Premier League,Matchweek 16,Home,W 2-0,Everton,Chelsea,LM,90,0,0,0,0,1,1,0,0,35,1,1,0,0.1,0.1,0.8,2,0,12,23,52.2,1,19,1,5,1,Match Report
Y,14,Sat,Premier League,Matchweek 17,Away,W 2-0,Everton,Burnley,LB,90,0,1,0,0,2,0,0,0,81,1,1,1,0.1,0.1,0.3,4,1,44,66,66.7,1,40,6,2,1,Match Report
Y,15,Sat,Premier League,Matchweek 18,Away,L 1-2,Everton,Tottenham,"LW,RM",90,0,0,0,0,1,0,0,0,45,0,2,1,0.0,0.0,0.4,7,0,24,37,64.9,9,28,1,3,1,Match Report
Y,16,Wed,Premier League,Matchweek 19,Home,L 1-3,Everton,Manchester City,"LW,RM,LM",90,0,1,0,0,0,0,0,0,39,0,1,4,0.0,0.0,0.6,3,1,17,30,56.7,2,29,0,1,1,Match Report
Y,17,Sat,Premier League,Matchweek 20,Away,L 0-3,Everton,Wolves,"LM,LW",73,0,0,0,0,3,0,1,0,45,0,0,0,0.1,0.1,0.1,1,0,26,36,72.2,5,27,4,2,2,Match Report
