game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sat,Premier League,Matchweek 1,Home,W 2-1,Arsenal,Nott'ham Forest,FW,73,1,0,0,0,3,1,0,0,26,1,0,1,0.2,0.2,0.0,1,0,16,16,100.0,0,14,0,3,0,Match Report
Y,2,Mon,Premier League,Matchweek 2,Away,W 1-0,Arsenal,Crystal Palace,FW,78,0,0,0,0,3,0,0,0,18,0,0,0,0.8,0.8,0.1,6,1,9,12,75.0,1,16,3,4,2,Match Report
N,3,Sat,Premier League,Matchweek 3,Home,D 2-2,Arsenal,Fulham,FW,45,1,0,0,0,4,1,0,0,19,0,0,0,0.4,0.4,0.0,0,0,10,12,83.3,1,10,0,1,0,Match Report
Y,4,Sun,Premier League,Matchweek 4,Home,W 3-1,Arsenal,Manchester Utd,FW,75,0,0,0,0,1,0,0,0,35,0,1,1,0.0,0.0,0.1,7,1,19,23,82.6,3,24,1,3,1,Match Report
Y,5,Sun,Premier League,Matchweek 5,Away,W 1-0,Arsenal,Everton,FW,65,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,5,7,71.4,1,7,0,0,0,Match Report
Y,6,Sun,Premier League,Matchweek 6,Home,D 2-2,Arsenal,Tottenham,FW,90,0,0,0,0,1,1,1,0,22,2,1,1,0.1,0.1,0.0,1,0,6,8,75.0,0,11,0,2,0,Match Report
Y,7,Sat,Premier League,Matchweek 7,Away,W 4-0,Arsenal,Bournemouth,FW,68,0,0,0,0,2,0,0,0,27,0,1,0,0.1,0.1,0.0,3,1,16,16,100.0,3,21,5,6,4,Match Report
Y,8,Sun,Premier League,Matchweek 8,Home,W 1-0,Arsenal,Manchester City,FW,74,0,0,0,0,3,0,0,0,18,1,0,2,0.1,0.1,0.0,1,0,5,9,55.6,0,9,2,1,0,Match Report
N,9,Sat,Premier League,Matchweek 9,Away,D 2-2,Arsenal,Chelsea,FW,23,0,0,0,0,2,1,1,0,10,2,0,0,0.1,0.1,0.0,0,0,2,3,66.7,0,5,0,1,0,Match Report
Y,10,Sat,Premier League,Matchweek 10,Home,W 5-0,Arsenal,Sheffield Utd,FW,90,3,0,0,0,4,3,0,0,32,0,0,3,1.0,1.0,0.0,3,3,14,20,70.0,1,23,2,1,1,Match Report
Y,11,Sat,Premier League,Matchweek 11,Away,L 0-1,Arsenal,Newcastle Utd,FW,78,0,0,0,0,1,0,0,0,28,0,0,3,0.1,0.1,0.0,1,0,14,16,87.5,1,14,0,2,0,Match Report
N,12,Sat,Premier League,Matchweek 12,Home,W 3-1,Arsenal,Burnley,FW,10,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,Match Report
N,13,Sat,Premier League,Matchweek 13,Away,W 1-0,Arsenal,Brentford,FW,25,0,0,0,0,1,1,0,0,11,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,9,1,0,0,Match Report
N,14,Sat,Premier League,Matchweek 14,Home,W 2-1,Arsenal,Wolves,FW,24,0,0,0,0,1,0,0,0,10,0,0,0,0.5,0.5,0.0,0,0,6,7,85.7,0,3,0,0,0,Match Report
N,15,Sat,Premier League,Matchweek 16,Away,L 0-1,Arsenal,Aston Villa,FW,10,0,0,0,0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,4,1,0,0,Match Report
N,16,Sun,Premier League,Matchweek 17,Home,W 2-0,Arsenal,Brighton,FW,10,0,1,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.3,1,1,3,3,100.0,2,3,1,0,0,Match Report
N,17,Sat,Premier League,Matchweek 18,Away,D 1-1,Arsenal,Liverpool,FW,13,0,0,0,0,0,0,1,0,6,2,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,6,0,0,0,Match Report
N,18,Thu,Premier League,Matchweek 19,Home,L 0-2,Arsenal,West Ham,FW,27,0,0,0,0,2,1,0,0,13,0,0,0,0.2,0.2,0.0,0,0,5,8,62.5,0,10,1,1,0,Match Report
Y,19,Sun,Premier League,Matchweek 20,Away,L 1-2,Arsenal,Fulham,FW,90,0,0,0,0,2,1,0,0,20,1,1,0,0.1,0.1,0.0,0,0,7,11,63.6,2,10,1,2,0,Match Report
N,20,Sat,Premier League,Matchweek 21,Home,W 5-0,Arsenal,Crystal Palace,FW,10,0,1,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.2,1,1,2,2,100.0,1,4,1,0,0,Match Report
N,21,Tue,Premier League,Matchweek 22,Away,W 2-1,Arsenal,Nott'ham Forest,FW,13,0,0,0,0,1,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,2,3,66.7,1,2,0,0,0,Match Report
N,22,Sun,Premier League,Matchweek 24,Away,W 6-0,Arsenal,West Ham,FW,24,0,0,0,0,1,1,0,0,11,0,0,0,0.1,0.1,0.0,0,0,8,8,100.0,0,7,2,1,0,Match Report
N,23,Sat,Premier League,Matchweek 25,Away,W 5-0,Arsenal,Burnley,FW,22,0,0,0,0,2,0,0,0,14,0,0,0,0.2,0.2,0.0,0,0,6,9,66.7,2,9,0,1,0,Match Report
N,24,Sat,Premier League,Matchweek 26,Home,W 4-1,Arsenal,Newcastle Utd,FW,15,0,0,0,0,0,0,0,0,9,2,0,0,0.0,0.0,0.1,0,0,2,4,50.0,0,2,0,0,0,Match Report
N,25,Wed,Premier League,Matchweek 31,Home,W 2-0,Arsenal,Luton Town,FW,24,0,0,0,0,1,1,0,0,7,0,0,0,0.0,0.0,0.0,1,0,3,3,100.0,1,8,1,1,0,Match Report
N,26,Sat,Premier League,Matchweek 32,Away,W 3-0,Arsenal,Brighton,FW,2,0,0,0,0,1,0,0,0,3,0,0,0,0.1,0.1,0.0,0,0,0,1,0.0,0,2,0,0,0,Match Report
N,27,Sun,Premier League,Matchweek 33,Home,L 0-2,Arsenal,Aston Villa,"FW,LB",4,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,2,0,0,0,Match Report
