game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,90,0,0,3,0,0,0,0,0,19,2,0,0,0,0,Sun,Premier League,Matchweek 1,Home,D 2-2,Brentford,Tottenham,CB,0,0,0,33,0,0.0,0.0,0.0,0,0,14,73.7,0,9,0,0,0,Match Report
Y,2,0,90,0,0,0,0,0,1,0,0,57,2,0,0,0,0,Sat,Premier League,Matchweek 2,Away,W 3-0,Brentford,Fulham,CB,0,0,0,70,4,0.0,0.0,0.8,2,0,49,86.0,3,40,0,2,1,Match Report
Y,3,0,90,0,0,1,0,0,1,0,0,81,2,0,0,0,0,Sat,Premier League,Matchweek 3,Home,D 1-1,Brentford,Crystal Palace,CB,0,0,0,89,2,0.2,0.2,0.0,0,0,70,86.4,3,55,0,0,0,Match Report
Y,4,0,90,0,0,2,0,0,1,0,0,67,1,0,0,0,0,Sat,Premier League,Matchweek 4,Home,D 2-2,Brentford,Bournemouth,CB,0,0,0,78,1,0.3,0.3,0.0,4,1,61,91.0,3,27,0,0,0,Match Report
Y,5,0,90,0,0,3,0,0,0,0,0,31,1,0,0,0,0,Sat,Premier League,Matchweek 5,Away,L 0-1,Brentford,Newcastle Utd,CB,0,0,0,49,2,0.0,0.0,0.1,0,0,23,74.2,2,18,0,0,0,Match Report
Y,6,0,90,0,0,1,0,0,1,0,0,93,3,0,0,0,0,Sat,Premier League,Matchweek 6,Home,L 1-3,Brentford,Everton,CB,0,0,0,106,1,0.2,0.2,0.0,2,0,79,84.9,3,68,0,0,0,Match Report
Y,7,0,90,0,0,0,0,0,2,0,1,88,1,0,0,0,0,Sun,Premier League,Matchweek 7,Away,D 1-1,Brentford,Nott'ham Forest,"CB,LB",0,0,0,95,1,0.1,0.1,0.0,2,0,80,90.9,10,68,4,0,0,Match Report
Y,8,0,90,0,0,2,0,0,0,0,0,35,3,0,0,0,0,Sat,Premier League,Matchweek 8,Away,L 1-2,Brentford,Manchester Utd,CB,0,0,0,61,3,0.0,0.0,0.0,0,0,27,77.1,1,16,0,0,0,Match Report
Y,9,0,90,0,0,1,0,0,0,0,0,50,1,0,0,0,0,Sat,Premier League,Matchweek 9,Home,W 3-0,Brentford,Burnley,CB,0,0,0,54,0,0.0,0.0,0.0,3,0,43,86.0,3,27,0,1,1,Match Report
Y,10,0,90,0,0,2,0,0,1,0,1,33,0,0,1,0,0,Sat,Premier League,Matchweek 10,Away,W 2-0,Brentford,Chelsea,CB,0,0,0,44,1,0.2,0.2,0.0,0,0,28,84.8,1,22,0,1,1,Match Report
Y,11,0,90,0,0,0,0,0,0,0,0,78,1,0,0,0,0,Sat,Premier League,Matchweek 11,Home,W 3-2,Brentford,West Ham,CB,0,0,0,84,0,0.0,0.0,0.0,0,0,62,79.5,5,44,2,1,0,Match Report
Y,12,0,90,0,0,1,0,0,2,0,1,46,3,0,0,0,0,Sun,Premier League,Matchweek 12,Away,L 0-3,Brentford,Liverpool,CB,0,0,0,62,2,0.3,0.3,0.0,2,0,39,84.8,2,33,0,1,1,Match Report
Y,13,0,90,0,0,0,0,0,0,0,0,42,2,0,0,0,0,Sat,Premier League,Matchweek 13,Home,L 0-1,Brentford,Arsenal,CB,0,0,0,58,2,0.0,0.0,0.0,2,0,29,69.0,2,26,0,0,0,Match Report
Y,14,0,90,0,0,1,0,0,1,0,0,86,1,0,0,0,0,Sat,Premier League,Matchweek 14,Home,W 3-1,Brentford,Luton Town,CB,0,0,0,95,2,0.1,0.1,0.0,1,0,83,96.5,3,63,1,0,0,Match Report
Y,15,0,90,0,0,5,0,0,1,0,0,59,2,0,0,0,0,Wed,Premier League,Matchweek 15,Away,L 1-2,Brentford,Brighton,CB,0,0,0,74,1,0.1,0.1,0.0,0,0,51,86.4,1,40,0,0,0,Match Report
Y,16,0,90,0,0,3,0,0,1,0,0,74,3,0,0,0,0,Sat,Premier League,Matchweek 16,Away,L 0-1,Brentford,Sheffield Utd,CB,0,0,0,86,0,0.1,0.1,0.0,2,0,58,78.4,2,50,1,0,0,Match Report
Y,17,0,90,0,0,1,0,0,0,0,0,23,4,0,0,0,0,Sun,Premier League,Matchweek 17,Home,L 1-2,Brentford,Aston Villa,CB,0,0,0,34,2,0.0,0.0,0.0,0,0,17,73.9,0,13,0,1,1,Match Report
Y,18,0,90,0,0,0,0,0,1,0,0,75,1,0,0,0,0,Wed,Premier League,Matchweek 19,Home,L 1-4,Brentford,Wolves,CB,0,0,0,83,0,0.0,0.0,0.1,3,0,64,85.3,4,39,0,2,1,Match Report
Y,19,0,90,0,0,1,0,0,0,0,0,44,1,0,0,0,0,Sat,Premier League,Matchweek 20,Away,L 1-3,Brentford,Crystal Palace,CB,0,0,0,54,2,0.0,0.0,0.0,0,0,34,77.3,1,23,0,0,0,Match Report
Y,20,0,90,0,0,2,0,0,0,0,0,50,1,0,0,0,0,Sat,Premier League,Matchweek 21,Home,W 3-2,Brentford,Nott'ham Forest,CB,0,0,0,61,1,0.0,0.0,0.0,0,0,39,78.0,1,26,0,0,0,Match Report
Y,21,0,90,0,0,1,0,0,1,0,0,25,1,0,0,0,0,Wed,Premier League,Matchweek 22,Away,L 2-3,Brentford,Tottenham,CB,0,0,0,40,4,0.1,0.1,0.0,0,0,17,68.0,2,19,1,0,0,Match Report
