game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,90,0,0,5,0,0,0,0,0,48,0,0,0,0,0,Sat,Premier League,Matchweek 1,Away,L 1-5,Aston Villa,Newcastle Utd,CB,0,0,0,57,0,0.0,0.0,0.0,1,0,44,91.7,3,34,0,2,1,Match Report
Y,2,0,90,0,0,1,0,0,0,0,0,70,0,0,0,0,0,Sun,Premier League,Matchweek 2,Home,W 4-0,Aston Villa,Everton,CB,0,0,0,77,0,0.0,0.0,0.0,0,0,67,95.7,0,56,0,0,0,Match Report
Y,3,0,90,0,0,4,0,0,0,0,0,52,1,0,0,0,0,Sun,Premier League,Matchweek 3,Away,W 3-1,Aston Villa,Burnley,CB,0,0,0,64,1,0.0,0.0,0.0,0,0,46,88.5,2,25,1,1,1,Match Report
Y,4,0,90,0,0,0,0,0,0,0,0,55,2,0,0,0,0,Sun,Premier League,Matchweek 4,Away,L 0-3,Aston Villa,Liverpool,"CB,RB",0,0,0,63,3,0.0,0.0,0.0,0,0,52,94.5,3,38,0,1,0,Match Report
Y,5,0,90,0,0,3,0,0,0,0,0,85,1,0,0,0,0,Sat,Premier League,Matchweek 5,Home,W 3-1,Aston Villa,Crystal Palace,CB,0,0,0,95,3,0.0,0.0,0.0,0,0,80,94.1,2,59,0,0,0,Match Report
Y,6,0,90,0,0,1,0,0,1,0,0,38,1,0,0,0,0,Sun,Premier League,Matchweek 6,Away,W 1-0,Aston Villa,Chelsea,CB,0,0,0,52,2,0.2,0.2,0.0,0,0,37,97.4,3,32,1,1,0,Match Report
Y,7,0,90,0,0,0,0,0,0,0,0,36,0,0,0,0,1,Sat,Premier League,Matchweek 7,Home,W 6-1,Aston Villa,Brighton,CB,0,0,0,46,2,0.0,0.0,0.0,0,0,31,86.1,2,34,0,3,0,Match Report
Y,8,0,90,0,0,0,0,0,2,0,1,45,1,0,0,0,0,Sun,Premier League,Matchweek 8,Away,D 1-1,Aston Villa,Wolves,RB,0,0,0,53,2,0.2,0.2,0.0,3,0,36,80.0,3,26,2,1,0,Match Report
Y,9,0,90,0,0,1,0,0,2,0,1,59,1,0,0,0,0,Sun,Premier League,Matchweek 9,Home,W 4-1,Aston Villa,West Ham,CB,0,0,0,66,2,0.1,0.1,0.0,2,2,56,94.9,0,55,0,2,2,Match Report
Y,10,0,90,0,0,0,0,0,1,0,0,106,1,0,0,0,0,Sun,Premier League,Matchweek 10,Home,W 3-1,Aston Villa,Luton Town,"CB,RB",0,0,0,110,1,0.1,0.1,0.0,2,0,100,94.3,5,97,0,0,0,Match Report
Y,11,0,90,0,0,1,0,0,0,0,0,80,2,0,0,0,0,Sun,Premier League,Matchweek 11,Away,L 0-2,Aston Villa,Nott'ham Forest,"CB,RB",0,0,0,84,1,0.0,0.0,0.0,0,0,75,93.8,10,66,1,2,2,Match Report
Y,12,0,90,0,0,1,0,0,0,0,0,72,1,0,0,0,1,Sun,Premier League,Matchweek 12,Home,W 3-1,Aston Villa,Fulham,CB,0,0,0,78,0,0.0,0.0,0.0,0,0,68,94.4,1,56,0,1,0,Match Report
Y,13,0,90,0,0,2,0,0,0,0,0,39,0,0,0,0,0,Sun,Premier League,Matchweek 13,Away,W 2-1,Aston Villa,Tottenham,RB,0,0,0,51,0,0.0,0.0,0.0,0,0,34,87.2,3,27,0,0,0,Match Report
Y,14,0,73,0,0,5,0,0,0,0,0,33,1,0,0,0,0,Sun,Premier League,Matchweek 14,Away,D 2-2,Aston Villa,Bournemouth,RB,0,0,0,45,2,0.0,0.0,0.0,1,0,28,84.8,2,19,2,2,2,Match Report
Y,15,0,90,0,0,3,0,0,1,0,0,59,1,0,0,0,0,Wed,Premier League,Matchweek 15,Home,W 1-0,Aston Villa,Manchester City,RB,0,0,0,69,1,0.7,0.7,0.0,2,0,54,91.5,2,33,2,1,1,Match Report
Y,16,0,65,0,0,2,0,0,0,0,0,30,4,0,0,0,0,Sat,Premier League,Matchweek 16,Home,W 1-0,Aston Villa,Arsenal,RB,0,0,0,36,0,0.0,0.0,0.0,0,0,26,86.7,0,19,0,0,0,Match Report
Y,17,0,90,0,0,0,0,0,1,0,0,98,1,0,0,0,1,Sun,Premier League,Matchweek 17,Away,W 2-1,Aston Villa,Brentford,CB,0,0,0,100,0,0.0,0.0,0.0,1,0,92,93.9,15,56,3,2,1,Match Report
Y,18,0,90,0,0,0,0,0,1,0,0,101,2,0,0,0,0,Fri,Premier League,Matchweek 18,Home,D 1-1,Aston Villa,Sheffield Utd,CB,0,0,0,105,0,0.1,0.1,0.0,0,0,96,95.0,8,77,3,0,0,Match Report
Y,19,0,90,0,0,3,0,0,1,0,0,87,0,0,0,0,1,Tue,Premier League,Matchweek 19,Away,L 2-3,Aston Villa,Manchester Utd,RB,0,0,0,98,1,0.1,0.1,0.0,3,1,66,75.9,6,63,5,4,3,Match Report
Y,20,0,90,0,0,1,0,0,0,0,0,78,1,0,0,0,1,Sat,Premier League,Matchweek 20,Home,W 3-2,Aston Villa,Burnley,RB,0,0,0,87,0,0.0,0.0,0.3,4,1,71,91.0,12,51,4,1,1,Match Report
Y,21,0,90,0,0,0,0,0,0,0,0,73,1,0,0,0,0,Sun,Premier League,Matchweek 21,Away,D 0-0,Aston Villa,Everton,"RB,CB",0,0,0,79,2,0.0,0.0,0.0,1,0,67,91.8,5,47,0,1,1,Match Report
Y,22,0,90,0,0,0,0,0,0,0,0,75,0,0,0,0,0,Tue,Premier League,Matchweek 22,Home,L 1-3,Aston Villa,Newcastle Utd,CB,0,0,0,79,1,0.0,0.0,0.0,1,0,70,93.3,4,65,1,1,1,Match Report
Y,23,0,58,0,0,1,0,0,1,0,1,67,0,0,0,0,0,Sat,Premier League,Matchweek 23,Away,W 5-0,Aston Villa,Sheffield Utd,RB,0,0,0,70,1,0.1,0.1,0.0,2,0,65,97.0,6,49,1,1,1,Match Report
Y,24,0,90,0,0,2,0,0,0,0,0,39,0,0,0,0,0,Sat,Premier League,Matchweek 27,Away,W 3-2,Aston Villa,Luton Town,CB,0,0,0,47,0,0.0,0.0,0.0,0,0,39,100.0,0,34,0,0,0,Match Report
Y,25,0,84,0,0,1,0,0,1,0,0,42,3,0,0,0,0,Sun,Premier League,Matchweek 28,Home,L 0-4,Aston Villa,Tottenham,CB,0,0,0,47,0,0.1,0.1,0.0,1,0,37,88.1,1,35,0,2,1,Match Report
Y,26,0,90,0,0,1,0,0,1,0,1,77,0,0,0,0,0,Sun,Premier League,Matchweek 29,Away,D 1-1,Aston Villa,West Ham,"CB,RB",0,0,0,86,0,0.1,0.1,0.0,1,0,74,96.1,4,61,1,0,0,Match Report
Y,27,0,90,0,0,1,0,0,2,0,1,38,1,0,1,0,0,Sat,Premier League,Matchweek 30,Home,W 2-0,Aston Villa,Wolves,"RB,CB",0,0,0,48,1,0.1,0.1,0.0,0,0,36,94.7,9,33,5,1,0,Match Report
Y,28,0,90,0,0,1,0,0,0,0,0,34,1,0,0,0,0,Wed,Premier League,Matchweek 31,Away,L 1-4,Aston Villa,Manchester City,RB,0,0,0,41,3,0.0,0.0,0.0,0,0,32,94.1,1,23,0,0,0,Match Report
Y,29,0,90,0,0,1,0,0,2,0,0,94,0,0,0,0,0,Sat,Premier League,Matchweek 32,Home,D 3-3,Aston Villa,Brentford,RB,0,0,0,102,1,0.2,0.2,0.1,6,2,85,90.4,10,72,1,0,0,Match Report
Y,30,0,90,0,0,0,0,0,0,0,0,40,0,0,0,0,0,Sun,Premier League,Matchweek 33,Away,W 2-0,Aston Villa,Arsenal,RB,0,0,0,44,1,0.0,0.0,0.0,0,0,35,87.5,1,32,1,1,0,Match Report
Y,31,0,90,0,0,3,0,0,0,0,0,65,0,0,0,0,0,Sun,Premier League,Matchweek 34,Home,W 3-1,Aston Villa,Bournemouth,CB,0,0,0,73,4,0.0,0.0,0.0,0,0,59,90.8,3,43,0,0,0,Match Report
Y,32,0,90,0,0,0,0,0,1,0,0,22,0,0,0,0,0,Sat,Premier League,Matchweek 35,Home,D 2-2,Aston Villa,Chelsea,CB,0,0,0,27,0,0.0,0.0,0.0,1,0,17,77.3,1,11,0,0,0,Match Report
Y,33,0,89,0,0,3,0,0,0,0,0,49,0,0,0,0,0,Sun,Premier League,Matchweek 36,Away,L 0-1,Aston Villa,Brighton,RB,0,0,0,53,1,0.0,0.0,0.0,0,0,41,83.7,5,38,1,0,0,Match Report
Y,34,0,90,0,0,6,0,0,0,0,0,43,1,0,0,0,0,Mon,Premier League,Matchweek 37,Home,D 3-3,Aston Villa,Liverpool,RB,0,0,0,56,0,0.0,0.0,0.0,1,0,38,88.4,4,30,0,1,0,Match Report
Y,35,0,90,0,0,1,0,0,1,0,0,65,0,0,0,0,0,Sun,Premier League,Matchweek 38,Away,L 0-5,Aston Villa,Crystal Palace,RB,0,0,0,71,0,0.1,0.1,0.0,1,0,53,81.5,0,39,2,2,1,Match Report
