game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Sat,Premier League,Matchweek 3,Home,D 2-2,Arsenal,Fulham,CM,1,0,0,0,0,1,1,0,0,5,0,0,0,0.1,0.1,0.0,1,0,1,2,50.0,0,1,0,1,0,Match Report
N,2,Sun,Premier League,Matchweek 4,Home,W 3-1,Arsenal,Manchester Utd,FW,15,1,0,0,0,1,1,1,0,9,0,0,0,0.8,0.8,0.0,2,1,6,6,100.0,1,5,2,3,3,Match Report
N,3,Sun,Premier League,Matchweek 5,Away,W 1-0,Arsenal,Everton,FW,25,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,0,0,2,5,40.0,0,11,0,1,1,Match Report
Y,4,Sun,Premier League,Matchweek 6,Home,D 2-2,Arsenal,Tottenham,LW,76,0,0,0,0,2,1,0,0,35,3,1,4,0.5,0.5,0.0,1,0,13,18,72.2,2,28,1,4,3,Match Report
Y,5,Sat,Premier League,Matchweek 7,Away,W 4-0,Arsenal,Bournemouth,"LW,FW",90,0,0,0,0,2,0,0,0,54,1,1,0,0.1,0.1,0.2,5,1,33,42,78.6,5,44,2,4,3,Match Report
Y,6,Sun,Premier League,Matchweek 8,Home,W 1-0,Arsenal,Manchester City,RW,90,0,0,0,0,1,0,1,0,69,4,1,3,0.0,0.0,0.0,3,0,31,48,64.6,2,47,5,10,3,Match Report
Y,7,Sat,Premier League,Matchweek 9,Away,D 2-2,Arsenal,Chelsea,FW,67,0,0,0,0,3,0,0,0,21,1,1,1,0.3,0.3,0.0,1,0,10,14,71.4,1,13,1,2,0,Match Report
Y,8,Sat,Premier League,Matchweek 13,Away,W 1-0,Arsenal,Brentford,FW,65,0,0,0,0,4,2,0,0,26,1,0,0,0.6,0.6,0.0,0,0,12,15,80.0,2,20,1,0,0,Match Report
Y,9,Sat,Premier League,Matchweek 14,Home,W 2-1,Arsenal,Wolves,FW,66,0,0,0,0,2,1,0,0,18,0,0,0,0.5,0.5,0.1,2,1,10,11,90.9,2,14,2,1,0,Match Report
Y,10,Tue,Premier League,Matchweek 15,Away,W 4-3,Arsenal,Luton Town,FW,90,1,1,0,0,3,3,1,0,49,1,1,0,0.6,0.6,0.6,9,2,31,37,83.8,2,25,3,4,2,Match Report
Y,11,Sat,Premier League,Matchweek 16,Away,L 0-1,Arsenal,Aston Villa,FW,80,0,0,0,0,1,1,0,0,37,3,0,3,0.0,0.0,0.2,1,0,16,20,80.0,2,25,0,5,2,Match Report
Y,12,Sun,Premier League,Matchweek 17,Home,W 2-0,Arsenal,Brighton,FW,80,1,0,0,0,4,2,0,0,46,0,0,0,0.5,0.5,0.0,3,0,36,37,97.3,4,32,1,1,1,Match Report
Y,13,Sat,Premier League,Matchweek 18,Away,D 1-1,Arsenal,Liverpool,FW,77,0,0,0,0,4,1,0,0,31,1,1,2,0.2,0.2,0.0,2,0,12,14,85.7,2,13,0,2,0,Match Report
Y,14,Thu,Premier League,Matchweek 19,Home,L 0-2,Arsenal,West Ham,FW,90,0,0,0,0,3,1,1,0,56,2,1,1,0.5,0.5,0.3,3,0,36,39,92.3,3,39,3,1,0,Match Report
N,15,Sun,Premier League,Matchweek 20,Away,L 1-2,Arsenal,Fulham,FW,24,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.0,0,0,4,6,66.7,0,6,0,1,0,Match Report
Y,16,Sat,Premier League,Matchweek 21,Home,W 5-0,Arsenal,Crystal Palace,FW,80,0,1,0,0,3,0,0,0,32,1,0,1,0.1,0.1,1.1,6,1,16,25,64.0,3,19,4,5,4,Match Report
Y,17,Tue,Premier League,Matchweek 22,Away,W 2-1,Arsenal,Nott'ham Forest,FW,77,1,1,0,0,6,2,1,0,58,0,0,1,0.4,0.4,0.1,3,0,27,38,71.1,3,30,3,5,3,Match Report
N,18,Mon,Premier League,Matchweek 27,Away,W 6-0,Arsenal,Sheffield Utd,"FW,LW",27,0,0,0,0,1,1,0,0,20,0,0,0,0.1,0.1,0.0,0,0,15,17,88.2,1,14,0,1,1,Match Report
N,19,Sat,Premier League,Matchweek 28,Home,W 2-1,Arsenal,Brentford,FW,21,0,0,0,0,0,0,0,0,14,0,1,0,0.0,0.0,0.0,0,0,5,5,100.0,1,9,0,4,1,Match Report
Y,20,Sun,Premier League,Matchweek 30,Away,D 0-0,Arsenal,Manchester City,LW,71,0,0,0,0,3,0,1,0,26,1,2,2,0.2,0.2,0.3,4,0,8,11,72.7,0,12,2,4,3,Match Report
Y,21,Sat,Premier League,Matchweek 32,Away,W 3-0,Arsenal,Brighton,LW,63,0,0,0,0,4,1,0,0,39,1,0,3,0.4,0.4,0.0,2,1,19,24,79.2,0,18,3,7,1,Match Report
Y,22,Sun,Premier League,Matchweek 33,Home,L 0-2,Arsenal,Aston Villa,FW,78,0,0,0,0,3,1,0,0,30,1,0,1,0.2,0.2,0.5,4,0,13,15,86.7,3,10,1,3,2,Match Report
