game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Sat,Premier League,Matchweek 1,Home,W 2-1,Arsenal,Nott'ham Forest,CB,5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0,Match Report
N,2,Mon,Premier League,Matchweek 2,Away,W 1-0,Arsenal,Crystal Palace,CB,21,0,0,0,0,0,0,0,0,9,1,0,2,0.0,0.0,0.0,0,0,3,5,60.0,0,3,0,0,0,Match Report
Y,3,Sun,Premier League,Matchweek 4,Home,W 3-1,Arsenal,Manchester Utd,CB,90,0,0,0,0,0,0,0,0,71,2,2,2,0.0,0.0,0.0,1,0,52,60,86.7,5,49,0,1,0,Match Report
Y,4,Sun,Premier League,Matchweek 5,Away,W 1-0,Arsenal,Everton,CB,90,0,0,0,0,0,0,1,0,106,0,0,2,0.0,0.0,0.0,0,0,90,101,89.1,6,80,0,0,0,Match Report
Y,5,Sun,Premier League,Matchweek 6,Home,D 2-2,Arsenal,Tottenham,CB,90,0,0,0,0,1,0,0,0,50,0,3,0,0.1,0.1,0.0,0,0,40,46,87.0,1,31,0,0,0,Match Report
Y,6,Sat,Premier League,Matchweek 7,Away,W 4-0,Arsenal,Bournemouth,CB,90,0,0,0,0,0,0,0,0,74,3,0,2,0.0,0.0,0.0,0,0,60,65,92.3,0,47,0,0,0,Match Report
Y,7,Sun,Premier League,Matchweek 8,Home,W 1-0,Arsenal,Manchester City,CB,90,0,0,0,0,0,0,0,0,64,1,3,1,0.0,0.0,0.0,2,0,54,59,91.5,5,47,1,0,0,Match Report
Y,8,Sat,Premier League,Matchweek 9,Away,D 2-2,Arsenal,Chelsea,CB,90,0,0,0,0,2,0,0,0,85,2,2,0,0.1,0.1,0.0,0,0,71,78,91.0,5,54,0,1,0,Match Report
Y,9,Sat,Premier League,Matchweek 11,Away,L 0-1,Arsenal,Newcastle Utd,CB,90,0,0,0,0,0,0,0,0,52,1,1,2,0.0,0.0,0.0,0,0,35,44,79.5,3,26,2,1,0,Match Report
Y,10,Sat,Premier League,Matchweek 12,Home,W 3-1,Arsenal,Burnley,CB,90,0,0,0,0,3,0,0,0,69,2,0,0,0.2,0.2,0.0,2,1,53,61,86.9,5,47,1,0,0,Match Report
Y,11,Sat,Premier League,Matchweek 13,Away,W 1-0,Arsenal,Brentford,CB,90,0,0,0,0,1,0,0,0,56,0,0,2,0.1,0.1,0.0,1,0,37,49,75.5,3,26,0,1,1,Match Report
Y,12,Sat,Premier League,Matchweek 14,Home,W 2-1,Arsenal,Wolves,CB,90,0,0,0,0,2,0,0,0,70,1,0,1,0.4,0.4,0.4,1,0,52,61,85.2,2,40,1,0,0,Match Report
Y,13,Tue,Premier League,Matchweek 15,Away,W 4-3,Arsenal,Luton Town,CB,90,0,0,0,0,0,0,0,0,73,1,1,2,0.0,0.0,0.0,1,0,60,68,88.2,1,42,1,0,0,Match Report
Y,14,Sat,Premier League,Matchweek 16,Away,L 0-1,Arsenal,Aston Villa,CB,90,0,0,0,0,0,0,0,0,66,2,0,2,0.0,0.0,0.2,2,0,46,56,82.1,6,34,1,0,0,Match Report
Y,15,Sun,Premier League,Matchweek 17,Home,W 2-0,Arsenal,Brighton,CB,90,0,0,0,0,1,1,0,0,53,1,1,0,0.1,0.1,0.0,1,0,42,49,85.7,1,31,0,0,0,Match Report
Y,16,Sat,Premier League,Matchweek 18,Away,D 1-1,Arsenal,Liverpool,CB,90,1,0,0,0,1,1,0,0,44,1,0,1,0.1,0.1,0.0,0,0,22,32,68.8,2,17,0,0,0,Match Report
Y,17,Thu,Premier League,Matchweek 19,Home,L 0-2,Arsenal,West Ham,CB,90,0,0,0,0,1,0,0,0,105,1,2,1,0.2,0.2,0.0,1,0,84,95,88.4,12,66,1,0,0,Match Report
Y,18,Sun,Premier League,Matchweek 20,Away,L 1-2,Arsenal,Fulham,CB,90,0,0,0,0,0,0,0,0,113,3,2,5,0.0,0.0,0.0,2,0,88,97,90.7,8,75,1,0,0,Match Report
Y,19,Sat,Premier League,Matchweek 21,Home,W 5-0,Arsenal,Crystal Palace,CB,80,2,0,0,0,3,2,0,0,65,0,0,3,1.0,1.0,0.0,0,0,44,50,88.0,3,42,0,0,0,Match Report
Y,20,Tue,Premier League,Matchweek 22,Away,W 2-1,Arsenal,Nott'ham Forest,CB,90,0,0,0,0,0,0,0,0,106,0,0,1,0.0,0.0,0.0,0,0,97,101,96.0,7,72,2,0,0,Match Report
Y,21,Sun,Premier League,Matchweek 23,Home,W 3-1,Arsenal,Liverpool,CB,90,0,0,0,0,2,1,1,0,61,3,2,0,0.1,0.1,0.0,0,0,43,48,89.6,5,27,0,0,0,Match Report
Y,22,Sun,Premier League,Matchweek 24,Away,W 6-0,Arsenal,West Ham,CB,90,1,0,0,0,2,2,0,0,81,2,0,2,0.4,0.4,0.0,1,0,64,70,91.4,2,43,0,0,0,Match Report
Y,23,Sat,Premier League,Matchweek 25,Away,W 5-0,Arsenal,Burnley,CB,90,0,0,0,0,1,1,0,0,98,2,1,3,0.0,0.0,0.0,0,0,85,90,94.4,1,76,0,0,0,Match Report
Y,24,Sat,Premier League,Matchweek 26,Home,W 4-1,Arsenal,Newcastle Utd,CB,90,0,0,0,0,1,1,0,0,83,2,2,0,0.2,0.2,0.0,0,0,67,75,89.3,5,46,0,0,0,Match Report
Y,25,Mon,Premier League,Matchweek 27,Away,W 6-0,Arsenal,Sheffield Utd,CB,90,0,0,0,0,0,0,0,0,148,1,0,0,0.0,0.0,0.0,1,0,139,145,95.9,4,81,0,0,0,Match Report
Y,26,Sat,Premier League,Matchweek 28,Home,W 2-1,Arsenal,Brentford,CB,90,0,0,0,0,2,0,1,0,73,2,0,1,0.3,0.3,0.0,2,0,56,62,90.3,5,36,1,0,0,Match Report
Y,27,Sun,Premier League,Matchweek 30,Away,D 0-0,Arsenal,Manchester City,CB,90,0,0,0,0,0,0,0,0,33,1,1,1,0.0,0.0,0.0,0,0,22,26,84.6,0,18,1,0,0,Match Report
Y,28,Wed,Premier League,Matchweek 31,Home,W 2-0,Arsenal,Luton Town,CB,90,0,0,0,0,0,0,0,0,79,2,1,1,0.0,0.0,0.0,1,0,60,69,87.0,1,57,0,0,0,Match Report
Y,29,Sat,Premier League,Matchweek 32,Away,W 3-0,Arsenal,Brighton,CB,90,0,0,0,0,5,1,0,0,70,1,0,1,0.7,0.7,0.0,1,1,42,57,73.7,2,27,0,0,0,Match Report
Y,30,Sun,Premier League,Matchweek 33,Home,L 0-2,Arsenal,Aston Villa,CB,90,0,0,0,0,0,0,1,0,56,0,0,2,0.0,0.0,0.0,1,0,43,47,91.5,3,31,0,0,0,Match Report
Y,31,Sat,Premier League,Matchweek 34,Away,W 2-0,Arsenal,Wolves,CB,90,0,0,0,0,0,0,0,0,61,3,0,0,0.0,0.0,0.0,0,0,50,57,87.7,1,31,0,0,0,Match Report
Y,32,Tue,Premier League,Matchweek 29,Home,W 5-0,Arsenal,Chelsea,CB,90,0,0,0,0,0,0,0,0,59,3,2,0,0.0,0.0,0.0,1,1,45,47,95.7,3,28,0,0,0,Match Report
Y,33,Sun,Premier League,Matchweek 35,Away,W 3-2,Arsenal,Tottenham,CB,90,0,0,0,0,0,0,0,0,53,1,2,0,0.0,0.0,0.0,0,0,40,46,87.0,3,18,0,0,0,Match Report
Y,34,Sat,Premier League,Matchweek 36,Home,W 3-0,Arsenal,Bournemouth,CB,90,0,0,0,0,1,0,0,0,42,1,2,0,0.1,0.1,0.0,0,0,31,34,91.2,2,23,0,1,1,Match Report
Y,35,Sun,Premier League,Matchweek 37,Away,W 1-0,Arsenal,Manchester Utd,CB,90,0,0,0,0,1,0,0,0,65,1,0,2,0.2,0.2,0.0,1,0,55,59,93.2,1,44,0,0,0,Match Report
Y,36,Sun,Premier League,Matchweek 38,Home,W 2-1,Arsenal,Everton,CB,58,0,0,0,0,1,0,0,0,50,1,1,2,0.0,0.0,0.0,0,0,40,45,88.9,4,30,0,0,0,Match Report
