game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sat,Premier League,Matchweek 1,Home,W 2-1,Arsenal,Nott'ham Forest,LW,85,0,1,0,0,0,0,0,0,47,1,0,1,0.0,0.0,0.2,3,1,31,33,93.9,3,35,3,4,2,Match Report
Y,2,Mon,Premier League,Matchweek 2,Away,W 1-0,Arsenal,Crystal Palace,LW,69,0,0,0,0,2,0,0,0,42,1,2,0,0.1,0.1,0.0,2,1,23,35,65.7,2,27,4,1,0,Match Report
Y,3,Sat,Premier League,Matchweek 3,Home,D 2-2,Arsenal,Fulham,LW,90,0,0,0,0,4,3,0,0,61,0,0,1,0.5,0.5,0.0,3,1,42,52,80.8,7,40,3,2,1,Match Report
Y,4,Sun,Premier League,Matchweek 4,Home,W 3-1,Arsenal,Manchester Utd,LW,89,0,1,0,0,3,0,0,0,58,0,0,1,0.1,0.1,0.2,4,1,31,46,67.4,2,36,7,9,5,Match Report
Y,5,Sun,Premier League,Matchweek 5,Away,W 1-0,Arsenal,Everton,LW,23,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,6,9,66.7,0,6,1,0,0,Match Report
N,6,Sun,Premier League,Matchweek 8,Home,W 1-0,Arsenal,Manchester City,LW,45,1,0,0,0,2,2,0,0,15,0,0,0,0.1,0.1,0.0,2,0,6,9,66.7,1,13,0,2,1,Match Report
Y,7,Sat,Premier League,Matchweek 9,Away,D 2-2,Arsenal,Chelsea,LW,77,0,0,0,0,1,0,0,0,46,1,1,0,0.0,0.0,0.2,4,0,34,40,85.0,3,27,5,4,1,Match Report
Y,8,Sat,Premier League,Matchweek 10,Home,W 5-0,Arsenal,Sheffield Utd,LW,65,0,0,0,0,1,1,0,0,48,1,0,0,0.1,0.1,0.5,6,1,37,43,86.0,3,41,8,4,3,Match Report
Y,9,Sat,Premier League,Matchweek 11,Away,L 0-1,Arsenal,Newcastle Utd,LW,90,0,0,0,0,3,1,0,0,69,1,0,2,0.1,0.1,0.3,5,0,44,55,80.0,4,41,4,7,3,Match Report
Y,10,Sat,Premier League,Matchweek 12,Home,W 3-1,Arsenal,Burnley,LW,88,0,0,0,0,1,1,0,0,64,2,0,0,0.1,0.1,0.2,5,1,41,51,80.4,3,51,7,6,2,Match Report
Y,11,Sat,Premier League,Matchweek 13,Away,W 1-0,Arsenal,Brentford,LW,78,0,0,0,0,1,0,1,0,46,0,0,0,0.1,0.1,0.1,3,0,24,35,68.6,1,40,7,3,2,Match Report
Y,12,Sat,Premier League,Matchweek 14,Home,W 2-1,Arsenal,Wolves,LW,77,0,0,0,0,2,0,0,0,37,0,0,1,0.1,0.1,0.0,3,0,27,30,90.0,2,29,8,3,0,Match Report
Y,13,Tue,Premier League,Matchweek 15,Away,W 4-3,Arsenal,Luton Town,LW,63,1,0,0,0,2,2,0,0,31,1,0,1,0.2,0.2,0.0,0,0,13,20,65.0,2,16,2,4,0,Match Report
Y,14,Sat,Premier League,Matchweek 16,Away,L 0-1,Arsenal,Aston Villa,LW,69,0,0,0,0,1,0,0,0,45,0,0,2,0.2,0.2,0.3,2,0,20,28,71.4,1,25,3,6,0,Match Report
Y,15,Sun,Premier League,Matchweek 17,Home,W 2-0,Arsenal,Brighton,LW,81,0,0,0,0,4,0,0,0,64,3,0,1,0.2,0.2,0.4,11,0,39,52,75.0,7,43,8,8,3,Match Report
Y,16,Sat,Premier League,Matchweek 18,Away,D 1-1,Arsenal,Liverpool,LW,67,0,0,0,0,1,0,0,0,29,0,0,1,0.1,0.1,0.0,1,0,11,14,78.6,1,21,2,7,2,Match Report
Y,17,Thu,Premier League,Matchweek 19,Home,L 0-2,Arsenal,West Ham,LW,63,0,0,0,0,1,0,0,0,43,1,1,0,0.1,0.1,0.1,2,0,25,34,73.5,3,32,6,3,2,Match Report
Y,18,Sun,Premier League,Matchweek 20,Away,L 1-2,Arsenal,Fulham,LW,66,0,0,0,0,4,1,0,0,39,1,0,2,0.3,0.3,0.0,3,1,21,31,67.7,0,31,2,0,0,Match Report
N,19,Sat,Premier League,Matchweek 21,Home,W 5-0,Arsenal,Crystal Palace,LW,22,2,0,0,0,2,2,0,0,24,3,0,0,0.7,0.7,0.0,1,0,12,14,85.7,2,13,4,1,0,Match Report
Y,20,Tue,Premier League,Matchweek 22,Away,W 2-1,Arsenal,Nott'ham Forest,LW,77,0,0,0,0,1,0,0,0,54,2,0,1,0.0,0.0,0.0,1,0,36,44,81.8,0,39,7,5,1,Match Report
Y,21,Sun,Premier League,Matchweek 23,Home,W 3-1,Arsenal,Liverpool,LW,73,1,0,0,0,2,1,0,0,31,1,0,0,0.8,0.8,0.7,4,0,17,22,77.3,2,23,5,3,2,Match Report
Y,22,Sun,Premier League,Matchweek 24,Away,W 6-0,Arsenal,West Ham,LW,76,0,0,0,0,2,0,0,0,40,0,0,1,0.1,0.1,0.5,5,1,25,28,89.3,4,26,2,6,2,Match Report
Y,23,Sat,Premier League,Matchweek 25,Away,W 5-0,Arsenal,Burnley,LW,90,0,0,0,0,1,0,0,0,44,0,0,2,0.0,0.0,0.2,4,0,23,31,74.2,3,37,5,8,2,Match Report
Y,24,Sat,Premier League,Matchweek 26,Home,W 4-1,Arsenal,Newcastle Utd,LW,63,0,1,0,0,4,0,0,0,49,0,0,0,0.6,0.6,1.3,3,1,30,37,81.1,3,35,2,2,0,Match Report
Y,25,Mon,Premier League,Matchweek 27,Away,W 6-0,Arsenal,Sheffield Utd,LW,63,1,1,0,0,4,1,0,0,53,0,0,1,0.7,0.7,0.2,4,2,32,39,82.1,0,32,4,6,2,Match Report
N,26,Sun,Premier League,Matchweek 30,Away,D 0-0,Arsenal,Manchester City,RW,13,0,0,0,0,1,0,0,0,6,0,0,0,0.1,0.1,0.0,0,0,2,2,100.0,0,2,0,0,0,Match Report
N,27,Wed,Premier League,Matchweek 31,Home,W 2-0,Arsenal,Luton Town,RW,16,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,5,0,0,0,Match Report
N,28,Sat,Premier League,Matchweek 32,Away,W 3-0,Arsenal,Brighton,RW,27,0,0,0,0,0,0,0,0,14,3,1,1,0.0,0.0,0.1,1,0,4,5,80.0,0,3,1,0,0,Match Report
N,29,Sun,Premier League,Matchweek 33,Home,L 0-2,Arsenal,Aston Villa,"LW,WB",24,0,0,0,0,0,0,0,0,10,2,0,0,0.0,0.0,0.0,1,0,2,5,40.0,0,7,0,1,0,Match Report
N,30,Sat,Premier League,Matchweek 34,Away,W 2-0,Arsenal,Wolves,LW,19,0,0,0,0,2,2,0,0,10,1,0,0,0.2,0.2,0.0,0,0,6,7,85.7,0,5,0,0,0,Match Report
N,31,Tue,Premier League,Matchweek 29,Home,W 5-0,Arsenal,Chelsea,LW,19,0,0,0,0,2,1,0,0,15,0,0,1,0.6,0.6,0.0,1,0,8,8,100.0,2,10,2,1,0,Match Report
N,32,Sun,Premier League,Matchweek 35,Away,W 3-2,Arsenal,Tottenham,"LW,LM",27,0,0,0,0,1,0,0,0,8,2,0,0,0.0,0.0,0.0,0,0,0,3,0.0,0,4,0,1,1,Match Report
N,33,Sat,Premier League,Matchweek 36,Home,W 3-0,Arsenal,Bournemouth,LW,10,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,5,5,100.0,0,3,0,0,0,Match Report
N,34,Sun,Premier League,Matchweek 37,Away,W 1-0,Arsenal,Manchester Utd,"LW,LM",25,0,0,0,0,1,1,0,0,12,2,0,0,0.2,0.2,0.0,1,0,2,3,66.7,0,5,1,5,1,Match Report
Y,35,Sun,Premier League,Matchweek 38,Home,W 2-1,Arsenal,Everton,RW,90,0,0,0,0,2,1,0,0,64,0,0,3,0.2,0.2,0.7,7,0,43,55,78.2,4,53,14,2,2,Match Report
