game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sun,Premier League,Matchweek 10,Away,L 1-3,Luton Town,Aston Villa,CB,56,0,0,0,0,0,0,0,0,13,1,0,1,0.0,0.0,0.0,0,0,10,12,83.3,1,10,0,0,0,Match Report
Y,2,Sun,Premier League,Matchweek 11,Home,D 1-1,Luton Town,Liverpool,CB,90,0,0,0,0,0,0,0,0,30,2,2,1,0.0,0.0,0.0,0,0,10,17,58.8,2,5,0,1,1,Match Report
Y,3,Sat,Premier League,Matchweek 12,Away,L 0-1,Luton Town,Manchester Utd,CB,90,0,0,0,0,0,0,0,0,42,0,2,1,0.0,0.0,0.0,0,0,22,28,78.6,0,18,0,1,0,Match Report
Y,4,Sat,Premier League,Matchweek 13,Home,W 2-1,Luton Town,Crystal Palace,CB,90,0,0,0,0,0,0,1,0,50,0,2,1,0.0,0.0,0.0,2,0,33,37,89.2,3,23,0,1,1,Match Report
Y,5,Sat,Premier League,Matchweek 14,Away,L 1-3,Luton Town,Brentford,CB,90,0,0,0,0,0,0,0,0,51,3,0,7,0.0,0.0,0.0,1,1,21,28,75.0,0,17,0,0,0,Match Report
Y,6,Tue,Premier League,Matchweek 15,Home,L 3-4,Luton Town,Arsenal,CB,90,1,0,0,0,1,1,0,0,42,2,2,3,0.2,0.2,0.0,1,1,22,25,88.0,1,15,0,0,0,Match Report
Y,7,Sat,Premier League,Matchweek 18,Home,W 1-0,Luton Town,Newcastle Utd,CB,90,0,0,0,0,0,0,0,0,32,3,2,3,0.0,0.0,0.0,0,0,8,11,72.7,0,10,0,0,0,Match Report
Y,8,Tue,Premier League,Matchweek 19,Away,W 3-2,Luton Town,Sheffield Utd,CB,90,0,0,0,0,0,0,0,0,32,1,4,1,0.0,0.0,0.0,0,0,17,23,73.9,0,18,0,0,0,Match Report
Y,9,Sat,Premier League,Matchweek 20,Home,L 2-3,Luton Town,Chelsea,CB,90,0,0,0,0,0,0,0,0,46,2,2,1,0.0,0.0,0.0,0,0,30,37,81.1,0,13,0,0,0,Match Report
Y,10,Fri,Premier League,Matchweek 21,Away,D 1-1,Luton Town,Burnley,CB,90,0,0,0,0,0,0,0,0,82,4,2,0,0.0,0.0,0.0,0,0,61,75,81.3,2,48,1,1,1,Match Report
Y,11,Tue,Premier League,Matchweek 22,Home,W 4-0,Luton Town,Brighton,CB,90,0,0,0,0,0,0,0,0,51,3,1,4,0.0,0.0,0.0,0,0,29,38,76.3,5,15,0,3,1,Match Report
Y,12,Sat,Premier League,Matchweek 23,Away,D 4-4,Luton Town,Newcastle Utd,CB,90,1,0,0,0,1,1,1,0,39,2,1,1,0.5,0.5,0.0,0,0,19,24,79.2,1,17,1,1,1,Match Report
Y,13,Sat,Premier League,Matchweek 24,Home,L 1-3,Luton Town,Sheffield Utd,CB,90,0,0,0,0,2,0,0,0,70,2,3,0,0.1,0.1,0.0,0,0,51,57,89.5,3,48,1,1,0,Match Report
Y,14,Sun,Premier League,Matchweek 25,Home,L 1-2,Luton Town,Manchester Utd,CB,90,0,0,0,0,3,0,1,0,60,2,3,2,0.2,0.2,0.0,0,0,42,48,87.5,1,39,0,1,1,Match Report
Y,15,Wed,Premier League,Matchweek 26,Away,L 1-4,Luton Town,Liverpool,CB,90,0,0,0,0,0,0,0,0,50,1,1,7,0.0,0.0,0.1,0,0,22,32,68.8,2,18,0,0,0,Match Report
Y,16,Sat,Premier League,Matchweek 28,Away,D 1-1,Luton Town,Crystal Palace,CB,80,0,0,0,0,1,0,0,0,40,3,2,1,0.0,0.0,0.0,0,0,23,29,79.3,4,20,1,0,0,Match Report
Y,17,Sat,Premier League,Matchweek 34,Home,L 1-5,Luton Town,Brentford,CB,90,0,0,0,0,0,0,0,0,48,2,2,0,0.0,0.0,0.1,1,0,29,36,80.6,2,28,0,0,0,Match Report
Y,18,Sat,Premier League,Matchweek 35,Away,L 1-2,Luton Town,Wolves,CB,90,0,0,0,0,0,0,0,0,54,1,0,1,0.0,0.0,0.0,0,0,40,47,85.1,5,21,0,0,0,Match Report
Y,19,Fri,Premier League,Matchweek 36,Home,D 1-1,Luton Town,Everton,CB,90,0,0,0,0,1,0,0,0,68,2,0,0,0.0,0.0,0.0,2,1,49,55,89.1,5,42,6,2,1,Match Report
Y,20,Sat,Premier League,Matchweek 37,Away,L 1-3,Luton Town,West Ham,CB,90,0,0,0,0,0,0,0,0,41,3,0,1,0.0,0.0,0.0,0,0,24,27,88.9,0,25,0,0,0,Match Report
Y,21,Sun,Premier League,Matchweek 38,Home,L 2-4,Luton Town,Fulham,CB,90,0,0,0,0,1,0,0,0,27,2,0,1,0.0,0.0,0.0,1,0,18,20,90.0,0,11,0,0,0,Match Report
