game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Sun,Premier League,Matchweek 4,Away,L 1-3,Manchester Utd,Arsenal,CB,24,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,1,0,13,17,76.5,2,12,0,0,0,Match Report
N,2,Sat,Premier League,Matchweek 7,Home,L 0-1,Manchester Utd,Crystal Palace,CB,4,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,3,0,0,0,Match Report
Y,3,Sat,Premier League,Matchweek 8,Home,W 2-1,Manchester Utd,Brentford,CB,90,0,1,0,0,0,0,0,0,68,0,2,0,0.0,0.0,0.3,4,1,57,65,87.7,4,41,2,0,0,Match Report
Y,4,Sat,Premier League,Matchweek 9,Away,W 2-1,Manchester Utd,Sheffield Utd,CB,90,0,0,0,0,0,0,0,0,104,1,1,3,0.0,0.0,0.0,1,0,79,96,82.3,7,65,0,0,0,Match Report
Y,5,Sun,Premier League,Matchweek 10,Home,L 0-3,Manchester Utd,Manchester City,CB,90,0,0,0,0,1,0,0,0,64,1,0,0,0.0,0.0,0.0,1,0,47,54,87.0,3,38,1,0,0,Match Report
Y,6,Sat,Premier League,Matchweek 11,Away,W 1-0,Manchester Utd,Fulham,CB,90,0,0,0,0,0,0,0,0,73,0,0,2,0.0,0.0,0.0,0,0,49,60,81.7,3,44,0,0,0,Match Report
Y,7,Sat,Premier League,Matchweek 12,Home,W 1-0,Manchester Utd,Luton Town,CB,90,0,0,0,0,0,0,0,0,99,0,0,3,0.0,0.0,0.1,3,0,80,89,89.9,9,68,3,0,0,Match Report
Y,8,Sun,Premier League,Matchweek 13,Away,W 3-0,Manchester Utd,Everton,CB,90,0,0,0,0,1,0,0,0,61,0,1,2,0.1,0.1,0.0,0,0,37,47,78.7,3,31,1,0,0,Match Report
Y,9,Sat,Premier League,Matchweek 14,Away,L 0-1,Manchester Utd,Newcastle Utd,CB,90,0,0,0,0,2,0,1,0,63,3,3,8,0.1,0.1,0.0,0,0,25,39,64.1,0,20,0,1,0,Match Report
Y,10,Wed,Premier League,Matchweek 15,Home,W 2-1,Manchester Utd,Chelsea,CB,90,0,0,0,0,1,0,0,0,40,1,2,0,0.3,0.3,0.0,1,1,27,33,81.8,3,27,1,0,0,Match Report
Y,11,Sat,Premier League,Matchweek 16,Home,L 0-3,Manchester Utd,Bournemouth,CB,90,0,0,0,0,2,1,0,0,66,3,4,1,0.1,0.1,0.0,1,0,46,56,82.1,7,35,2,0,0,Match Report
N,12,Thu,Premier League,Matchweek 22,Away,W 4-3,Manchester Utd,Wolves,CB,5,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0,Match Report
Y,13,Sun,Premier League,Matchweek 23,Home,W 3-0,Manchester Utd,West Ham,CB,90,0,0,0,0,0,0,0,0,51,1,2,2,0.0,0.0,0.0,0,0,36,43,83.7,2,34,0,0,0,Match Report
Y,14,Sun,Premier League,Matchweek 24,Away,W 2-1,Manchester Utd,Aston Villa,CB,90,0,1,0,0,2,0,0,0,73,4,0,1,0.1,0.1,0.7,2,1,47,60,78.3,4,30,1,0,0,Match Report
Y,15,Sun,Premier League,Matchweek 25,Away,W 2-1,Manchester Utd,Luton Town,CB,45,0,0,0,0,0,0,1,0,20,0,1,1,0.0,0.0,0.1,1,0,14,16,87.5,1,6,0,0,0,Match Report
Y,16,Sat,Premier League,Matchweek 26,Home,L 1-2,Manchester Utd,Fulham,CB,90,1,0,0,0,4,1,1,0,101,1,3,2,1.1,1.1,0.1,4,0,80,86,93.0,6,52,1,1,0,Match Report
N,17,Sat,Premier League,Matchweek 30,Away,D 1-1,Manchester Utd,Brentford,CB,45,0,0,0,0,1,0,0,0,26,0,1,0,0.1,0.1,0.0,0,0,9,13,69.2,1,6,0,0,0,Match Report
Y,18,Thu,Premier League,Matchweek 31,Away,L 3-4,Manchester Utd,Chelsea,CB,90,0,0,0,0,3,0,1,0,50,0,2,0,0.1,0.1,0.0,2,0,32,39,82.1,3,28,1,0,0,Match Report
Y,19,Sun,Premier League,Matchweek 32,Home,D 2-2,Manchester Utd,Liverpool,CB,90,0,0,0,0,1,0,0,0,73,4,1,1,0.0,0.0,0.0,0,0,42,58,72.4,1,22,0,0,0,Match Report
Y,20,Sat,Premier League,Matchweek 33,Away,D 2-2,Manchester Utd,Bournemouth,CB,90,0,0,0,0,1,0,0,0,89,2,0,2,0.0,0.0,0.0,0,0,66,80,82.5,6,36,1,0,0,Match Report
Y,21,Wed,Premier League,Matchweek 29,Home,W 4-2,Manchester Utd,Sheffield Utd,CB,90,1,0,0,0,1,1,0,0,109,1,0,2,0.1,0.1,0.0,1,1,92,101,91.1,3,81,3,0,0,Match Report
Y,22,Sat,Premier League,Matchweek 35,Home,D 1-1,Manchester Utd,Burnley,CB,90,0,0,0,0,0,0,0,0,56,1,2,2,0.0,0.0,0.0,2,0,34,43,79.1,5,21,3,0,0,Match Report
