game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sat,Premier League,Matchweek 1,Home,L 0-1,Everton,Fulham,CM,90,0,0,0,0,2,0,0,0,70,6,1,3,0.1,0.1,0.0,4,0,48,57,84.2,2,37,0,0,0,Match Report
Y,2,Sun,Premier League,Matchweek 2,Away,L 0-4,Everton,Aston Villa,"DM,CM",45,0,0,0,0,0,0,1,0,17,1,0,0,0.0,0.0,0.0,0,0,12,13,92.3,1,10,0,0,0,Match Report
Y,3,Sat,Premier League,Matchweek 3,Home,L 0-1,Everton,Wolves,DM,89,0,0,0,0,0,0,0,0,58,2,1,2,0.0,0.0,0.0,3,0,48,52,92.3,6,45,3,2,2,Match Report
Y,4,Sat,Premier League,Matchweek 4,Away,D 2-2,Everton,Sheffield Utd,CM,90,0,0,0,0,0,0,0,0,65,3,1,1,0.0,0.0,0.0,1,0,50,57,87.7,7,39,2,2,1,Match Report
Y,5,Sun,Premier League,Matchweek 5,Home,L 0-1,Everton,Arsenal,CM,90,0,0,0,0,2,1,0,0,26,2,2,0,0.1,0.1,0.1,2,0,14,19,73.7,1,21,3,0,0,Match Report
Y,6,Sat,Premier League,Matchweek 6,Away,W 3-1,Everton,Brentford,CM,90,0,0,0,0,1,0,0,0,47,0,0,0,0.0,0.0,0.4,4,1,40,43,93.0,7,34,5,1,1,Match Report
Y,7,Sat,Premier League,Matchweek 7,Home,L 1-2,Everton,Luton Town,CM,45,0,0,0,0,1,0,0,0,50,2,0,0,0.1,0.1,0.0,0,0,36,43,83.7,1,35,0,1,1,Match Report
Y,8,Sat,Premier League,Matchweek 11,Home,D 1-1,Everton,Brighton,CM,90,0,0,0,0,0,0,1,0,22,2,0,1,0.0,0.0,0.0,1,0,11,16,68.8,0,9,1,0,0,Match Report
N,9,Sat,Premier League,Matchweek 12,Away,W 3-2,Everton,Crystal Palace,CM,45,1,0,0,0,1,1,0,0,20,3,0,0,0.1,0.1,0.0,2,1,11,13,84.6,1,11,1,1,1,Match Report
Y,10,Sun,Premier League,Matchweek 13,Home,L 0-3,Everton,Manchester Utd,CM,90,0,0,0,0,3,1,1,0,74,3,4,0,0.3,0.3,0.1,3,0,53,64,82.8,7,34,1,0,0,Match Report
Y,11,Sat,Premier League,Matchweek 14,Away,W 1-0,Everton,Nott'ham Forest,CM,90,0,0,0,0,2,0,0,0,56,2,1,2,0.0,0.0,0.0,4,1,28,41,68.3,6,20,0,1,0,Match Report
Y,12,Thu,Premier League,Matchweek 15,Home,W 3-0,Everton,Newcastle Utd,CM,90,0,0,0,0,3,0,1,0,52,4,1,2,0.2,0.2,0.0,5,0,32,39,82.1,8,26,2,1,0,Match Report
