game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,90,0,0,1,0,0,0,0,0,96,1,0,0,0,0,Sat,Premier League,Matchweek 1,Home,D 1-1,Bournemouth,West Ham,CB,0,0,0,102,1,0.0,0.0,0.0,2,0,77,80.2,4,69,0,1,0,Match Report
Y,2,0,90,0,0,0,0,0,0,0,0,37,2,0,0,0,0,Sat,Premier League,Matchweek 2,Away,L 1-3,Bournemouth,Liverpool,CB,0,0,0,52,4,0.0,0.0,0.0,0,0,30,81.1,3,28,0,1,1,Match Report
Y,3,0,90,0,0,2,0,0,0,0,0,53,1,0,0,0,0,Sat,Premier League,Matchweek 3,Home,L 0-2,Bournemouth,Tottenham,CB,0,0,0,68,2,0.0,0.0,0.0,1,0,48,90.6,5,39,1,4,3,Match Report
Y,4,0,90,0,0,2,0,0,0,0,0,34,0,0,0,0,0,Sat,Premier League,Matchweek 4,Away,D 2-2,Bournemouth,Brentford,CB,0,0,0,46,1,0.0,0.0,0.0,1,0,24,70.6,2,19,0,0,0,Match Report
Y,5,0,90,0,0,1,0,0,0,0,0,46,1,0,0,0,0,Sun,Premier League,Matchweek 5,Home,D 0-0,Bournemouth,Chelsea,CB,0,0,0,51,0,0.0,0.0,0.0,0,0,37,80.4,3,37,1,1,1,Match Report
Y,6,0,90,0,0,3,0,0,1,0,0,38,3,0,0,0,1,Sun,Premier League,Matchweek 6,Away,L 1-3,Bournemouth,Brighton,CB,0,0,0,48,1,0.0,0.0,0.0,0,0,28,73.7,1,35,2,2,1,Match Report
Y,7,0,90,0,0,2,0,0,0,0,0,42,0,0,0,0,0,Sat,Premier League,Matchweek 7,Home,L 0-4,Bournemouth,Arsenal,CB,0,0,0,51,2,0.0,0.0,0.0,1,0,39,92.9,4,39,2,1,1,Match Report
Y,8,0,90,0,0,1,0,0,1,0,0,59,1,0,0,0,0,Sat,Premier League,Matchweek 8,Away,L 0-3,Bournemouth,Everton,CB,0,0,0,75,1,0.2,0.2,0.0,0,0,48,81.4,2,43,1,0,0,Match Report
Y,9,0,90,0,0,0,0,0,0,0,0,36,2,0,0,0,1,Sat,Premier League,Matchweek 9,Home,L 1-2,Bournemouth,Wolves,CB,0,0,0,43,2,0.0,0.0,0.0,0,0,29,80.6,2,32,0,0,0,Match Report
Y,10,0,90,0,0,2,0,0,0,0,0,57,0,0,0,0,0,Sat,Premier League,Matchweek 10,Home,W 2-1,Bournemouth,Burnley,CB,0,0,0,66,0,0.0,0.0,0.0,0,0,51,89.5,2,50,0,0,0,Match Report
