game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sat,Premier League,Matchweek 1,Away,W 1-0,Fulham,Everton,CB,90,0,0,0,0,0,0,0,0,91,1,0,2,0.0,0.0,0.0,0,0,73,80,91.3,4,72,2,0,0,Match Report
Y,2,Sat,Premier League,Matchweek 2,Home,L 0-3,Fulham,Brentford,CB,90,0,0,0,0,2,0,0,0,84,1,0,1,0.1,0.1,0.0,1,0,69,78,88.5,4,53,0,0,0,Match Report
Y,3,Sat,Premier League,Matchweek 3,Away,D 2-2,Fulham,Arsenal,CB,90,0,0,0,0,0,0,0,0,43,0,1,2,0.0,0.0,0.0,0,0,25,28,89.3,2,20,0,0,0,Match Report
Y,4,Sat,Premier League,Matchweek 4,Away,L 1-5,Fulham,Manchester City,CB,90,0,0,0,0,0,0,1,0,47,1,2,1,0.0,0.0,0.0,0,0,35,39,89.7,4,27,1,0,0,Match Report
Y,5,Sat,Premier League,Matchweek 5,Home,W 1-0,Fulham,Luton Town,CB,90,0,0,0,0,0,0,1,0,167,1,0,1,0.0,0.0,0.0,1,0,157,164,95.7,13,137,1,0,0,Match Report
Y,6,Sat,Premier League,Matchweek 6,Away,D 0-0,Fulham,Crystal Palace,CB,90,0,0,0,0,0,0,0,0,88,2,1,0,0.0,0.0,0.0,1,0,67,79,84.8,9,59,3,0,0,Match Report
Y,7,Mon,Premier League,Matchweek 7,Home,L 0-2,Fulham,Chelsea,CB,90,0,0,0,0,0,0,0,0,101,2,1,0,0.0,0.0,0.0,0,0,85,94,90.4,7,72,1,0,0,Match Report
Y,8,Sat,Premier League,Matchweek 8,Home,W 3-1,Fulham,Sheffield Utd,CB,70,0,0,0,0,1,1,0,0,56,3,2,1,0.0,0.0,0.0,0,0,35,44,79.5,2,37,1,0,0,Match Report
Y,9,Sat,Premier League,Matchweek 17,Away,L 0-3,Fulham,Newcastle Utd,CB,90,0,0,0,0,0,0,0,0,36,2,0,2,0.0,0.0,0.0,0,0,22,24,91.7,2,10,0,0,0,Match Report
N,10,Sun,Premier League,Matchweek 20,Home,W 2-1,Fulham,Arsenal,LW,11,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0,Match Report
Y,11,Sat,Premier League,Matchweek 21,Away,L 0-1,Fulham,Chelsea,CB,90,0,0,0,0,0,0,0,0,72,2,4,1,0.0,0.0,0.0,0,0,52,58,89.7,0,47,0,0,0,Match Report
Y,12,Tue,Premier League,Matchweek 22,Home,D 0-0,Fulham,Everton,CB,74,0,0,0,0,0,0,0,0,94,0,0,3,0.0,0.0,0.0,0,0,79,87,90.8,4,64,1,0,0,Match Report
Y,13,Sat,Premier League,Matchweek 24,Home,W 3-1,Fulham,Bournemouth,CB,90,0,0,0,0,0,0,0,0,77,3,1,4,0.0,0.0,0.0,0,0,42,60,70.0,5,47,0,1,1,Match Report
Y,14,Sat,Premier League,Matchweek 25,Home,L 1-2,Fulham,Aston Villa,CB,90,0,0,0,0,1,0,0,0,74,3,0,0,0.0,0.0,0.0,1,0,57,67,85.1,8,44,1,0,0,Match Report
N,15,Sat,Premier League,Matchweek 26,Away,W 2-1,Fulham,Manchester Utd,RW,10,0,0,0,0,0,0,0,0,10,2,0,1,0.0,0.0,0.0,0,0,5,6,83.3,0,3,0,0,0,Match Report
Y,16,Sat,Premier League,Matchweek 35,Home,D 1-1,Fulham,Crystal Palace,CB,90,0,0,0,0,1,0,0,0,93,2,2,2,0.1,0.1,0.0,0,0,69,80,86.3,1,50,0,0,0,Match Report
Y,17,Sat,Premier League,Matchweek 36,Away,D 0-0,Fulham,Brentford,CB,90,0,0,0,0,0,0,0,0,61,2,1,3,0.0,0.0,0.0,0,0,34,42,81.0,1,22,0,0,0,Match Report
Y,18,Sat,Premier League,Matchweek 37,Home,L 0-4,Fulham,Manchester City,CB,89,0,0,0,0,0,0,2,1,60,3,2,3,0.0,0.0,0.0,0,0,43,48,89.6,0,30,0,0,0,Match Report
