game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Sat,Premier League,Matchweek 7,Home,L 1-2,Everton,Luton Town,RM,45,0,0,0,0,0,0,0,0,24,2,1,1,0.0,0.0,0.2,2,0,10,16,62.5,1,14,4,1,0,Match Report
Y,2,Sat,Premier League,Matchweek 8,Home,W 3-0,Everton,Bournemouth,RM,77,1,1,0,0,4,1,0,0,41,3,0,0,0.3,0.3,0.3,5,1,16,24,66.7,1,26,2,5,2,Match Report
Y,3,Sat,Premier League,Matchweek 9,Away,L 0-2,Everton,Liverpool,RM,45,0,0,0,0,0,0,0,0,14,0,0,1,0.0,0.0,0.0,0,0,5,9,55.6,2,9,1,2,1,Match Report
Y,4,Sun,Premier League,Matchweek 10,Away,W 1-0,Everton,West Ham,RM,90,0,1,0,0,2,1,0,0,26,2,0,0,0.2,0.2,0.2,2,1,12,14,85.7,2,15,2,2,0,Match Report
Y,5,Sat,Premier League,Matchweek 11,Home,D 1-1,Everton,Brighton,RM,90,0,0,0,0,0,0,0,0,28,1,0,1,0.0,0.0,0.0,1,0,3,15,20.0,0,16,1,2,0,Match Report
Y,6,Sat,Premier League,Matchweek 12,Away,W 3-2,Everton,Crystal Palace,RM,90,0,1,0,0,0,0,0,0,30,1,1,0,0.0,0.0,0.5,2,1,12,19,63.2,2,19,1,3,1,Match Report
Y,7,Sun,Premier League,Matchweek 13,Home,L 0-3,Everton,Manchester Utd,RM,90,0,0,0,0,2,1,0,0,45,0,1,1,0.4,0.4,0.0,5,0,20,31,64.5,3,25,3,4,1,Match Report
Y,8,Sat,Premier League,Matchweek 14,Away,W 1-0,Everton,Nott'ham Forest,RM,90,0,0,0,0,0,0,0,0,47,2,0,2,0.0,0.0,0.0,3,1,16,34,47.1,4,23,3,1,0,Match Report
Y,9,Thu,Premier League,Matchweek 15,Home,W 3-0,Everton,Newcastle Utd,FW,90,0,0,0,0,2,0,0,0,31,1,0,1,0.2,0.2,0.5,5,1,18,22,81.8,2,16,3,3,3,Match Report
Y,10,Sun,Premier League,Matchweek 16,Home,W 2-0,Everton,Chelsea,RM,85,0,0,0,0,1,0,0,0,41,1,0,0,0.1,0.1,0.1,2,0,17,29,58.6,3,27,0,4,3,Match Report
Y,11,Sat,Premier League,Matchweek 17,Away,W 2-0,Everton,Burnley,"LM,RM",90,0,0,0,0,0,0,0,0,35,2,0,1,0.0,0.0,0.0,3,0,17,25,68.0,3,22,0,2,1,Match Report
Y,12,Sat,Premier League,Matchweek 18,Away,L 1-2,Everton,Tottenham,RW,65,0,0,0,0,1,1,0,0,33,0,2,3,0.2,0.2,0.1,2,0,14,20,70.0,4,20,3,5,1,Match Report
Y,13,Wed,Premier League,Matchweek 19,Home,L 1-3,Everton,Manchester City,"RW,RM",79,1,0,0,0,2,2,0,0,21,0,0,0,0.6,0.6,0.2,3,0,8,15,53.3,1,14,4,4,1,Match Report
Y,14,Sat,Premier League,Matchweek 20,Away,L 0-3,Everton,Wolves,"RM,RW",90,0,0,0,0,2,0,0,0,48,2,0,0,0.1,0.1,0.0,3,0,20,33,60.6,6,25,3,1,0,Match Report
Y,15,Sun,Premier League,Matchweek 21,Home,D 0-0,Everton,Aston Villa,RW,90,0,0,0,0,0,0,0,0,31,0,1,0,0.0,0.0,0.1,1,0,13,25,52.0,1,20,8,1,0,Match Report
Y,16,Tue,Premier League,Matchweek 22,Away,D 0-0,Everton,Fulham,FW,90,0,0,0,0,3,1,0,0,23,0,0,0,0.2,0.2,0.0,3,0,11,14,78.6,3,12,1,1,1,Match Report
Y,17,Sat,Premier League,Matchweek 23,Home,D 2-2,Everton,Tottenham,"FW,RM",90,1,0,0,0,2,1,0,0,33,1,0,0,0.9,0.9,0.0,2,0,15,23,65.2,1,20,2,4,2,Match Report
Y,18,Sat,Premier League,Matchweek 24,Away,L 0-2,Everton,Manchester City,"AM,RW",90,0,0,0,0,1,0,0,0,22,0,2,1,0.0,0.0,0.0,1,0,13,18,72.2,2,12,2,2,1,Match Report
N,19,Mon,Premier League,Matchweek 25,Home,D 1-1,Everton,Crystal Palace,RM,25,0,0,0,0,0,0,0,0,28,2,0,1,0.0,0.0,0.0,0,0,10,20,50.0,0,13,1,1,0,Match Report
Y,20,Sat,Premier League,Matchweek 26,Away,D 1-1,Everton,Brighton,"RM,FW",90,0,0,0,0,1,0,0,0,28,1,1,0,0.1,0.1,0.0,2,1,13,18,72.2,0,15,1,2,1,Match Report
Y,21,Sat,Premier League,Matchweek 27,Home,L 1-3,Everton,West Ham,RM,79,0,0,0,0,0,0,0,0,49,0,0,2,0.0,0.0,0.5,1,0,23,38,60.5,3,25,4,3,1,Match Report
Y,22,Sat,Premier League,Matchweek 28,Away,L 0-2,Everton,Manchester Utd,RM,60,0,0,0,0,1,0,0,0,24,0,0,2,0.0,0.0,0.0,2,0,15,20,75.0,3,18,2,2,1,Match Report
Y,23,Sat,Premier League,Matchweek 30,Away,L 1-2,Everton,Bournemouth,RM,71,0,0,0,0,1,0,0,0,31,3,0,2,0.0,0.0,0.0,0,0,18,23,78.3,2,13,0,0,0,Match Report
N,24,Sat,Premier League,Matchweek 32,Home,W 1-0,Everton,Burnley,RM,8,0,0,0,0,1,0,0,0,6,0,1,0,0.0,0.0,0.0,0,0,4,4,100.0,1,4,0,0,0,Match Report
N,25,Mon,Premier League,Matchweek 33,Away,L 0-6,Everton,Chelsea,CM,45,0,0,0,0,0,0,0,0,20,1,0,1,0.0,0.0,0.0,0,0,10,15,66.7,2,13,3,1,0,Match Report
Y,26,Sun,Premier League,Matchweek 34,Home,W 2-0,Everton,Nott'ham Forest,RM,90,0,0,0,0,0,0,1,0,42,2,2,1,0.0,0.0,0.0,1,0,19,28,67.9,5,24,4,5,2,Match Report
Y,27,Wed,Premier League,Matchweek 29,Home,W 2-0,Everton,Liverpool,RM,90,0,0,0,0,1,0,0,0,49,2,0,2,0.1,0.1,0.2,5,0,15,28,53.6,0,25,4,9,6,Match Report
Y,28,Sat,Premier League,Matchweek 35,Home,W 1-0,Everton,Brentford,RM,90,0,0,0,0,4,0,0,0,39,3,0,0,0.2,0.2,0.0,5,1,17,21,81.0,2,29,1,3,0,Match Report
Y,29,Fri,Premier League,Matchweek 36,Away,D 1-1,Everton,Luton Town,RM,90,0,0,0,0,3,1,0,0,46,5,0,2,0.1,0.1,0.1,5,0,25,30,83.3,3,25,2,2,0,Match Report
