game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Mon,Premier League,Matchweek 2,Away,W 1-0,Arsenal,Crystal Palace,"CB,LB",2,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,4,0,0,0,Match Report
Y,2,Sat,Premier League,Matchweek 3,Home,D 2-2,Arsenal,Fulham,"LB,CB",90,0,0,0,0,1,0,0,0,75,2,0,3,0.4,0.4,0.0,0,0,54,65,83.1,8,32,0,0,0,Match Report
Y,3,Sat,Premier League,Matchweek 10,Home,W 5-0,Arsenal,Sheffield Utd,CB,90,0,0,0,0,0,0,0,0,89,0,0,0,0.0,0.0,0.0,0,0,75,84,89.3,8,68,0,0,0,Match Report
N,4,Sat,Premier League,Matchweek 12,Home,W 3-1,Arsenal,Burnley,CB,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Match Report
N,5,Sat,Premier League,Matchweek 14,Home,W 2-1,Arsenal,Wolves,CB,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,Match Report
Y,6,Tue,Premier League,Matchweek 15,Away,W 4-3,Arsenal,Luton Town,LB,63,0,0,0,0,1,0,0,0,37,2,0,0,0.0,0.0,0.0,1,0,23,28,82.1,2,18,0,0,0,Match Report
N,7,Sun,Premier League,Matchweek 17,Home,W 2-0,Arsenal,Brighton,LB,1,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,Match Report
Y,8,Sun,Premier League,Matchweek 20,Away,L 1-2,Arsenal,Fulham,LB,45,0,0,0,0,0,0,0,0,32,3,1,1,0.0,0.0,0.0,1,0,26,29,89.7,2,18,0,0,0,Match Report
N,9,Sat,Premier League,Matchweek 21,Home,W 5-0,Arsenal,Crystal Palace,CB,10,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,10,10,100.0,0,7,0,0,0,Match Report
N,10,Tue,Premier League,Matchweek 22,Away,W 2-1,Arsenal,Nott'ham Forest,LB,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0,Match Report
N,11,Sun,Premier League,Matchweek 23,Home,W 3-1,Arsenal,Liverpool,LB,45,0,1,0,0,1,1,1,0,25,3,1,0,0.3,0.3,0.0,1,1,10,16,62.5,3,5,0,0,0,Match Report
Y,12,Sun,Premier League,Matchweek 24,Away,W 6-0,Arsenal,West Ham,LB,90,0,0,0,0,0,0,0,0,61,2,1,1,0.0,0.0,0.1,1,0,44,49,89.8,2,22,1,0,0,Match Report
Y,13,Sat,Premier League,Matchweek 25,Away,W 5-0,Arsenal,Burnley,LB,90,0,1,0,0,0,0,0,0,66,2,1,0,0.0,0.0,0.4,2,1,52,61,85.2,1,48,1,0,0,Match Report
Y,14,Sat,Premier League,Matchweek 26,Home,W 4-1,Arsenal,Newcastle Utd,LB,90,1,0,0,0,1,1,0,0,61,0,1,1,0.1,0.1,0.0,1,1,46,56,82.1,10,30,0,1,1,Match Report
Y,15,Mon,Premier League,Matchweek 27,Away,W 6-0,Arsenal,Sheffield Utd,LB,90,0,1,0,0,2,0,0,0,96,2,1,1,0.0,0.0,0.1,1,1,78,89,87.6,8,37,1,0,0,Match Report
Y,16,Sat,Premier League,Matchweek 28,Home,W 2-1,Arsenal,Brentford,LB,78,0,0,0,0,0,0,0,0,63,1,0,0,0.0,0.0,0.2,1,0,43,56,76.8,4,37,1,0,0,Match Report
Y,17,Sun,Premier League,Matchweek 30,Away,D 0-0,Arsenal,Manchester City,LB,65,0,0,0,0,0,0,0,0,25,1,0,3,0.0,0.0,0.1,1,0,12,19,63.2,0,15,0,1,1,Match Report
Y,18,Sat,Premier League,Matchweek 34,Away,W 2-0,Arsenal,Wolves,LB,90,0,0,0,0,0,0,0,0,63,1,2,1,0.0,0.0,0.0,2,0,43,53,81.1,7,18,0,1,0,Match Report
N,19,Sun,Premier League,Matchweek 35,Away,W 3-2,Arsenal,Tottenham,CB,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Match Report
N,20,Sun,Premier League,Matchweek 37,Away,W 1-0,Arsenal,Manchester Utd,CB,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Match Report
