game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sat,Premier League,Matchweek 1,Home,L 0-1,Everton,Fulham,RM,82,0,0,0,0,0,0,0,0,42,1,1,1,0.0,0.0,0.0,4,0,23,35,65.7,1,27,0,4,3,Match Report
Y,2,Sun,Premier League,Matchweek 2,Away,L 0-4,Everton,Aston Villa,"CM,RM",90,0,0,0,0,1,0,0,0,39,2,0,1,0.0,0.0,0.2,1,0,26,32,81.3,3,20,3,1,1,Match Report
Y,3,Sat,Premier League,Matchweek 3,Home,L 0-1,Everton,Wolves,RM,90,0,0,0,0,2,1,1,0,44,3,1,1,0.1,0.1,0.3,4,0,26,34,76.5,3,31,2,0,0,Match Report
Y,4,Sat,Premier League,Matchweek 4,Away,D 2-2,Everton,Sheffield Utd,RM,74,0,0,0,0,0,0,0,0,23,2,0,2,0.0,0.0,0.0,1,0,9,17,52.9,3,15,0,3,0,Match Report
N,5,Sun,Premier League,Matchweek 5,Home,L 0-1,Everton,Arsenal,CM,11,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,2,0,0,0,Match Report
Y,6,Sat,Premier League,Matchweek 6,Away,W 3-1,Everton,Brentford,RM,90,0,1,0,0,2,0,0,0,41,3,0,2,0.0,0.0,0.7,6,3,26,33,78.8,5,22,3,0,0,Match Report
Y,7,Sat,Premier League,Matchweek 7,Home,L 1-2,Everton,Luton Town,"CM,RM",90,0,0,0,0,4,0,0,0,57,0,0,2,0.7,0.7,0.6,6,0,33,47,70.2,6,37,0,2,0,Match Report
Y,8,Sat,Premier League,Matchweek 8,Home,W 3-0,Everton,Bournemouth,CM,90,1,0,0,0,4,2,0,0,67,6,1,2,0.2,0.2,0.0,2,1,35,44,79.5,5,35,3,2,0,Match Report
Y,9,Sat,Premier League,Matchweek 9,Away,L 0-2,Everton,Liverpool,"CM,RB",90,0,0,0,0,1,0,0,0,39,3,0,1,0.0,0.0,0.0,0,0,14,27,51.9,1,5,0,1,1,Match Report
Y,10,Sun,Premier League,Matchweek 10,Away,W 1-0,Everton,West Ham,CM,90,0,0,0,0,0,0,0,0,45,4,3,1,0.0,0.0,0.0,0,0,27,33,81.8,2,24,2,0,0,Match Report
Y,11,Sat,Premier League,Matchweek 11,Home,D 1-1,Everton,Brighton,CM,90,0,0,0,0,1,0,0,0,40,4,2,0,0.1,0.1,0.0,2,0,19,25,76.0,1,10,0,0,0,Match Report
Y,12,Sat,Premier League,Matchweek 12,Away,W 3-2,Everton,Crystal Palace,CM,90,0,0,0,0,1,0,1,0,48,3,0,1,0.0,0.0,0.0,3,0,27,35,77.1,3,20,0,2,2,Match Report
Y,13,Sun,Premier League,Matchweek 13,Home,L 0-3,Everton,Manchester Utd,CM,90,0,0,0,0,2,0,0,0,58,2,1,0,0.1,0.1,0.2,6,0,41,49,83.7,10,24,0,0,0,Match Report
Y,14,Sat,Premier League,Matchweek 14,Away,W 1-0,Everton,Nott'ham Forest,CM,90,0,0,0,0,1,1,0,0,56,1,3,1,0.0,0.0,0.0,6,0,36,46,78.3,9,21,2,2,2,Match Report
Y,15,Sun,Premier League,Matchweek 16,Home,W 2-0,Everton,Chelsea,CM,90,0,0,0,0,0,0,0,0,38,4,2,1,0.0,0.0,0.0,1,0,14,30,46.7,2,13,0,0,0,Match Report
Y,16,Sat,Premier League,Matchweek 17,Away,W 2-0,Everton,Burnley,"CM,LM",90,0,0,0,0,1,1,1,0,42,1,1,2,0.0,0.0,0.3,2,0,21,28,75.0,1,17,1,1,0,Match Report
Y,17,Sat,Premier League,Matchweek 18,Away,L 1-2,Everton,Tottenham,"DM,AM,CM",90,0,0,0,0,3,2,0,0,58,3,4,1,0.3,0.3,0.2,4,0,39,47,83.0,7,25,1,1,1,Match Report
Y,18,Wed,Premier League,Matchweek 19,Home,L 1-3,Everton,Manchester City,"AM,CM",90,0,0,0,0,0,0,0,0,40,2,2,5,0.0,0.0,0.0,2,0,20,26,76.9,2,20,0,0,0,Match Report
Y,19,Sat,Premier League,Matchweek 20,Away,L 0-3,Everton,Wolves,CM,90,0,0,0,0,0,0,0,0,60,5,2,0,0.0,0.0,0.0,1,0,42,46,91.3,2,21,2,0,0,Match Report
Y,20,Sun,Premier League,Matchweek 21,Home,D 0-0,Everton,Aston Villa,DM,90,0,0,0,0,2,1,0,0,37,3,1,2,0.2,0.2,0.1,2,0,16,26,61.5,1,16,1,4,1,Match Report
Y,21,Tue,Premier League,Matchweek 22,Away,D 0-0,Everton,Fulham,CM,90,0,0,0,0,1,0,0,0,51,4,6,2,0.1,0.1,0.1,6,0,25,31,80.6,1,21,1,0,0,Match Report
Y,22,Sat,Premier League,Matchweek 23,Home,D 2-2,Everton,Tottenham,CM,90,0,0,0,0,0,0,1,0,61,4,1,4,0.0,0.0,0.2,4,2,39,49,79.6,4,24,0,2,2,Match Report
Y,23,Sat,Premier League,Matchweek 24,Away,L 0-2,Everton,Manchester City,DM,90,0,0,0,0,0,0,1,0,38,5,2,1,0.0,0.0,0.0,2,0,21,24,87.5,2,12,0,1,1,Match Report
Y,24,Mon,Premier League,Matchweek 25,Home,D 1-1,Everton,Crystal Palace,CM,90,0,0,0,0,3,1,0,0,75,1,3,2,0.2,0.2,0.1,8,1,55,65,84.6,2,36,1,3,1,Match Report
Y,25,Sat,Premier League,Matchweek 26,Away,D 1-1,Everton,Brighton,CM,90,0,0,0,0,0,0,0,0,46,0,1,0,0.0,0.0,0.0,1,0,37,41,90.2,2,26,0,0,0,Match Report
Y,26,Sat,Premier League,Matchweek 27,Home,L 1-3,Everton,West Ham,"CM,RM",90,0,1,0,0,2,0,0,0,66,0,0,1,0.1,0.1,0.6,4,1,49,60,81.7,7,30,3,2,1,Match Report
Y,27,Sat,Premier League,Matchweek 28,Away,L 0-2,Everton,Manchester Utd,CM,74,0,0,0,0,1,1,0,0,50,1,4,1,0.0,0.0,0.4,6,0,34,40,85.0,1,30,0,0,0,Match Report
Y,28,Sat,Premier League,Matchweek 30,Away,L 1-2,Everton,Bournemouth,CM,90,0,0,0,0,0,0,0,0,56,2,1,1,0.0,0.0,0.0,1,0,30,43,69.8,3,18,1,1,0,Match Report
N,29,Tue,Premier League,Matchweek 31,Away,D 1-1,Everton,Newcastle Utd,CM,30,0,0,0,0,1,0,0,0,19,0,0,1,0.0,0.0,0.0,0,0,12,14,85.7,1,8,1,1,0,Match Report
Y,30,Sat,Premier League,Matchweek 32,Home,W 1-0,Everton,Burnley,CM,90,0,0,0,0,0,0,0,0,35,4,0,0,0.0,0.0,0.0,1,0,15,25,60.0,0,11,1,2,0,Match Report
Y,31,Mon,Premier League,Matchweek 33,Away,L 0-6,Everton,Chelsea,CM,45,0,0,0,0,0,0,1,0,31,1,1,1,0.0,0.0,0.1,1,0,21,27,77.8,1,6,0,0,0,Match Report
N,32,Sun,Premier League,Matchweek 34,Home,W 2-0,Everton,Nott'ham Forest,CM,24,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,4,8,50.0,0,4,1,0,0,Match Report
Y,33,Wed,Premier League,Matchweek 29,Home,W 2-0,Everton,Liverpool,CM,90,0,0,0,0,0,0,0,0,23,2,2,1,0.0,0.0,0.0,0,0,9,15,60.0,0,10,1,3,1,Match Report
Y,34,Sat,Premier League,Matchweek 35,Home,W 1-0,Everton,Brentford,CM,90,0,0,0,0,2,0,0,0,46,1,0,1,0.1,0.1,0.0,5,0,35,40,87.5,2,36,2,1,1,Match Report
Y,35,Fri,Premier League,Matchweek 36,Away,D 1-1,Everton,Luton Town,CM,54,0,0,0,0,2,0,1,0,34,3,0,0,0.1,0.1,0.0,2,0,22,28,78.6,2,11,0,0,0,Match Report
