game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sat,Premier League,Matchweek 1,Home,L 0-1,Everton,Fulham,CB,90,0,0,0,0,1,0,0,0,46,0,4,1,0.0,0.0,0.0,0,0,27,36,75.0,5,32,0,0,0,Match Report
Y,2,Sun,Premier League,Matchweek 2,Away,L 0-4,Everton,Aston Villa,CB,90,0,0,0,0,1,0,0,0,46,0,3,2,0.2,0.2,0.0,0,0,34,40,85.0,1,35,0,1,1,Match Report
Y,3,Sat,Premier League,Matchweek 3,Home,L 0-1,Everton,Wolves,CB,90,0,0,0,0,1,0,0,0,65,2,3,2,0.2,0.2,0.0,0,0,43,51,84.3,5,40,1,0,0,Match Report
Y,4,Sat,Premier League,Matchweek 4,Away,D 2-2,Everton,Sheffield Utd,CB,89,0,0,0,0,0,0,0,0,64,3,1,2,0.0,0.0,0.0,0,0,44,54,81.5,3,45,0,0,0,Match Report
Y,5,Sun,Premier League,Matchweek 5,Home,L 0-1,Everton,Arsenal,CB,90,0,0,0,0,0,0,0,0,35,1,1,3,0.0,0.0,0.0,0,0,17,26,65.4,1,14,0,0,0,Match Report
Y,6,Sat,Premier League,Matchweek 6,Away,W 3-1,Everton,Brentford,CB,90,1,1,0,0,2,1,0,0,52,0,0,1,0.3,0.3,0.3,4,1,33,43,76.7,6,23,0,0,0,Match Report
Y,7,Sat,Premier League,Matchweek 7,Home,L 1-2,Everton,Luton Town,CB,90,0,0,0,0,0,0,0,0,78,1,0,2,0.0,0.0,0.1,2,0,56,68,82.4,9,34,0,1,1,Match Report
Y,8,Sat,Premier League,Matchweek 8,Home,W 3-0,Everton,Bournemouth,CB,90,0,0,0,0,0,0,0,0,66,3,1,3,0.0,0.0,0.0,2,0,37,50,74.0,1,33,0,0,0,Match Report
Y,9,Sat,Premier League,Matchweek 9,Away,L 0-2,Everton,Liverpool,CB,90,0,0,0,0,0,0,1,0,32,1,1,5,0.0,0.0,0.0,2,0,16,23,69.6,0,5,0,0,0,Match Report
Y,10,Sun,Premier League,Matchweek 10,Away,W 1-0,Everton,West Ham,CB,90,0,0,0,0,1,0,0,0,48,0,1,1,0.0,0.0,0.0,0,0,33,42,78.6,2,19,0,1,1,Match Report
Y,11,Sat,Premier League,Matchweek 11,Home,D 1-1,Everton,Brighton,CB,90,0,0,0,0,3,1,1,0,24,0,1,1,0.2,0.2,0.0,0,0,11,15,73.3,1,5,1,1,1,Match Report
Y,12,Sat,Premier League,Matchweek 12,Away,W 3-2,Everton,Crystal Palace,CB,90,0,0,0,0,0,0,0,0,52,5,2,3,0.0,0.0,0.0,0,0,22,31,71.0,3,20,0,1,1,Match Report
Y,13,Sun,Premier League,Matchweek 13,Home,L 0-3,Everton,Manchester Utd,CB,90,0,0,0,0,1,0,0,0,62,2,3,0,0.1,0.1,0.1,3,0,44,56,78.6,8,38,1,0,0,Match Report
Y,14,Sat,Premier League,Matchweek 14,Away,W 1-0,Everton,Nott'ham Forest,CB,90,0,0,0,0,1,0,0,0,54,1,1,0,0.1,0.1,0.0,2,0,24,40,60.0,6,17,1,0,0,Match Report
Y,15,Thu,Premier League,Matchweek 15,Home,W 3-0,Everton,Newcastle Utd,CB,90,0,0,0,0,1,0,0,0,39,2,4,4,0.0,0.0,0.0,2,1,14,21,66.7,2,13,1,0,0,Match Report
Y,16,Sun,Premier League,Matchweek 16,Home,W 2-0,Everton,Chelsea,CB,90,0,0,0,0,0,0,0,0,34,0,2,2,0.0,0.0,0.0,1,0,15,23,65.2,2,12,0,2,1,Match Report
Y,17,Sat,Premier League,Matchweek 17,Away,W 2-0,Everton,Burnley,CB,90,0,0,0,0,0,0,0,0,57,0,1,2,0.0,0.0,0.1,1,0,33,48,68.8,5,30,0,0,0,Match Report
Y,18,Sat,Premier League,Matchweek 18,Away,L 1-2,Everton,Tottenham,CB,90,0,0,0,0,0,0,0,0,54,3,2,2,0.0,0.0,0.0,0,0,26,44,59.1,1,22,0,0,0,Match Report
Y,19,Wed,Premier League,Matchweek 19,Home,L 1-3,Everton,Manchester City,CB,90,0,0,0,0,1,0,0,0,47,2,1,1,0.0,0.0,0.0,0,0,21,32,65.6,0,24,0,1,0,Match Report
Y,20,Sat,Premier League,Matchweek 20,Away,L 0-3,Everton,Wolves,CB,90,0,0,0,0,1,0,1,0,69,1,3,3,0.1,0.1,0.1,1,0,43,55,78.2,4,25,1,2,2,Match Report
Y,21,Sun,Premier League,Matchweek 21,Home,D 0-0,Everton,Aston Villa,CB,90,0,0,0,0,1,0,1,0,45,3,1,1,0.1,0.1,0.0,0,0,22,31,71.0,4,9,0,0,0,Match Report
Y,22,Tue,Premier League,Matchweek 22,Away,D 0-0,Everton,Fulham,CB,90,0,0,0,0,1,0,0,0,43,1,1,3,0.2,0.2,0.3,3,0,19,26,73.1,3,13,0,0,0,Match Report
Y,23,Sat,Premier League,Matchweek 23,Home,D 2-2,Everton,Tottenham,CB,90,0,0,0,0,0,0,0,0,62,1,3,2,0.0,0.0,0.7,2,0,35,50,70.0,3,27,0,0,0,Match Report
Y,24,Sat,Premier League,Matchweek 24,Away,L 0-2,Everton,Manchester City,CB,90,0,0,0,0,0,0,0,0,55,1,1,3,0.0,0.0,0.0,0,0,33,38,86.8,1,24,0,2,1,Match Report
Y,25,Mon,Premier League,Matchweek 25,Home,D 1-1,Everton,Crystal Palace,CB,90,0,0,0,0,2,1,0,0,94,2,5,4,0.4,0.4,0.0,2,0,63,76,82.9,9,46,0,1,1,Match Report
Y,26,Sat,Premier League,Matchweek 26,Away,D 1-1,Everton,Brighton,CB,90,0,0,0,0,0,0,1,0,59,2,1,5,0.0,0.0,0.1,2,0,37,43,86.0,3,30,0,3,2,Match Report
Y,27,Sat,Premier League,Matchweek 27,Home,L 1-3,Everton,West Ham,CB,90,0,0,0,0,0,0,0,0,76,3,1,2,0.0,0.0,0.0,1,0,53,63,84.1,9,41,7,0,0,Match Report
Y,28,Sat,Premier League,Matchweek 28,Away,L 0-2,Everton,Manchester Utd,CB,90,0,0,0,0,3,0,0,0,64,0,2,4,0.3,0.3,0.0,2,0,50,53,94.3,9,33,1,1,1,Match Report
Y,29,Sat,Premier League,Matchweek 30,Away,L 1-2,Everton,Bournemouth,CB,90,0,0,0,0,0,0,1,0,53,3,0,1,0.0,0.0,0.4,2,0,34,41,82.9,4,15,0,2,2,Match Report
Y,30,Tue,Premier League,Matchweek 31,Away,D 1-1,Everton,Newcastle Utd,CB,90,0,0,0,0,1,0,1,0,44,6,0,1,0.3,0.3,0.0,0,0,26,33,78.8,3,24,0,0,0,Match Report
Y,31,Sat,Premier League,Matchweek 32,Home,W 1-0,Everton,Burnley,CB,90,0,0,0,0,0,0,1,0,48,0,0,0,0.0,0.0,0.0,0,0,27,43,62.8,0,15,0,0,0,Match Report
