game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sat,Premier League,Matchweek 3,Home,L 0-1,Everton,Wolves,CB,90,0,0,0,0,3,1,1,0,69,1,2,1,0.2,0.2,0.0,0,0,48,58,82.8,3,38,0,0,0,Match Report
Y,2,Sat,Premier League,Matchweek 4,Away,D 2-2,Everton,Sheffield Utd,CB,90,0,0,0,0,0,0,1,0,57,3,2,0,0.0,0.0,0.0,1,0,41,47,87.2,5,29,0,0,0,Match Report
Y,3,Sun,Premier League,Matchweek 5,Home,L 0-1,Everton,Arsenal,CB,90,0,0,0,0,0,0,0,0,42,1,2,2,0.0,0.0,0.0,0,0,25,30,83.3,0,25,0,1,1,Match Report
Y,4,Sat,Premier League,Matchweek 6,Away,W 3-1,Everton,Brentford,CB,90,0,0,0,0,0,0,1,0,68,2,2,1,0.0,0.0,0.0,1,0,46,58,79.3,4,31,0,0,0,Match Report
Y,5,Sat,Premier League,Matchweek 7,Home,L 1-2,Everton,Luton Town,CB,90,0,0,0,0,0,0,0,0,65,4,2,0,0.0,0.0,0.0,1,0,46,55,83.6,4,29,0,0,0,Match Report
Y,6,Sat,Premier League,Matchweek 8,Home,W 3-0,Everton,Bournemouth,CB,90,0,0,0,0,0,0,0,0,37,2,0,4,0.0,0.0,0.1,2,1,22,27,81.5,0,16,0,0,0,Match Report
Y,7,Sat,Premier League,Matchweek 9,Away,L 0-2,Everton,Liverpool,"CB,LB",90,0,0,0,0,0,0,0,0,39,2,3,1,0.0,0.0,0.0,1,0,11,19,57.9,1,4,0,1,0,Match Report
Y,8,Sun,Premier League,Matchweek 10,Away,W 1-0,Everton,West Ham,CB,90,0,0,0,0,0,0,0,0,64,2,2,4,0.0,0.0,0.0,1,0,33,46,71.7,1,25,0,0,0,Match Report
Y,9,Sat,Premier League,Matchweek 11,Home,D 1-1,Everton,Brighton,CB,90,0,0,0,0,0,0,1,0,23,3,1,3,0.0,0.0,0.0,0,0,8,14,57.1,1,5,0,0,0,Match Report
Y,10,Sat,Premier League,Matchweek 12,Away,W 3-2,Everton,Crystal Palace,CB,90,0,0,0,0,0,0,0,0,44,1,1,2,0.0,0.0,0.0,0,0,24,32,75.0,2,21,0,0,0,Match Report
Y,11,Sun,Premier League,Matchweek 13,Home,L 0-3,Everton,Manchester Utd,CB,90,0,0,0,0,0,0,0,0,68,3,3,1,0.0,0.0,0.0,0,0,43,55,78.2,4,28,0,0,0,Match Report
Y,12,Sat,Premier League,Matchweek 14,Away,W 1-0,Everton,Nott'ham Forest,CB,90,0,0,0,0,0,0,0,0,47,1,1,0,0.0,0.0,0.0,0,0,26,37,70.3,2,19,0,0,0,Match Report
Y,13,Thu,Premier League,Matchweek 15,Home,W 3-0,Everton,Newcastle Utd,CB,90,0,0,0,0,1,0,0,0,47,1,1,0,0.2,0.2,0.8,1,0,27,35,77.1,1,20,0,0,0,Match Report
Y,14,Sun,Premier League,Matchweek 16,Home,W 2-0,Everton,Chelsea,CB,90,0,0,0,0,0,0,1,0,35,4,3,0,0.0,0.0,0.0,0,0,17,24,70.8,1,13,0,0,0,Match Report
Y,15,Sat,Premier League,Matchweek 18,Away,L 1-2,Everton,Tottenham,CB,90,0,0,0,0,1,0,0,0,47,1,1,1,0.0,0.0,0.0,2,0,32,41,78.0,1,19,0,1,1,Match Report
Y,16,Wed,Premier League,Matchweek 19,Home,L 1-3,Everton,Manchester City,CB,90,0,0,0,0,0,0,1,0,47,1,2,1,0.0,0.0,0.0,0,0,34,37,91.9,0,27,0,1,1,Match Report
Y,17,Sat,Premier League,Matchweek 20,Away,L 0-3,Everton,Wolves,CB,90,0,0,0,0,1,0,0,0,60,2,2,0,0.0,0.0,0.0,2,0,40,46,87.0,3,18,0,0,0,Match Report
Y,18,Sun,Premier League,Matchweek 21,Home,D 0-0,Everton,Aston Villa,CB,90,0,0,0,0,0,0,0,0,37,4,2,0,0.0,0.0,0.0,2,0,19,26,73.1,2,14,0,0,0,Match Report
Y,19,Tue,Premier League,Matchweek 22,Away,D 0-0,Everton,Fulham,CB,90,0,0,0,0,0,0,1,0,52,3,1,3,0.0,0.0,0.0,0,0,21,34,61.8,0,19,0,0,0,Match Report
Y,20,Sat,Premier League,Matchweek 23,Home,D 2-2,Everton,Tottenham,CB,90,1,0,0,0,1,1,0,0,42,0,2,0,0.9,0.9,0.0,0,0,31,37,83.8,0,19,0,0,0,Match Report
Y,21,Sat,Premier League,Matchweek 24,Away,L 0-2,Everton,Manchester City,CB,90,0,0,0,0,0,0,0,0,48,4,0,2,0.0,0.0,0.0,0,0,28,36,77.8,1,25,0,1,1,Match Report
Y,22,Mon,Premier League,Matchweek 25,Home,D 1-1,Everton,Crystal Palace,CB,90,0,0,0,0,0,0,0,0,72,2,4,1,0.0,0.0,0.0,0,0,56,63,88.9,2,32,0,0,0,Match Report
Y,23,Sat,Premier League,Matchweek 26,Away,D 1-1,Everton,Brighton,CB,90,1,0,0,0,1,1,0,0,47,1,1,3,0.1,0.1,0.0,0,0,28,33,84.8,1,22,0,1,0,Match Report
Y,24,Sat,Premier League,Matchweek 27,Home,L 1-3,Everton,West Ham,CB,90,0,0,0,0,0,0,0,0,79,0,1,1,0.0,0.0,0.0,1,0,55,72,76.4,5,37,1,0,0,Match Report
Y,25,Sat,Premier League,Matchweek 28,Away,L 0-2,Everton,Manchester Utd,CB,90,0,0,0,0,0,0,0,0,64,2,0,0,0.0,0.0,0.0,1,0,44,56,78.6,3,40,1,1,1,Match Report
Y,26,Sat,Premier League,Matchweek 30,Away,L 1-2,Everton,Bournemouth,CB,90,0,0,0,0,0,0,0,0,54,2,1,1,0.0,0.0,0.0,2,1,34,42,81.0,6,13,0,0,0,Match Report
Y,27,Tue,Premier League,Matchweek 31,Away,D 1-1,Everton,Newcastle Utd,CB,90,0,0,0,0,0,0,0,0,45,0,0,2,0.0,0.0,0.0,0,0,25,32,78.1,4,18,0,0,0,Match Report
Y,28,Sat,Premier League,Matchweek 32,Home,W 1-0,Everton,Burnley,CB,90,0,0,0,0,1,0,0,0,36,1,3,1,0.0,0.0,0.0,2,0,19,25,76.0,0,12,0,0,0,Match Report
Y,29,Mon,Premier League,Matchweek 33,Away,L 0-6,Everton,Chelsea,CB,56,0,0,0,0,2,0,0,0,31,2,1,0,0.1,0.1,0.0,0,0,21,26,80.8,2,16,0,0,0,Match Report
Y,30,Sun,Premier League,Matchweek 34,Home,W 2-0,Everton,Nott'ham Forest,CB,90,0,0,0,0,1,0,1,0,62,3,2,1,0.0,0.0,0.0,1,1,40,46,87.0,3,25,0,0,0,Match Report
Y,31,Wed,Premier League,Matchweek 29,Home,W 2-0,Everton,Liverpool,CB,90,1,0,0,0,2,1,0,0,35,1,0,4,0.1,0.1,0.0,1,0,10,18,55.6,0,5,0,0,0,Match Report
Y,32,Sat,Premier League,Matchweek 35,Home,W 1-0,Everton,Brentford,CB,90,0,0,0,0,0,0,0,0,56,1,1,3,0.0,0.0,0.0,0,0,37,43,86.0,5,33,0,1,0,Match Report
Y,33,Fri,Premier League,Matchweek 36,Away,D 1-1,Everton,Luton Town,CB,90,0,0,0,0,0,0,0,0,68,1,1,2,0.0,0.0,0.1,3,1,49,57,86.0,2,24,0,0,0,Match Report
Y,34,Sat,Premier League,Matchweek 37,Home,W 1-0,Everton,Sheffield Utd,CB,90,0,0,0,0,0,0,0,0,64,4,0,0,0.0,0.0,0.0,0,0,46,53,86.8,3,29,0,0,0,Match Report
Y,35,Sun,Premier League,Matchweek 38,Away,L 1-2,Everton,Arsenal,CB,90,0,0,0,0,0,0,0,0,40,1,0,6,0.0,0.0,0.0,0,0,19,25,76.0,2,9,0,0,0,Match Report
