game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,0,20,0,0,0,0,0,0,0,0,3,0,0,0,0,0,Sat,Premier League,Matchweek 3,Away,D 1-1,Crystal Palace,Brentford,FW,0,0,0,5,0,0.0,0.0,0.0,0,0,2,66.7,1,4,0,0,0,Match Report
N,2,0,20,0,0,0,0,0,0,0,0,7,0,0,0,2,0,Sun,Premier League,Matchweek 4,Home,W 3-2,Crystal Palace,Wolves,FW,0,0,0,11,0,0.0,0.0,0.7,3,2,6,85.7,1,7,0,0,0,Match Report
N,3,0,66,0,0,1,0,0,0,0,0,12,0,0,0,1,0,Sat,Premier League,Matchweek 5,Away,L 1-3,Crystal Palace,Aston Villa,FW,0,0,0,22,0,0.0,0.0,0.3,2,1,7,58.3,1,15,1,3,0,Match Report
N,4,0,21,0,0,0,0,0,1,0,1,7,0,0,0,0,0,Sat,Premier League,Matchweek 6,Home,D 0-0,Crystal Palace,Fulham,FW,0,0,0,10,0,0.1,0.1,0.0,1,0,3,42.9,0,6,0,0,0,Match Report
Y,5,0,90,0,0,2,0,0,0,0,0,10,0,0,0,0,0,Sat,Premier League,Matchweek 7,Away,W 1-0,Crystal Palace,Manchester Utd,FW,0,0,0,20,1,0.0,0.0,0.2,2,0,7,70.0,1,18,1,1,0,Match Report
Y,6,0,90,0,0,1,0,0,2,0,1,11,0,0,0,0,0,Sat,Premier League,Matchweek 8,Home,D 0-0,Crystal Palace,Nott'ham Forest,FW,0,0,0,20,0,0.2,0.2,0.0,0,0,8,72.7,0,10,0,2,1,Match Report
Y,7,0,60,0,0,0,0,0,1,0,0,14,1,0,0,0,1,Sat,Premier League,Matchweek 9,Away,L 0-4,Crystal Palace,Newcastle Utd,FW,0,0,0,21,1,0.1,0.1,0.0,0,0,8,57.1,0,8,0,1,1,Match Report
N,8,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Fri,Premier League,Matchweek 10,Home,L 1-2,Crystal Palace,Tottenham,FW,0,0,0,3,0,0.0,0.0,0.1,1,0,2,100.0,1,2,0,1,1,Match Report
N,9,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Sat,Premier League,Matchweek 12,Home,L 2-3,Crystal Palace,Everton,FW,0,0,0,2,0,0.0,0.0,0.0,0,0,2,100.0,0,0,0,0,0,Match Report
N,10,0,11,0,0,0,0,0,1,0,1,10,0,0,0,0,0,Sat,Premier League,Matchweek 13,Away,L 1-2,Crystal Palace,Luton Town,FW,0,0,0,12,0,0.1,0.1,0.2,2,0,8,80.0,0,3,0,0,0,Match Report
N,11,0,4,0,0,1,0,0,0,0,0,3,0,0,0,0,0,Sun,Premier League,Matchweek 14,Away,D 1-1,Crystal Palace,West Ham,FW,0,0,0,5,0,0.0,0.0,0.0,0,0,1,33.3,0,3,0,1,1,Match Report
N,12,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,Wed,Premier League,Matchweek 15,Home,L 0-2,Crystal Palace,Bournemouth,DM,0,0,0,4,0,0.0,0.0,0.0,0,0,2,100.0,0,3,0,0,0,Match Report
N,13,0,45,0,0,0,0,0,1,0,0,6,0,0,1,0,0,Sat,Premier League,Matchweek 16,Home,L 1-2,Crystal Palace,Liverpool,FW,1,1,0,12,0,0.9,0.1,0.1,2,1,5,83.3,0,9,1,1,0,Match Report
Y,14,0,90,0,0,1,0,0,1,0,1,15,0,0,1,0,0,Sat,Premier League,Matchweek 17,Away,D 2-2,Crystal Palace,Manchester City,FW,0,0,0,21,0,0.9,0.9,0.0,3,2,13,86.7,2,9,0,4,2,Match Report
Y,15,0,90,0,0,1,0,0,4,0,1,20,0,0,0,0,1,Thu,Premier League,Matchweek 18,Home,D 1-1,Crystal Palace,Brighton,FW,0,0,0,34,0,0.2,0.2,0.3,6,0,12,60.0,2,19,3,5,3,Match Report
Y,16,0,90,0,0,1,0,0,1,0,1,18,0,0,0,0,0,Wed,Premier League,Matchweek 19,Away,L 1-2,Crystal Palace,Chelsea,FW,0,0,0,32,2,0.1,0.1,0.1,6,0,14,77.8,0,25,3,8,4,Match Report
Y,17,0,85,0,0,1,0,0,0,0,0,31,0,0,0,0,0,Sat,Premier League,Matchweek 20,Home,W 3-1,Crystal Palace,Brentford,FW,0,0,0,42,0,0.0,0.0,0.1,5,0,25,80.6,2,31,1,1,1,Match Report
Y,18,0,90,0,0,0,0,0,0,0,0,14,1,0,0,0,0,Sat,Premier League,Matchweek 21,Away,L 0-5,Crystal Palace,Arsenal,FW,0,0,0,29,2,0.0,0.0,0.0,1,0,11,78.6,1,15,1,6,2,Match Report
