game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,90,0,0,3,0,0,2,0,2,86,0,0,0,0,0,Sat,Premier League,Matchweek 1,Away,W 1-0,Crystal Palace,Sheffield Utd,CB,0,0,0,99,1,0.2,0.2,0.1,5,0,78,90.7,10,69,4,2,2,Match Report
Y,2,0,90,0,0,1,0,0,0,0,0,73,1,0,0,0,0,Mon,Premier League,Matchweek 2,Home,L 0-1,Crystal Palace,Arsenal,CB,0,0,0,80,1,0.0,0.0,0.0,2,0,63,86.3,10,43,1,1,1,Match Report
Y,3,0,90,0,0,3,0,0,1,0,1,53,1,0,1,0,0,Sat,Premier League,Matchweek 3,Away,D 1-1,Crystal Palace,Brentford,CB,0,0,0,72,2,0.1,0.1,0.1,7,1,40,75.5,9,39,0,1,1,Match Report
Y,4,0,90,0,0,1,0,0,0,0,0,64,2,0,0,0,0,Sun,Premier League,Matchweek 4,Home,W 3-2,Crystal Palace,Wolves,CB,0,0,0,74,1,0.0,0.0,0.0,1,0,48,75.0,9,43,2,0,0,Match Report
Y,5,0,90,0,0,0,0,0,0,0,0,34,1,0,0,0,0,Sat,Premier League,Matchweek 5,Away,L 1-3,Crystal Palace,Aston Villa,CB,0,0,0,44,1,0.0,0.0,0.4,1,0,22,64.7,3,18,1,0,0,Match Report
Y,6,0,90,0,0,1,0,0,1,0,0,71,0,0,0,0,0,Sat,Premier League,Matchweek 6,Home,D 0-0,Crystal Palace,Fulham,CB,0,0,0,76,0,0.1,0.1,0.0,0,0,60,84.5,3,46,0,1,1,Match Report
Y,7,0,90,0,0,2,0,0,3,0,1,24,1,0,1,0,0,Sat,Premier League,Matchweek 7,Away,W 1-0,Crystal Palace,Manchester Utd,CB,0,0,0,44,3,0.4,0.4,0.2,2,0,16,66.7,2,7,0,1,1,Match Report
Y,8,0,90,0,0,1,0,0,0,0,0,115,0,0,0,0,0,Sat,Premier League,Matchweek 8,Home,D 0-0,Crystal Palace,Nott'ham Forest,CB,0,0,0,124,2,0.0,0.0,0.3,1,0,100,87.0,9,84,0,2,1,Match Report
Y,9,0,90,0,0,1,0,0,0,0,0,43,2,0,0,0,0,Sat,Premier League,Matchweek 9,Away,L 0-4,Crystal Palace,Newcastle Utd,CB,0,0,0,51,0,0.0,0.0,0.0,0,0,35,81.4,2,29,0,0,0,Match Report
Y,10,0,90,0,0,1,0,0,2,0,0,34,0,0,0,1,1,Fri,Premier League,Matchweek 10,Home,L 1-2,Crystal Palace,Tottenham,CB,0,0,0,48,1,0.1,0.1,0.1,2,1,22,64.7,3,19,1,0,0,Match Report
Y,11,0,90,0,0,2,0,0,1,0,1,46,3,0,0,0,1,Sat,Premier League,Matchweek 11,Away,W 2-0,Crystal Palace,Burnley,CB,0,0,0,60,1,0.0,0.0,0.0,0,0,37,80.4,1,36,0,1,0,Match Report
Y,12,0,90,0,0,1,0,0,0,0,0,122,2,0,0,0,0,Sat,Premier League,Matchweek 12,Home,L 2-3,Crystal Palace,Everton,CB,0,0,0,133,1,0.0,0.0,0.0,1,0,113,92.6,8,91,3,0,0,Match Report
Y,13,0,90,0,0,1,0,0,1,0,1,71,0,0,0,0,0,Sat,Premier League,Matchweek 13,Away,L 1-2,Crystal Palace,Luton Town,CB,0,0,0,77,0,0.1,0.1,0.0,1,0,51,71.8,0,40,1,0,0,Match Report
Y,14,0,90,0,0,4,0,0,1,0,0,82,0,0,0,0,0,Sun,Premier League,Matchweek 14,Away,D 1-1,Crystal Palace,West Ham,CB,0,0,0,93,2,0.0,0.0,0.1,1,0,60,73.2,9,53,1,2,0,Match Report
Y,15,0,90,0,0,1,0,0,0,0,0,49,2,0,0,0,0,Wed,Premier League,Matchweek 15,Home,L 0-2,Crystal Palace,Bournemouth,CB,0,0,0,57,1,0.0,0.0,0.0,0,0,36,73.5,1,28,0,2,1,Match Report
Y,16,0,90,0,0,2,0,0,1,0,1,20,0,0,0,0,1,Sat,Premier League,Matchweek 16,Home,L 1-2,Crystal Palace,Liverpool,CB,0,0,0,29,2,0.2,0.2,0.0,1,0,11,55.0,2,14,0,1,1,Match Report
Y,17,0,90,0,0,0,0,0,0,0,0,47,2,0,0,0,1,Sat,Premier League,Matchweek 17,Away,D 2-2,Crystal Palace,Manchester City,CB,0,0,0,56,1,0.0,0.0,0.0,0,0,36,76.6,0,24,0,2,0,Match Report
Y,18,0,90,0,0,3,0,0,0,0,0,59,1,0,0,0,0,Thu,Premier League,Matchweek 18,Home,D 1-1,Crystal Palace,Brighton,CB,0,0,0,66,1,0.0,0.0,0.0,1,0,46,78.0,3,29,0,2,2,Match Report
Y,19,0,90,0,0,1,0,0,1,0,1,53,1,0,0,0,0,Wed,Premier League,Matchweek 19,Away,L 1-2,Crystal Palace,Chelsea,CB,0,0,0,63,1,0.0,0.0,0.0,1,0,40,75.5,5,29,0,0,0,Match Report
Y,20,0,90,0,0,1,0,0,1,0,0,52,2,0,0,0,0,Sat,Premier League,Matchweek 20,Home,W 3-1,Crystal Palace,Brentford,CB,0,0,0,61,0,0.1,0.1,0.0,1,0,40,76.9,6,36,1,0,0,Match Report
Y,21,0,90,0,0,1,0,0,1,0,0,59,1,0,0,0,0,Sat,Premier League,Matchweek 21,Away,L 0-5,Crystal Palace,Arsenal,CB,0,0,0,73,1,0.0,0.0,0.0,1,0,46,78.0,4,35,0,0,0,Match Report
Y,22,0,90,0,0,0,0,0,1,0,0,74,0,0,0,0,0,Tue,Premier League,Matchweek 22,Home,W 3-2,Crystal Palace,Sheffield Utd,CB,0,0,0,79,0,0.0,0.0,0.0,0,0,62,83.8,6,50,4,0,0,Match Report
Y,23,0,90,0,0,0,0,0,0,0,0,73,2,0,0,1,0,Sat,Premier League,Matchweek 23,Away,L 1-4,Crystal Palace,Brighton,CB,0,0,0,77,0,0.0,0.0,0.0,1,1,60,82.2,1,53,0,0,0,Match Report
Y,24,0,90,0,0,0,0,0,0,0,0,30,4,0,0,0,0,Mon,Premier League,Matchweek 24,Home,L 1-3,Crystal Palace,Chelsea,CB,0,0,0,41,2,0.0,0.0,0.0,1,0,15,50.0,1,22,0,0,0,Match Report
Y,25,0,90,0,0,2,0,0,0,0,0,37,0,0,0,0,0,Mon,Premier League,Matchweek 25,Away,D 1-1,Crystal Palace,Everton,CB,0,0,0,51,1,0.0,0.0,0.0,1,0,25,67.6,2,18,0,0,0,Match Report
Y,26,0,89,0,0,0,0,0,0,0,0,80,2,0,0,0,0,Sat,Premier League,Matchweek 26,Home,W 3-0,Crystal Palace,Burnley,CB,0,0,0,86,0,0.0,0.0,0.0,0,0,63,78.8,6,48,0,1,0,Match Report
Y,27,0,90,0,0,1,0,0,0,0,0,27,0,0,0,0,0,Sat,Premier League,Matchweek 27,Away,L 1-3,Crystal Palace,Tottenham,CB,0,0,0,36,1,0.0,0.0,0.0,0,0,22,81.5,1,14,0,0,0,Match Report
Y,28,0,90,0,0,1,0,0,1,0,0,50,3,0,0,0,0,Sat,Premier League,Matchweek 28,Home,D 1-1,Crystal Palace,Luton Town,CB,0,0,0,63,1,0.1,0.1,0.3,3,0,41,82.0,5,29,1,1,1,Match Report
Y,29,0,90,0,0,3,0,0,0,0,0,45,3,0,0,0,0,Sat,Premier League,Matchweek 30,Away,D 1-1,Crystal Palace,Nott'ham Forest,CB,0,0,0,62,0,0.0,0.0,0.0,0,0,35,77.8,1,27,1,0,0,Match Report
Y,30,0,90,0,0,2,0,0,1,0,0,48,0,0,0,0,1,Tue,Premier League,Matchweek 31,Away,L 0-1,Crystal Palace,Bournemouth,CB,0,0,0,58,0,0.0,0.0,0.0,0,0,32,66.7,5,19,0,0,0,Match Report
Y,31,0,90,0,0,4,0,0,0,0,0,42,0,0,0,0,0,Sat,Premier League,Matchweek 32,Home,L 2-4,Crystal Palace,Manchester City,CB,0,0,0,61,1,0.0,0.0,0.0,1,0,34,81.0,1,34,0,1,1,Match Report
Y,32,0,90,0,0,1,0,0,0,0,0,38,1,0,0,0,0,Sun,Premier League,Matchweek 33,Away,W 1-0,Crystal Palace,Liverpool,CB,0,0,0,53,0,0.0,0.0,0.6,1,0,25,65.8,2,18,0,0,0,Match Report
Y,33,0,90,0,0,2,0,0,1,0,0,84,0,0,0,1,0,Sun,Premier League,Matchweek 34,Home,W 5-2,Crystal Palace,West Ham,CB,0,0,0,93,0,0.3,0.3,0.3,3,1,69,82.1,2,47,0,1,1,Match Report
Y,34,0,90,0,0,2,0,0,1,0,0,57,0,0,0,0,0,Wed,Premier League,Matchweek 29,Home,W 2-0,Crystal Palace,Newcastle Utd,CB,0,0,0,67,1,0.1,0.1,0.0,2,0,40,70.2,3,21,0,1,0,Match Report
Y,35,0,90,0,0,3,0,0,0,0,0,61,3,0,0,0,1,Sat,Premier League,Matchweek 35,Away,D 1-1,Crystal Palace,Fulham,CB,0,0,0,71,1,0.0,0.0,0.0,0,0,45,73.8,4,33,0,0,0,Match Report
Y,36,0,90,0,0,1,0,0,0,0,0,63,0,0,0,0,0,Mon,Premier League,Matchweek 36,Home,W 4-0,Crystal Palace,Manchester Utd,CB,0,0,0,68,0,0.0,0.0,0.0,1,0,47,74.6,1,38,0,0,0,Match Report
Y,37,0,90,0,0,2,0,0,0,0,0,57,1,0,0,0,0,Sat,Premier League,Matchweek 37,Away,W 3-1,Crystal Palace,Wolves,CB,0,0,0,71,2,0.0,0.0,0.2,2,0,44,77.2,4,29,0,0,0,Match Report
Y,38,0,86,0,0,1,0,0,0,0,0,86,0,0,0,0,1,Sun,Premier League,Matchweek 38,Home,W 5-0,Crystal Palace,Aston Villa,CB,0,0,0,92,0,0.0,0.0,0.0,2,1,72,83.7,3,55,0,0,0,Match Report
