game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Sat,Premier League,Matchweek 2,Home,L 0-3,Fulham,Brentford,CM,24,0,0,0,0,0,0,1,0,24,1,1,0,0.0,0.0,0.0,1,0,19,20,95.0,3,17,0,0,0,Match Report
Y,2,Sat,Premier League,Matchweek 3,Away,D 2-2,Fulham,Arsenal,"CM,CB",90,1,0,0,0,2,1,0,0,48,6,1,2,0.1,0.1,0.0,0,0,27,33,81.8,1,19,0,0,0,Match Report
Y,3,Sat,Premier League,Matchweek 5,Home,W 1-0,Fulham,Luton Town,CM,90,0,0,0,0,3,0,0,0,96,5,1,2,0.1,0.1,0.0,2,0,73,82,89.0,6,55,0,0,0,Match Report
Y,4,Sat,Premier League,Matchweek 6,Away,D 0-0,Fulham,Crystal Palace,CM,90,0,0,0,0,1,0,1,0,44,5,2,2,0.1,0.1,0.0,0,0,24,31,77.4,2,19,0,1,1,Match Report
Y,5,Mon,Premier League,Matchweek 7,Home,L 0-2,Fulham,Chelsea,CM,90,0,0,0,0,0,0,0,0,64,3,2,0,0.0,0.0,0.0,0,0,46,51,90.2,5,33,1,0,0,Match Report
Y,6,Sat,Premier League,Matchweek 8,Home,W 3-1,Fulham,Sheffield Utd,CM,90,0,0,0,0,1,0,1,0,65,8,3,5,0.0,0.0,0.0,0,0,30,44,68.2,2,28,0,0,0,Match Report
Y,7,Mon,Premier League,Matchweek 9,Away,L 0-2,Fulham,Tottenham,DM,81,0,0,0,0,2,1,0,0,48,7,1,3,0.1,0.1,0.0,0,0,27,33,81.8,2,27,0,2,0,Match Report
Y,8,Sun,Premier League,Matchweek 10,Away,D 1-1,Fulham,Brighton,DM,90,1,0,0,0,1,1,0,0,51,10,5,1,0.1,0.1,0.0,2,0,24,30,80.0,2,25,0,2,1,Match Report
Y,9,Sat,Premier League,Matchweek 11,Home,L 0-1,Fulham,Manchester Utd,DM,90,0,0,0,0,2,1,1,0,49,5,0,2,0.2,0.2,0.0,1,0,23,29,79.3,4,18,1,3,1,Match Report
Y,10,Sun,Premier League,Matchweek 12,Away,L 1-3,Fulham,Aston Villa,DM,90,0,0,0,0,0,0,1,0,55,2,1,2,0.0,0.0,0.0,1,0,37,45,82.2,1,31,1,0,0,Match Report
Y,11,Sun,Premier League,Matchweek 14,Away,L 3-4,Fulham,Liverpool,"DM,CM",90,0,0,0,0,2,1,0,0,51,5,4,3,0.1,0.1,0.0,0,0,23,29,79.3,2,22,1,0,0,Match Report
Y,12,Wed,Premier League,Matchweek 15,Home,W 5-0,Fulham,Nott'ham Forest,DM,78,0,0,0,0,0,0,0,0,58,7,1,2,0.0,0.0,0.0,1,0,37,44,84.1,3,25,0,0,0,Match Report
Y,13,Sun,Premier League,Matchweek 16,Home,W 5-0,Fulham,West Ham,DM,79,0,1,0,0,1,0,1,0,58,8,0,1,0.0,0.0,0.1,1,1,42,47,89.4,5,28,1,0,0,Match Report
Y,14,Sat,Premier League,Matchweek 17,Away,L 0-3,Fulham,Newcastle Utd,DM,76,0,0,0,0,1,1,1,0,23,4,1,3,0.0,0.0,0.0,0,0,12,15,80.0,0,9,0,0,0,Match Report
Y,15,Sat,Premier League,Matchweek 18,Home,L 0-2,Fulham,Burnley,DM,81,0,0,0,0,1,1,1,0,65,2,2,3,0.1,0.1,0.0,2,0,44,56,78.6,3,31,1,0,0,Match Report
Y,16,Tue,Premier League,Matchweek 19,Away,L 0-3,Fulham,Bournemouth,"DM,CM",90,0,0,0,0,0,0,0,0,61,4,1,1,0.0,0.0,0.0,0,0,44,51,86.3,3,35,0,0,0,Match Report
Y,17,Sun,Premier League,Matchweek 20,Home,W 2-1,Fulham,Arsenal,DM,90,0,0,0,0,1,0,0,0,47,2,2,2,0.0,0.0,0.0,2,1,30,37,81.1,2,25,0,2,1,Match Report
Y,18,Sat,Premier League,Matchweek 21,Away,L 0-1,Fulham,Chelsea,DM,82,0,0,0,0,0,0,0,0,42,6,2,1,0.0,0.0,0.0,0,0,21,27,77.8,2,17,1,1,1,Match Report
Y,19,Tue,Premier League,Matchweek 22,Home,D 0-0,Fulham,Everton,DM,90,0,0,0,0,4,1,1,0,63,3,1,2,0.3,0.3,0.0,0,0,35,45,77.8,3,22,0,4,3,Match Report
Y,20,Sat,Premier League,Matchweek 23,Away,D 2-2,Fulham,Burnley,DM,90,1,0,0,0,1,1,0,0,64,1,3,1,0.1,0.1,0.0,2,0,35,50,70.0,5,19,0,0,0,Match Report
Y,21,Sat,Premier League,Matchweek 24,Home,W 3-1,Fulham,Bournemouth,DM,90,0,0,0,0,0,0,0,0,57,7,1,2,0.0,0.0,0.0,0,0,31,42,73.8,1,20,0,1,0,Match Report
Y,22,Sat,Premier League,Matchweek 25,Home,L 1-2,Fulham,Aston Villa,DM,88,0,0,0,0,1,0,1,0,60,4,1,2,0.0,0.0,0.1,2,0,42,44,95.5,2,25,0,2,0,Match Report
