game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Sat,Premier League,Matchweek 2,Home,W 3-1,Liverpool,Bournemouth,RB,16,0,0,0,0,0,0,0,0,15,0,1,0,0.0,0.0,0.0,0,0,11,13,84.6,1,2,0,0,0,Match Report
N,2,Sun,Premier League,Matchweek 3,Away,W 2-1,Liverpool,Newcastle Utd,CB,58,0,0,0,0,1,0,0,0,41,0,1,1,0.0,0.0,0.0,1,0,27,30,90.0,1,23,0,0,0,Match Report
Y,3,Sun,Premier League,Matchweek 4,Home,W 3-0,Liverpool,Aston Villa,"CB,RB",90,0,0,0,0,1,0,0,0,118,1,2,1,0.1,0.1,0.0,2,0,103,109,94.5,4,95,0,2,0,Match Report
Y,4,Sat,Premier League,Matchweek 5,Away,W 3-1,Liverpool,Wolves,RB,90,0,0,0,0,0,0,0,0,90,3,1,0,0.0,0.0,0.0,2,0,68,80,85.0,5,48,1,1,0,Match Report
Y,5,Sun,Premier League,Matchweek 6,Home,W 3-1,Liverpool,West Ham,RB,90,0,0,0,0,0,0,0,0,84,3,2,2,0.0,0.0,0.1,3,0,58,69,84.1,6,53,2,3,2,Match Report
Y,6,Sat,Premier League,Matchweek 7,Away,L 1-2,Liverpool,Tottenham,RB,72,0,0,0,0,0,0,0,0,51,2,0,0,0.0,0.0,0.0,0,0,31,44,70.5,5,30,2,1,1,Match Report
N,7,Sun,Premier League,Matchweek 8,Away,D 2-2,Liverpool,Brighton,RB,11,0,0,0,0,0,0,1,0,9,2,0,0,0.0,0.0,0.0,1,0,6,7,85.7,0,5,0,0,0,Match Report
N,8,Sat,Premier League,Matchweek 9,Home,W 2-0,Liverpool,Everton,LB,10,0,0,0,0,2,0,0,0,24,1,0,0,0.1,0.1,0.0,2,0,19,20,95.0,2,17,4,0,0,Match Report
N,9,Sun,Premier League,Matchweek 10,Home,W 3-0,Liverpool,Nott'ham Forest,RB,2,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,1,2,0,0,0,Match Report
Y,10,Sun,Premier League,Matchweek 11,Away,D 1-1,Liverpool,Luton Town,LB,66,0,0,0,0,1,0,0,0,62,5,0,0,0.1,0.1,0.0,4,0,47,54,87.0,1,38,0,1,0,Match Report
N,11,Sun,Premier League,Matchweek 14,Home,W 4-3,Liverpool,Fulham,"CM,RB",26,0,0,0,0,0,0,0,0,25,0,1,2,0.0,0.0,0.0,2,0,20,23,87.0,3,15,1,0,0,Match Report
