game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sat,Premier League,Matchweek 1,Away,W 1-0,Crystal Palace,Sheffield Utd,RB,90,0,0,0,0,0,0,0,0,83,2,0,1,0.0,0.0,0.0,0,0,61,73,83.6,5,43,3,1,0,Match Report
Y,2,Mon,Premier League,Matchweek 2,Home,L 0-1,Crystal Palace,Arsenal,RB,82,0,0,0,0,0,0,0,0,35,1,1,1,0.0,0.0,0.0,0,0,23,27,85.2,3,13,1,1,1,Match Report
Y,3,Sat,Premier League,Matchweek 3,Away,D 1-1,Crystal Palace,Brentford,RB,90,0,0,0,0,0,0,0,0,45,3,0,2,0.0,0.0,0.0,1,0,27,34,79.4,1,19,1,1,1,Match Report
Y,4,Sun,Premier League,Matchweek 4,Home,W 3-2,Crystal Palace,Wolves,RB,90,0,0,0,0,1,0,1,0,54,3,0,0,0.0,0.0,0.0,1,1,29,41,70.7,6,16,0,0,0,Match Report
Y,5,Sat,Premier League,Matchweek 5,Away,L 1-3,Crystal Palace,Aston Villa,RB,90,0,0,0,0,1,0,1,0,38,2,1,2,0.4,0.4,0.0,0,0,20,30,66.7,1,12,1,0,0,Match Report
Y,6,Sat,Premier League,Matchweek 6,Home,D 0-0,Crystal Palace,Fulham,RB,90,0,0,0,0,1,0,0,0,71,1,0,0,0.0,0.0,0.0,0,0,54,67,80.6,6,35,1,1,0,Match Report
Y,7,Sat,Premier League,Matchweek 7,Away,W 1-0,Crystal Palace,Manchester Utd,RB,90,0,0,0,0,0,0,1,0,43,4,2,1,0.0,0.0,0.0,0,0,19,28,67.9,0,5,0,0,0,Match Report
Y,8,Sat,Premier League,Matchweek 9,Away,L 0-4,Crystal Palace,Newcastle Utd,RB,90,0,0,0,0,2,0,0,0,54,2,2,0,0.1,0.1,0.0,2,0,35,42,83.3,6,26,0,1,1,Match Report
Y,9,Fri,Premier League,Matchweek 10,Home,L 1-2,Crystal Palace,Tottenham,RB,90,0,0,0,0,2,0,0,0,44,4,0,0,0.1,0.1,0.0,3,1,27,35,77.1,2,6,0,1,0,Match Report
Y,10,Sat,Premier League,Matchweek 11,Away,W 2-0,Crystal Palace,Burnley,RB,69,0,0,0,0,0,0,0,0,46,4,0,0,0.0,0.0,0.0,0,0,28,37,75.7,1,19,0,0,0,Match Report
Y,11,Sat,Premier League,Matchweek 12,Home,L 2-3,Crystal Palace,Everton,RB,90,0,0,0,0,1,0,0,0,79,0,1,0,0.1,0.1,0.2,2,0,59,70,84.3,5,49,4,2,2,Match Report
Y,12,Sat,Premier League,Matchweek 13,Away,L 1-2,Crystal Palace,Luton Town,RB,90,0,1,0,0,0,0,0,0,72,3,0,1,0.0,0.0,0.1,5,1,48,63,76.2,3,33,1,0,0,Match Report
Y,13,Sun,Premier League,Matchweek 14,Away,D 1-1,Crystal Palace,West Ham,RB,90,0,0,0,0,1,0,0,0,64,1,1,1,0.0,0.0,0.0,0,0,45,56,80.4,3,30,1,0,0,Match Report
Y,14,Wed,Premier League,Matchweek 15,Home,L 0-2,Crystal Palace,Bournemouth,RB,68,0,0,0,0,0,0,0,0,41,0,0,1,0.0,0.0,0.0,0,0,26,34,76.5,3,15,2,1,0,Match Report
Y,15,Sat,Premier League,Matchweek 16,Home,L 1-2,Crystal Palace,Liverpool,RB,90,0,0,0,0,0,0,1,0,38,3,0,0,0.0,0.0,0.0,0,0,13,26,50.0,3,7,0,1,1,Match Report
Y,16,Sat,Premier League,Matchweek 17,Away,D 2-2,Crystal Palace,Manchester City,CB,33,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,4,8,50.0,0,1,0,0,0,Match Report
Y,17,Mon,Premier League,Matchweek 25,Away,D 1-1,Crystal Palace,Everton,CB,90,0,0,0,0,0,0,0,0,43,0,0,2,0.0,0.0,0.0,0,0,21,34,61.8,3,16,0,0,0,Match Report
Y,18,Sat,Premier League,Matchweek 26,Home,W 3-0,Crystal Palace,Burnley,CB,90,0,0,0,0,0,0,0,0,61,0,0,0,0.0,0.0,0.0,1,0,46,58,79.3,5,33,1,0,0,Match Report
Y,19,Sat,Premier League,Matchweek 27,Away,L 1-3,Crystal Palace,Tottenham,CB,90,0,0,0,0,0,0,0,0,28,3,0,0,0.0,0.0,0.0,0,0,11,16,68.8,1,9,0,0,0,Match Report
Y,20,Sat,Premier League,Matchweek 28,Home,D 1-1,Crystal Palace,Luton Town,CB,90,0,0,0,0,1,0,0,0,58,2,1,0,0.2,0.2,0.0,1,0,34,50,68.0,3,31,0,0,0,Match Report
Y,21,Sat,Premier League,Matchweek 30,Away,D 1-1,Crystal Palace,Nott'ham Forest,CB,90,0,0,0,0,0,0,0,0,55,2,1,2,0.0,0.0,0.0,0,0,32,43,74.4,2,26,0,1,1,Match Report
Y,22,Tue,Premier League,Matchweek 31,Away,L 0-1,Crystal Palace,Bournemouth,CB,90,0,0,0,0,0,0,0,0,58,3,1,0,0.0,0.0,0.0,0,0,33,45,73.3,2,26,0,0,0,Match Report
Y,23,Sat,Premier League,Matchweek 32,Home,L 2-4,Crystal Palace,Manchester City,CB,90,0,0,0,0,0,0,0,0,40,1,3,2,0.0,0.0,0.0,0,0,20,24,83.3,2,19,0,1,1,Match Report
N,24,Sun,Premier League,Matchweek 33,Away,W 1-0,Crystal Palace,Liverpool,CB,14,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,Match Report
N,25,Wed,Premier League,Matchweek 29,Home,W 2-0,Crystal Palace,Newcastle Utd,WB,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,1,0,0,0,Match Report
N,26,Sat,Premier League,Matchweek 37,Away,W 3-1,Crystal Palace,Wolves,CB,3,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Match Report
