game_started,game_count,games,minutes,gk_saves,clearances,tackles,assisted_shots,fouled,shots,crosses,shots_on_target,passes,interceptions,fouls,goals,assists,cards_yellow,dayofweek,comp,round,venue,result,team,opponent,position,pens_made,pens_att,cards_red,touches,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,0,63,0,0,0,0,0,0,0,0,18,0,0,0,0,0,Sat,Premier League,Matchweek 1,Away,L 1-5,Aston Villa,Newcastle Utd,"LW,AM",0,0,0,22,0,0.0,0.0,0.0,1,0,13,72.2,1,16,0,2,0,Match Report
Y,2,0,90,0,0,1,0,0,1,0,1,30,0,0,1,0,0,Sun,Premier League,Matchweek 2,Home,W 4-0,Aston Villa,Everton,"LW,AM",0,0,0,43,0,0.6,0.6,0.0,3,0,24,80.0,9,33,4,7,4,Match Report
Y,3,0,90,0,0,1,0,0,0,0,0,38,0,0,0,0,0,Sun,Premier League,Matchweek 3,Away,W 3-1,Aston Villa,Burnley,AM,0,0,0,43,1,0.0,0.0,0.3,4,1,30,78.9,8,21,1,3,2,Match Report
Y,4,0,90,0,0,0,0,0,2,0,1,31,0,0,0,0,0,Sun,Premier League,Matchweek 4,Away,L 0-3,Aston Villa,Liverpool,LM,0,0,0,36,1,0.2,0.2,0.0,1,0,20,64.5,3,22,0,2,2,Match Report
Y,5,0,70,0,0,1,0,0,0,0,0,31,0,0,0,0,1,Sat,Premier League,Matchweek 5,Home,W 3-1,Aston Villa,Crystal Palace,RW,0,0,0,39,1,0.0,0.0,0.0,1,0,27,87.1,3,28,1,4,1,Match Report
Y,6,0,74,0,0,1,0,0,0,0,0,22,1,0,0,0,0,Sun,Premier League,Matchweek 6,Away,W 1-0,Aston Villa,Chelsea,RW,0,0,0,26,0,0.0,0.0,0.0,1,0,15,68.2,4,16,0,2,1,Match Report
Y,7,0,90,0,0,5,0,0,1,0,0,24,1,0,0,1,0,Sat,Premier League,Matchweek 7,Home,W 6-1,Aston Villa,Brighton,RW,0,0,0,36,1,0.0,0.0,0.3,4,2,20,83.3,6,19,1,2,2,Match Report
Y,8,0,90,0,0,0,0,0,2,0,0,28,2,0,0,0,1,Sun,Premier League,Matchweek 8,Away,D 1-1,Aston Villa,Wolves,"LM,AM",0,0,0,38,0,0.1,0.1,0.4,8,0,24,85.7,8,21,1,1,0,Match Report
Y,9,0,90,0,0,0,0,0,1,0,0,42,1,0,0,1,0,Sun,Premier League,Matchweek 9,Home,W 4-1,Aston Villa,West Ham,"RM,LM",0,0,0,51,0,0.0,0.0,0.1,6,1,37,88.1,7,35,3,0,0,Match Report
Y,10,0,90,0,0,1,0,0,3,0,2,35,0,0,1,0,0,Sun,Premier League,Matchweek 10,Home,W 3-1,Aston Villa,Luton Town,"LM,RM",0,0,0,43,1,0.4,0.4,0.0,3,2,31,88.6,2,35,1,4,2,Match Report
Y,11,0,90,0,0,0,0,0,1,0,0,49,1,0,0,0,0,Sun,Premier League,Matchweek 11,Away,L 0-2,Aston Villa,Nott'ham Forest,"LM,RM",0,0,0,59,0,0.1,0.1,0.3,4,0,40,81.6,11,46,1,4,2,Match Report
Y,12,0,90,0,0,1,0,0,1,0,1,32,1,0,1,0,0,Sun,Premier League,Matchweek 12,Home,W 3-1,Aston Villa,Fulham,"AM,LM",0,0,0,43,2,0.1,0.1,0.0,5,2,22,68.8,6,28,3,10,7,Match Report
Y,13,0,89,0,0,2,0,0,1,0,0,28,2,0,0,0,1,Sun,Premier League,Matchweek 13,Away,W 2-1,Aston Villa,Tottenham,LM,0,0,0,38,1,0.1,0.1,0.6,6,0,25,89.3,7,27,3,3,2,Match Report
Y,14,0,64,0,0,1,0,0,0,0,0,25,0,0,0,0,0,Sun,Premier League,Matchweek 14,Away,D 2-2,Aston Villa,Bournemouth,LM,0,0,0,29,0,0.0,0.0,0.0,0,0,16,64.0,5,15,0,0,0,Match Report
Y,15,0,90,0,0,6,0,0,4,0,1,33,0,0,0,0,0,Wed,Premier League,Matchweek 15,Home,W 1-0,Aston Villa,Manchester City,"LM,RM",0,0,0,52,3,0.3,0.3,0.2,7,0,21,63.6,5,35,2,5,5,Match Report
Y,16,0,90,0,0,5,0,0,2,0,1,17,2,0,1,0,1,Sat,Premier League,Matchweek 16,Home,W 1-0,Aston Villa,Arsenal,LM,0,0,0,35,0,0.2,0.2,0.0,4,0,11,64.7,4,23,4,7,3,Match Report
Y,17,0,90,0,0,2,0,0,1,0,1,54,0,0,0,0,0,Sun,Premier League,Matchweek 17,Away,W 2-1,Aston Villa,Brentford,CM,0,0,0,62,0,0.0,0.0,0.0,4,1,40,74.1,4,29,1,3,2,Match Report
Y,18,0,90,0,0,1,0,0,0,0,0,85,0,0,0,0,0,Fri,Premier League,Matchweek 18,Home,D 1-1,Aston Villa,Sheffield Utd,CM,0,0,0,88,0,0.0,0.0,0.2,5,0,70,82.4,15,54,2,2,1,Match Report
Y,19,0,85,0,0,0,0,0,3,0,1,28,1,0,1,0,0,Tue,Premier League,Matchweek 19,Away,L 2-3,Aston Villa,Manchester Utd,AM,0,0,0,42,1,0.5,0.5,0.1,3,1,19,67.9,3,25,4,4,1,Match Report
Y,20,0,90,0,0,3,0,0,2,0,1,35,0,0,0,0,1,Sat,Premier League,Matchweek 20,Home,W 3-2,Aston Villa,Burnley,"CM,RM",0,0,0,45,3,0.1,0.1,0.0,3,0,24,68.6,3,21,3,2,1,Match Report
Y,21,0,88,0,0,1,0,0,2,0,0,30,0,0,0,0,0,Sun,Premier League,Matchweek 21,Away,D 0-0,Aston Villa,Everton,"LM,RM",0,0,0,42,0,0.1,0.1,0.0,2,0,22,73.3,8,33,4,5,3,Match Report
Y,22,0,90,0,0,2,0,0,2,0,1,72,1,0,0,0,1,Tue,Premier League,Matchweek 22,Home,L 1-3,Aston Villa,Newcastle Utd,RM,0,0,0,79,0,0.2,0.2,0.0,2,1,61,84.7,15,65,1,1,1,Match Report
Y,23,0,70,0,0,0,0,0,2,0,1,25,0,0,1,0,0,Sat,Premier League,Matchweek 23,Away,W 5-0,Aston Villa,Sheffield Utd,"LW,DM",0,0,0,28,0,1.0,1.0,0.0,1,0,21,84.0,3,14,0,0,0,Match Report
Y,24,0,86,0,0,2,0,0,4,0,2,32,0,0,0,0,0,Sun,Premier League,Matchweek 24,Home,L 1-2,Aston Villa,Manchester Utd,"AM,DM",0,0,0,44,1,0.2,0.2,0.5,5,0,24,75.0,9,23,0,1,0,Match Report
Y,25,0,90,0,0,3,0,0,0,0,0,31,0,0,0,0,1,Sat,Premier League,Matchweek 25,Away,W 2-1,Aston Villa,Fulham,DM,0,0,0,42,1,0.0,0.0,0.0,2,1,28,90.3,1,30,0,2,0,Match Report
Y,26,0,90,0,0,3,0,0,0,0,0,47,1,0,0,1,0,Sat,Premier League,Matchweek 26,Home,W 4-2,Aston Villa,Nott'ham Forest,"CM,DM",0,0,0,61,3,0.0,0.0,0.4,4,1,40,85.1,5,41,4,4,2,Match Report
Y,27,0,90,0,0,3,0,0,0,0,0,47,1,0,0,0,0,Sat,Premier League,Matchweek 27,Away,W 3-2,Aston Villa,Luton Town,"DM,AM",0,0,0,53,0,0.0,0.0,0.3,3,0,42,89.4,7,41,2,0,0,Match Report
Y,28,0,64,0,0,3,0,0,0,0,0,19,0,0,0,0,0,Sun,Premier League,Matchweek 28,Home,L 0-4,Aston Villa,Tottenham,"CM,DM",0,0,1,26,1,0.0,0.0,0.1,4,0,13,68.4,4,14,3,2,2,Match Report
Y,29,0,90,0,0,0,0,0,0,0,0,49,3,0,0,1,0,Sat,Premier League,Matchweek 32,Home,D 3-3,Aston Villa,Brentford,FW,0,0,0,57,1,0.0,0.0,0.4,3,1,41,83.7,4,33,3,0,0,Match Report
Y,30,0,90,0,0,3,0,0,1,0,0,31,3,0,0,0,0,Sun,Premier League,Matchweek 33,Away,W 2-0,Aston Villa,Arsenal,DM,0,0,0,49,5,0.0,0.0,0.0,1,0,26,83.9,0,27,0,5,3,Match Report
Y,31,0,90,0,0,2,0,0,2,0,0,48,0,0,0,0,0,Sun,Premier League,Matchweek 34,Home,W 3-1,Aston Villa,Bournemouth,"DM,CM",0,0,0,55,1,0.1,0.1,0.0,0,0,38,79.2,3,34,0,0,0,Match Report
