game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Sun,Premier League,Matchweek 4,Away,L 1-3,Manchester Utd,Arsenal,CB,7,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,Match Report
Y,2,Sat,Premier League,Matchweek 6,Away,W 1-0,Manchester Utd,Burnley,CB,88,0,1,0,0,0,0,0,0,79,0,1,0,0.0,0.0,0.1,1,1,59,67,88.1,3,40,0,0,0,Match Report
Y,3,Sat,Premier League,Matchweek 8,Home,W 2-1,Manchester Utd,Brentford,CB,90,0,0,0,0,0,0,0,0,58,1,1,1,0.0,0.0,0.0,1,0,48,54,88.9,3,29,0,0,0,Match Report
Y,4,Sat,Premier League,Matchweek 9,Away,W 2-1,Manchester Utd,Sheffield Utd,CB,83,0,0,0,0,0,0,1,0,66,1,1,0,0.0,0.0,0.0,2,0,47,56,83.9,3,45,1,0,0,Match Report
Y,5,Sun,Premier League,Matchweek 10,Home,L 0-3,Manchester Utd,Manchester City,CB,90,0,0,0,0,0,0,0,0,68,0,0,0,0.0,0.0,0.0,0,0,54,63,85.7,1,42,0,0,0,Match Report
Y,6,Sat,Premier League,Matchweek 11,Away,W 1-0,Manchester Utd,Fulham,CB,90,0,0,0,0,1,0,0,0,59,1,0,1,0.1,0.1,0.0,0,0,40,49,81.6,2,34,0,0,0,Match Report
N,7,Wed,Premier League,Matchweek 15,Home,W 2-1,Manchester Utd,Chelsea,LW,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,Match Report
N,8,Sat,Premier League,Matchweek 16,Home,L 0-3,Manchester Utd,Bournemouth,CB,12,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,17,19,89.5,1,12,0,0,0,Match Report
Y,9,Sun,Premier League,Matchweek 17,Away,D 0-0,Manchester Utd,Liverpool,CB,90,0,0,0,0,0,0,0,0,32,1,0,3,0.0,0.0,0.0,0,0,17,22,77.3,0,11,0,1,0,Match Report
Y,10,Sat,Premier League,Matchweek 18,Away,L 0-2,Manchester Utd,West Ham,CB,90,0,0,0,0,0,0,1,0,94,1,0,0,0.0,0.0,0.0,0,0,76,87,87.4,8,64,2,0,0,Match Report
Y,11,Tue,Premier League,Matchweek 19,Home,W 3-2,Manchester Utd,Aston Villa,CB,90,0,0,0,0,0,0,0,0,49,0,4,4,0.0,0.0,0.0,1,0,35,39,89.7,1,32,2,0,0,Match Report
Y,12,Sat,Premier League,Matchweek 20,Away,L 1-2,Manchester Utd,Nott'ham Forest,CB,90,0,0,0,0,0,0,0,0,71,0,2,0,0.0,0.0,0.0,1,0,56,64,87.5,6,35,0,2,2,Match Report
Y,13,Sun,Premier League,Matchweek 21,Home,D 2-2,Manchester Utd,Tottenham,CB,62,0,0,0,0,0,0,0,0,35,2,2,2,0.0,0.0,0.0,0,0,18,21,85.7,0,12,0,0,0,Match Report
N,14,Thu,Premier League,Matchweek 22,Away,W 4-3,Manchester Utd,Wolves,RW,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.7,0,0,2,2,100.0,0,3,0,0,0,Match Report
N,15,Sun,Premier League,Matchweek 24,Away,W 2-1,Manchester Utd,Aston Villa,FW,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Match Report
N,16,Sun,Premier League,Matchweek 25,Away,W 2-1,Manchester Utd,Luton Town,CB,45,0,0,0,0,0,0,0,0,34,1,2,1,0.0,0.0,0.0,1,0,16,19,84.2,0,10,0,0,0,Match Report
Y,17,Sun,Premier League,Matchweek 27,Away,L 1-3,Manchester Utd,Manchester City,CB,68,0,0,0,0,0,0,0,0,29,3,2,3,0.0,0.0,0.0,1,0,12,15,80.0,1,15,0,1,1,Match Report
Y,18,Sat,Premier League,Matchweek 28,Home,W 2-0,Manchester Utd,Everton,CB,88,0,0,0,0,0,0,0,0,61,0,2,4,0.0,0.0,0.3,1,0,42,48,87.5,3,37,0,2,1,Match Report
N,19,Thu,Premier League,Matchweek 31,Away,L 3-4,Manchester Utd,Chelsea,CB,20,0,0,0,0,0,0,0,0,9,0,1,3,0.0,0.0,0.0,0,0,4,4,100.0,0,4,0,0,0,Match Report
Y,20,Mon,Premier League,Matchweek 36,Away,L 0-4,Manchester Utd,Crystal Palace,CB,90,0,0,0,0,0,0,0,0,107,8,0,1,0.0,0.0,0.0,0,0,88,93,94.6,3,59,0,1,0,Match Report
Y,21,Sun,Premier League,Matchweek 37,Home,L 0-1,Manchester Utd,Arsenal,CB,74,0,0,0,0,0,0,0,0,70,0,1,2,0.0,0.0,0.0,1,0,54,63,85.7,2,46,1,0,0,Match Report
Y,22,Wed,Premier League,Matchweek 34,Home,W 3-2,Manchester Utd,Newcastle Utd,CB,90,0,0,0,0,0,0,0,0,32,0,4,0,0.0,0.0,0.0,0,0,24,25,96.0,0,24,1,0,0,Match Report
N,23,Sun,Premier League,Matchweek 38,Away,W 2-0,Manchester Utd,Brighton,CB,32,0,0,0,0,0,0,0,0,22,2,0,0,0.0,0.0,0.0,1,1,17,19,89.5,0,12,0,0,0,Match Report
