game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
Y,1,Sat,Premier League,Matchweek 1,Away,W 1-0,Crystal Palace,Sheffield Utd,RW,90,0,1,0,0,2,1,0,0,61,1,1,4,0.1,0.1,0.7,4,1,34,46,73.9,1,38,4,4,1,Match Report
Y,2,Mon,Premier League,Matchweek 2,Home,L 0-1,Crystal Palace,Arsenal,RW,90,0,0,0,0,3,0,1,0,37,2,0,0,0.1,0.1,0.0,3,0,17,23,73.9,2,22,4,6,1,Match Report
Y,3,Sat,Premier League,Matchweek 3,Away,D 1-1,Crystal Palace,Brentford,RW,90,0,1,0,0,5,1,0,0,54,2,0,0,0.2,0.2,0.1,6,1,29,35,82.9,2,40,5,7,4,Match Report
Y,4,Sun,Premier League,Matchweek 4,Home,W 3-2,Crystal Palace,Wolves,RW,90,0,0,0,0,2,1,0,0,55,6,1,0,0.5,0.5,0.2,3,0,24,37,64.9,3,40,0,4,0,Match Report
Y,5,Sat,Premier League,Matchweek 5,Away,L 1-3,Crystal Palace,Aston Villa,RM,24,0,0,0,0,0,0,0,0,8,1,1,0,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,1,0,Match Report
Y,6,Sat,Premier League,Matchweek 6,Home,D 0-0,Crystal Palace,Fulham,RW,90,0,0,0,0,0,0,1,0,54,2,0,1,0.0,0.0,0.0,1,0,31,48,64.6,3,34,4,2,2,Match Report
Y,7,Sat,Premier League,Matchweek 7,Away,W 1-0,Crystal Palace,Manchester Utd,RW,90,0,0,0,0,0,0,0,0,46,4,2,3,0.0,0.0,0.1,3,1,13,26,50.0,4,30,3,10,6,Match Report
Y,8,Sat,Premier League,Matchweek 8,Home,D 0-0,Crystal Palace,Nott'ham Forest,"LM,RW",90,0,0,0,0,3,1,0,0,52,0,0,2,0.4,0.4,0.0,0,0,32,39,82.1,1,34,4,2,1,Match Report
Y,9,Sat,Premier League,Matchweek 9,Away,L 0-4,Crystal Palace,Newcastle Utd,"RW,LW,LM",90,0,0,0,0,3,0,0,0,52,2,2,0,0.2,0.2,0.0,4,0,35,39,89.7,7,37,2,6,4,Match Report
Y,10,Fri,Premier League,Matchweek 10,Home,L 1-2,Crystal Palace,Tottenham,"RW,LW",90,1,0,0,0,2,2,1,0,36,3,1,2,0.1,0.1,0.0,1,0,12,17,70.6,2,21,3,4,2,Match Report
