game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Sat,Premier League,Matchweek 12,Away,L 0-1,Luton Town,Manchester Utd,"AM,WB",18,0,0,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.0,0,0,8,11,72.7,2,5,0,0,0,Match Report
N,2,Sat,Premier League,Matchweek 13,Home,W 2-1,Luton Town,Crystal Palace,CM,30,0,0,0,0,0,0,1,0,18,2,0,0,0.0,0.0,0.0,1,0,7,11,63.6,1,3,0,0,0,Match Report
N,3,Sat,Premier League,Matchweek 14,Away,L 1-3,Luton Town,Brentford,"DM,CM",31,0,0,0,0,0,0,0,0,20,1,0,1,0.0,0.0,0.0,1,0,13,16,81.3,2,10,1,1,0,Match Report
N,4,Tue,Premier League,Matchweek 15,Home,L 3-4,Luton Town,Arsenal,CM,3,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,Match Report
N,5,Sun,Premier League,Matchweek 16,Home,L 1-2,Luton Town,Manchester City,RM,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Match Report
Y,6,Fri,Premier League,Matchweek 21,Away,D 1-1,Luton Town,Burnley,AM,73,0,0,0,0,2,0,0,0,33,1,0,1,0.1,0.1,0.0,3,0,18,24,75.0,2,24,2,2,0,Match Report
Y,7,Tue,Premier League,Matchweek 22,Home,W 4-0,Luton Town,Brighton,AM,67,0,0,0,0,2,1,1,0,39,3,1,2,0.1,0.1,0.1,3,0,16,24,66.7,3,17,1,5,2,Match Report
Y,8,Sat,Premier League,Matchweek 23,Away,D 4-4,Luton Town,Newcastle Utd,AM,67,0,0,0,0,0,0,0,0,31,0,3,2,0.0,0.0,0.0,1,0,12,21,57.1,3,22,3,3,2,Match Report
Y,9,Sat,Premier League,Matchweek 24,Home,L 1-3,Luton Town,Sheffield Utd,AM,52,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,0,0,8,15,53.3,0,12,1,0,0,Match Report
N,10,Sun,Premier League,Matchweek 25,Home,L 1-2,Luton Town,Manchester Utd,AM,23,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,4,8,50.0,0,8,2,4,0,Match Report
N,11,Wed,Premier League,Matchweek 26,Away,L 1-4,Luton Town,Liverpool,AM,28,0,0,0,0,0,0,0,0,9,2,0,1,0.0,0.0,0.0,0,0,4,6,66.7,1,4,0,0,0,Match Report
Y,12,Sat,Premier League,Matchweek 27,Home,L 2-3,Luton Town,Aston Villa,CM,90,0,0,0,0,0,0,0,0,44,3,0,2,0.0,0.0,0.1,2,0,29,35,82.9,3,22,1,1,0,Match Report
Y,13,Sat,Premier League,Matchweek 28,Away,D 1-1,Luton Town,Crystal Palace,CM,86,0,0,0,0,1,0,0,0,56,3,0,0,0.1,0.1,0.0,0,0,34,48,70.8,3,32,0,2,1,Match Report
Y,14,Wed,Premier League,Matchweek 17,Away,L 3-4,Luton Town,Bournemouth,CM,90,0,1,0,0,0,0,1,0,39,2,1,4,0.0,0.0,0.6,1,1,16,23,69.6,1,19,0,6,1,Match Report
Y,15,Sat,Premier League,Matchweek 29,Home,D 1-1,Luton Town,Nott'ham Forest,AM,84,0,0,0,0,2,0,0,0,47,1,0,1,0.1,0.1,0.0,2,0,30,37,81.1,6,26,1,2,0,Match Report
N,16,Sat,Premier League,Matchweek 30,Away,L 1-2,Luton Town,Tottenham,RM,28,0,0,0,0,1,1,0,0,17,0,0,2,0.0,0.0,0.0,0,0,2,8,25.0,0,12,2,3,1,Match Report
Y,17,Wed,Premier League,Matchweek 31,Away,L 0-2,Luton Town,Arsenal,"AM,CM,RM",90,0,0,0,0,1,0,0,0,49,1,0,0,0.0,0.0,0.0,2,0,37,46,80.4,3,37,1,0,0,Match Report
Y,18,Sat,Premier League,Matchweek 32,Home,W 2-1,Luton Town,Bournemouth,CM,90,1,0,0,0,3,1,0,0,77,3,2,3,0.3,0.3,0.1,3,0,43,57,75.4,7,42,1,4,1,Match Report
Y,19,Sat,Premier League,Matchweek 33,Away,L 1-5,Luton Town,Manchester City,AM,87,0,0,0,0,0,0,0,0,32,1,1,2,0.0,0.0,0.0,0,0,19,22,86.4,0,14,0,1,0,Match Report
Y,20,Sat,Premier League,Matchweek 34,Home,L 1-5,Luton Town,Brentford,"AM,RW,LW",80,0,0,0,0,1,0,0,0,38,0,0,1,0.0,0.0,0.0,2,0,18,31,58.1,5,26,1,3,2,Match Report
Y,21,Sat,Premier League,Matchweek 35,Away,L 1-2,Luton Town,Wolves,AM,65,0,0,0,0,1,1,0,0,40,2,2,1,0.0,0.0,0.1,3,0,18,24,75.0,4,17,0,2,1,Match Report
N,22,Sat,Premier League,Matchweek 37,Away,L 1-3,Luton Town,West Ham,CM,52,0,0,0,0,0,0,0,0,23,3,0,0,0.0,0.0,0.0,0,0,11,15,73.3,1,15,2,1,0,Match Report
Y,23,Sun,Premier League,Matchweek 38,Home,L 2-4,Luton Town,Fulham,CM,69,0,0,0,0,3,0,1,0,38,0,1,0,0.1,0.1,0.2,5,0,22,30,73.3,4,17,2,2,1,Match Report
