game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,match_report
Y,1,Sat,Premier League,Matchweek 1,Home,L 0-1,Everton,Fulham,GK,90,Match Report
Y,2,Sun,Premier League,Matchweek 2,Away,L 0-4,Everton,Aston Villa,GK,90,Match Report
Y,3,Sat,Premier League,Matchweek 3,Home,L 0-1,Everton,Wolves,GK,90,Match Report
Y,4,Sat,Premier League,Matchweek 4,Away,D 2-2,Everton,Sheffield Utd,GK,90,Match Report
Y,5,Sun,Premier League,Matchweek 5,Home,L 0-1,Everton,Arsenal,GK,90,Match Report
Y,6,Sat,Premier League,Matchweek 6,Away,W 3-1,Everton,Brentford,GK,90,Match Report
Y,7,Sat,Premier League,Matchweek 7,Home,L 1-2,Everton,Luton Town,GK,90,Match Report
Y,8,Sat,Premier League,Matchweek 8,Home,W 3-0,Everton,Bournemouth,GK,90,Match Report
Y,9,Sat,Premier League,Matchweek 9,Away,L 0-2,Everton,Liverpool,GK,90,Match Report
Y,10,Sun,Premier League,Matchweek 10,Away,W 1-0,Everton,West Ham,GK,90,Match Report
Y,11,Sat,Premier League,Matchweek 11,Home,D 1-1,Everton,Brighton,GK,90,Match Report
Y,12,Sat,Premier League,Matchweek 12,Away,W 3-2,Everton,Crystal Palace,GK,90,Match Report
Y,13,Sun,Premier League,Matchweek 13,Home,L 0-3,Everton,Manchester Utd,GK,90,Match Report
Y,14,Sat,Premier League,Matchweek 14,Away,W 1-0,Everton,Nott'ham Forest,GK,90,Match Report
Y,15,Thu,Premier League,Matchweek 15,Home,W 3-0,Everton,Newcastle Utd,GK,90,Match Report
Y,16,Sun,Premier League,Matchweek 16,Home,W 2-0,Everton,Chelsea,GK,90,Match Report
Y,17,Sat,Premier League,Matchweek 17,Away,W 2-0,Everton,Burnley,GK,90,Match Report
Y,18,Sat,Premier League,Matchweek 18,Away,L 1-2,Everton,Tottenham,GK,90,Match Report
Y,19,Wed,Premier League,Matchweek 19,Home,L 1-3,Everton,Manchester City,GK,90,Match Report
Y,20,Sat,Premier League,Matchweek 20,Away,L 0-3,Everton,Wolves,GK,90,Match Report
Y,21,Sun,Premier League,Matchweek 21,Home,D 0-0,Everton,Aston Villa,GK,90,Match Report
Y,22,Tue,Premier League,Matchweek 22,Away,D 0-0,Everton,Fulham,GK,90,Match Report
Y,23,Sat,Premier League,Matchweek 23,Home,D 2-2,Everton,Tottenham,GK,90,Match Report
Y,24,Sat,Premier League,Matchweek 24,Away,L 0-2,Everton,Manchester City,GK,90,Match Report
Y,25,Mon,Premier League,Matchweek 25,Home,D 1-1,Everton,Crystal Palace,GK,90,Match Report
Y,26,Sat,Premier League,Matchweek 26,Away,D 1-1,Everton,Brighton,GK,90,Match Report
Y,27,Sat,Premier League,Matchweek 27,Home,L 1-3,Everton,West Ham,GK,90,Match Report
Y,28,Sat,Premier League,Matchweek 28,Away,L 0-2,Everton,Manchester Utd,GK,90,Match Report
Y,29,Sat,Premier League,Matchweek 30,Away,L 1-2,Everton,Bournemouth,GK,90,Match Report
Y,30,Tue,Premier League,Matchweek 31,Away,D 1-1,Everton,Newcastle Utd,GK,90,Match Report
Y,31,Sat,Premier League,Matchweek 32,Home,W 1-0,Everton,Burnley,GK,90,Match Report
Y,32,Mon,Premier League,Matchweek 33,Away,L 0-6,Everton,Chelsea,GK,90,Match Report
Y,33,Sun,Premier League,Matchweek 34,Home,W 2-0,Everton,Nott'ham Forest,GK,90,Match Report
Y,34,Wed,Premier League,Matchweek 29,Home,W 2-0,Everton,Liverpool,GK,90,Match Report
Y,35,Sat,Premier League,Matchweek 35,Home,W 1-0,Everton,Brentford,GK,90,Match Report
Y,36,Fri,Premier League,Matchweek 36,Away,D 1-1,Everton,Luton Town,GK,90,Match Report
Y,37,Sat,Premier League,Matchweek 37,Home,W 1-0,Everton,Sheffield Utd,GK,90,Match Report
Y,38,Sun,Premier League,Matchweek 38,Away,L 1-2,Everton,Arsenal,GK,90,Match Report
