game_started,game_count,dayofweek,comp,round,venue,result,team,opponent,position,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,match_report
N,1,Fri,Premier League,Matchweek 1,Away,W 3-0,Manchester City,Burnley,LB,12,0,0,0,0,0,0,0,0,13,2,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,4,0,0,0,Match Report
Y,2,Sat,Premier League,Matchweek 2,Home,W 1-0,Manchester City,Newcastle Utd,LB,90,0,0,0,0,0,0,0,0,73,1,0,1,0.0,0.0,0.0,0,0,57,65,87.7,1,40,1,3,1,Match Report
Y,3,Sun,Premier League,Matchweek 3,Away,W 2-1,Manchester City,Sheffield Utd,LB,90,0,0,0,0,0,0,0,0,108,1,0,0,0.0,0.0,0.0,3,0,93,102,91.2,9,79,6,1,0,Match Report
Y,4,Sat,Premier League,Matchweek 5,Away,W 3-1,Manchester City,West Ham,LB,89,0,0,0,0,2,1,1,0,89,1,0,1,0.1,0.1,0.6,3,0,75,83,90.4,7,64,2,1,1,Match Report
Y,5,Sat,Premier League,Matchweek 6,Home,W 2-0,Manchester City,Nott'ham Forest,"LB,CB",90,0,0,0,0,0,0,0,0,89,1,2,1,0.0,0.0,0.0,0,0,65,76,85.5,7,59,1,2,1,Match Report
Y,6,Sun,Premier League,Matchweek 8,Away,L 0-1,Manchester City,Arsenal,LB,90,0,0,0,0,1,0,0,0,62,2,2,3,0.1,0.1,0.0,1,0,34,48,70.8,1,27,1,0,0,Match Report
Y,7,Sat,Premier League,Matchweek 9,Home,W 2-1,Manchester City,Brighton,LB,90,0,0,0,0,1,1,0,0,91,2,4,1,0.0,0.0,0.0,1,0,70,79,88.6,12,51,2,1,1,Match Report
Y,8,Sun,Premier League,Matchweek 10,Away,W 3-0,Manchester City,Manchester Utd,LB,90,0,0,0,0,0,0,0,0,81,0,3,0,0.0,0.0,0.1,3,0,64,73,87.7,3,46,5,2,1,Match Report
Y,9,Sun,Premier League,Matchweek 12,Away,D 4-4,Manchester City,Chelsea,LB,90,0,0,0,0,1,1,0,0,75,3,0,2,0.0,0.0,0.0,0,0,60,63,95.2,7,44,3,1,0,Match Report
Y,10,Sun,Premier League,Matchweek 14,Home,D 3-3,Manchester City,Tottenham,LB,86,0,0,0,0,1,0,1,0,72,0,3,2,0.0,0.0,0.0,2,0,56,66,84.8,2,46,2,2,1,Match Report
Y,11,Wed,Premier League,Matchweek 15,Away,L 0-1,Manchester City,Aston Villa,LB,90,0,0,0,0,0,0,0,0,77,8,1,2,0.0,0.0,0.0,1,0,53,62,85.5,3,49,0,0,0,Match Report
Y,12,Sun,Premier League,Matchweek 16,Away,W 2-1,Manchester City,Luton Town,LB,68,0,0,0,0,1,0,0,0,65,0,0,0,0.0,0.0,0.0,0,0,38,53,71.7,1,39,3,3,1,Match Report
Y,13,Sat,Premier League,Matchweek 17,Home,D 2-2,Manchester City,Crystal Palace,LB,90,0,0,0,0,3,3,0,0,66,0,1,4,0.3,0.3,0.0,3,0,42,53,79.2,1,30,2,0,0,Match Report
N,14,Wed,Premier League,Matchweek 19,Away,W 3-1,Manchester City,Everton,LB,48,0,0,0,0,1,0,0,0,54,2,0,0,0.0,0.0,0.1,1,0,44,51,86.3,3,27,2,1,1,Match Report
Y,15,Sat,Premier League,Matchweek 20,Home,W 2-0,Manchester City,Sheffield Utd,LB,90,0,0,0,0,0,0,0,0,100,1,0,1,0.0,0.0,0.0,3,0,86,92,93.5,7,70,5,1,0,Match Report
Y,16,Sat,Premier League,Matchweek 21,Away,W 3-2,Manchester City,Newcastle Utd,LB,90,0,0,0,0,2,0,0,0,62,2,1,0,0.2,0.2,0.0,1,0,49,55,89.1,4,34,1,3,2,Match Report
Y,17,Wed,Premier League,Matchweek 22,Home,W 3-1,Manchester City,Burnley,LB,90,0,0,0,0,2,0,0,0,116,1,2,0,0.1,0.1,0.0,2,0,104,110,94.5,12,66,1,2,2,Match Report
Y,18,Mon,Premier League,Matchweek 23,Away,W 3-1,Manchester City,Brentford,LB,90,0,0,0,0,3,1,0,0,93,3,1,2,0.1,0.1,0.1,6,0,64,78,82.1,0,60,2,3,2,Match Report
Y,19,Sun,Premier League,Matchweek 30,Home,D 0-0,Manchester City,Arsenal,LB,90,0,0,0,0,1,0,0,0,82,4,2,0,0.0,0.0,0.1,2,0,61,74,82.4,4,58,5,2,2,Match Report
Y,20,Wed,Premier League,Matchweek 31,Home,W 4-1,Manchester City,Aston Villa,LB,90,0,0,0,0,0,0,0,0,83,4,0,2,0.0,0.0,0.2,2,0,69,76,90.8,0,35,4,4,3,Match Report
